Time,Block,NR/2023/11642/A,NR/2023/11643/A,NR/2023/11961/F,NR/2023/12656/F,NR/2023/10944/A,NR/2023/12903/F,NR/2023/11963/F,NR/2023/13001/C,NR/2023/11958/F,NR/2023/10344/A,NR/2023/11476/A,NR/2023/11956/F,ER/2023/7895/C,NR/2023/11962/F,NR/2023/10434/A,NR/2023/10236/A,NR/2023/12988/D,NR/2023/10223/A,NR/2023/11862/F,NR/2023/11640/A,NR/2023/10173/A,NR/2023/10613/A,NR/2023/12992/D,NR/2023/11959/F,NR/2023/11342/A,NR/2023/11941/F,NR/2023/13011/C,NR/2023/12994/D,NR/2023/13003/C,NR/2023/11960/F,NR/2023/13002/C,NR/2023/11957/F,NR/2023/11947/F,NR/2023/11330/A,NR/2023/11284/A,NR/2023/10611/A,NR/2023/13006/C,NR/2023/12991/D,NR/2023/10487/A,NR/2023/11952/F,NR/2023/13009/C,NR/2023/11955/F,NR/2023/10229/A,Total
,,MANIKARAN,MANIKARAN,SHPPBPL,IEXL,APPCPL,SJVNL,SHPPBPL,GBHHPL,SHPPBPL,BYPL,IEXL,SHPPBPL,HPXL,SHPPBPL,NVVNL,NVVNL,NVVNL,TPTCL,APPCPL,MANIKARAN,STATKRAFT,APPCPL,TS1PL_BKN,SHPPBPL,IEXL,NVVNL,IEXL,TS1PL_BKN,HPXL,SHPPBPL,TPDDL,SHPPBPL,HPXL,APPCPL,STATKRAFT,APPCPL,PXIL,NVVNL,TPTCL,KEIPL,IEXL,SHPPBPL,NVVNL,Total

,,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,JAMMU AND KASHMIR,HIMACHAL PRADESH,WEST BENGAL,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,NA,NA,NA,NA,MANIPUR,TAMIL NADU,TAMIL NADU,NAGALAND,NA,HIMACHAL PRADESH,TELANGANA,NA,DELHI,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,ARUNACHAL PRADESH,DELHI,NA,NA,MEGHALAYA,NA,HIMACHAL PRADESH,NA,
,,HP,HP,SHPPBPL,SAPU1234,HP,IPCL_WB,SHPPBPL,GBHHPL,SHPPBPL,Meghalaya_Ben,JSPL_DCPP,SHPPBPL,BYPL,SHPPBPL,SEIL,ILFS,SOLAPUR_SOLAR,JPL,Manipur_Ben,TANGEDCO,TANGEDCO,Nagaland_Ben,TS1PL_BKN,SHPPBPL,NAVABHARAT,SKS Raigarh,BYPL,TS1PL_BKN,Teesta_III,SHPPBPL,CHANJUII,SHPPBPL,B_S_ISPAT_MH,HP,HP,Arunachal_Ben,BYPL,KAMENG,APNRL,Meghalaya_Ben,KWHEP,SHPPBPL,JPNIGRIE_JNSTPP,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,JHPL-DL,MES (Delhi),BYPL,NDMC,UHL,DIAPL,AISHER,BYPL,BRPL,BAL224,VL-CPP 1215,MHIL,TPDDL,BRPL,MES (Delhi),BRPL,STT,BRPL,BYPL,BYPL,BYPL,BMDRC,BRPL,NDMC,AMBASTL,BRPL,BRPL,MAX-HPTL,TPDDL,BAL234,NDMC,BRPL,BYPL,BYPL,ASIL_UP,TPDDL,TPDDL,BYPL,BRPL,BAL184,BRPL,
,,North-North,North-North,North-North,North-North,North-North,East-North,North-North,North-North,North-North,North East-East-North,West-North,North-North,North-East,North-North,South-West-North,South-West-North,West-North,West-North,North East-East-North,South-West-North,South-West-North,North East-East-North,North-North,North-North,South-West-North,West-North,North-North,North-North,East-North,North-North,North-North,North-North,West-North,North-North,North-North,North East-East-North,North-North,North East-East-North,East-North,North East-East-North,North-North,North-North,West-North,
1,00:00-00:15,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,31.590000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,23.160000,75.580000,12.670000,0,0.640000,116.100000,33.860000,0.000000,0,0.000000,0.640000,17.370000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,81.170000,41.600000,36.500000,0.000000,0.360000,43.060000,1037.55

2,00:15-00:30,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,31.590000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,23.160000,75.580000,12.670000,0,0.640000,116.100000,33.860000,0.000000,0,0.000000,0.640000,17.370000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,81.170000,41.600000,36.500000,0.000000,0.360000,43.060000,1037.55

3,00:30-00:45,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,31.590000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,23.160000,75.580000,12.670000,0,0.640000,116.100000,33.860000,0.000000,0,0.000000,0.640000,17.370000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,81.170000,41.600000,36.500000,0.000000,0.360000,43.060000,1037.55

4,00:45-01:00,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,31.590000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,23.160000,75.580000,12.670000,0,0.640000,116.100000,33.860000,0.000000,0,0.000000,0.640000,17.370000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,81.170000,41.600000,36.500000,0.000000,0.360000,43.060000,1037.55

5,01:00-01:15,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,31.590000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,23.160000,75.580000,12.670000,0,0.640000,116.100000,33.860000,0.000000,0,0.000000,0.640000,17.370000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,81.170000,41.600000,36.500000,0.000000,0.360000,43.060000,1037.55

6,01:15-01:30,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,31.590000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,23.160000,75.580000,12.670000,0,0.640000,116.100000,33.860000,0.000000,0,0.000000,0.640000,17.370000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,81.170000,41.600000,36.500000,0.000000,0.360000,43.060000,1037.55

7,01:30-01:45,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,31.590000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,23.160000,75.580000,12.670000,0,0.640000,116.100000,33.860000,0.000000,0,0.000000,0.640000,17.370000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,81.170000,41.600000,36.500000,0.000000,0.360000,43.060000,1037.55

8,01:45-02:00,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,31.590000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,23.160000,75.580000,12.670000,0,0.640000,116.100000,33.860000,0.000000,0,0.000000,0.640000,17.370000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,81.170000,41.600000,36.500000,0.000000,0.360000,43.060000,1037.55

9,02:00-02:15,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,31.590000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,23.160000,75.580000,12.670000,0,0.640000,116.100000,33.860000,0.000000,0,0.000000,0.640000,17.270000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,81.170000,41.600000,36.500000,0.000000,0.360000,43.060000,1037.45

10,02:15-02:30,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,31.590000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,23.160000,75.580000,12.670000,0,0.640000,116.100000,33.860000,0.000000,0,0.000000,0.640000,17.270000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,81.170000,41.600000,36.500000,0.000000,0.360000,43.060000,1037.45

