Column1,Block,NR/2025/27622/A/79574,GNARE/NR/2024/12/20/3668,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/13/7863,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/4973,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/9719,NR/2025/28762/C,NR/2025/28645/C,NR/2025/28763/C,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/28766/C,NR/2025/28673/C,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/5280,NR/2025/28757/C,NR/2025/28733/C,NR/2025/28765/C,NR/2025/28634/C,NR/2025/28758/C,NR/2025/28642/C,GNA/NR/2025/06/01/7663,NR/30092023/31122025/SH-07,NR/2025/28643/C,NR/2025/28686/C,GNA/NR/2025/06/01/2868,NR/2025/28857/C,NR/2025/28714/C,NR/2025/28567/C,NR/2025/26952/A/79639,NR/2025/28716/C,NR/2025/28722/C,NR/2025/27499/A/80057,NR/2025/26785/A/79582,NR/2025/27728/A/80046,NR/2025/28692/C,NR/2025/28723/C,NR/2025/27242/A/80070,NR/2025/27725/A/80048,NR/2025/27726/A/80047,NR/2025/27462/A/79576,NR/2025/28693/C,NR/2025/28138/A/79990,NR/2025/27088/A/80078,NR/2025/26889/A/80058,NR/2025/27724/A/79664,NR/2025/27167/A/80049,NR/2025/27168/A/80056,NR/2025/28717/C,NR/2025/26085/A/79558,NR/2025/28732/C,NR/2025/28718/C,NR/2025/27281/A/80104,NR/2025/26564/A/80019,NR/2025/28141/A/80166,NR/2025/26975/A/80053,NR/2025/27162/A/80052,NR/2025/28140/A/80165,NR/2025/26563/A/80018,NR/2025/28721/C,NR/2025/27157/A/79726,NR/2025/26861/A/80028,NR/2025/28712/C,NR/2025/26561/A/80017,NR/2025/26569/A/80020,NR/2025/28603/C,NR/2025/26445/A/80083,NR/2025/26570/A/80021,NR/2025/26777/A/79650,NR/2025/28559/C,NR/2025/26860/A/80002,NR/2025/27782/A/80044,NR/2025/27727/A/80045,NR/2025/28139/A/80164,NR/2025/27356/A/80167,Total
,,IEXL,SECI_Trader,MANIKARAN,PTC,PowerPulse,PXIL,APPCPL,APPCPL,PUNJAB,NVVNL,IEXL,PowerPulse,IEXL,DELHI,PXIL,TPDDL,INSTINCT,PTC,KEIPL,IEXL,IEXL,IEXL,BRPL,PXIL,PowerPulse,SIMHAPURI,BAWANA_GAS,PowerPulse,INSTINCT,NDMC,DIAPL,APPCPL,IEXL,PXIL,APPCPL,NVVNL,HPXL,IEXL,APPCPL,APPCPL,NVVNL,GMRETL,APPCPL,APPCPL,IEXL,APPCPL,BRPL,NVVNL,HPXL,DIAPL,PTC,PTC,NVVNL,ITCLH,IEXL,APPCPL,MANIKARAN,PowerPulse,BRPL,APPCPL,APPCPL,BRPL,PowerPulse,APPCPL,KEIPL,PowerPulse,APPCPL,PowerPulse,PowerPulse,PXIL,NVVNL,PowerPulse,INSTINCT,MANIKARAN,BRPL,APPCPL,APPCPL,BRPL,BRPL,
,,NA,NA,MP_State,TELANGANA_State,NA,NA,CSEB_State,NA,DELHI_UT,NA,NA,NA,NA,HIMACHAL_STATE,NA,NA,NA,ODISHA_STATE,CSEB_State,UTTARAKHAND_STATE,KARNATAKA_STATE,NA,NA,NA,NA,NA,DELHI_UT,NA,NA,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,JK_and_LADAKH_UT,NA,NA,Manipur_State,NA,HIMACHAL_STATE,NA,NA,MSEB_State,CSEB_State,NA,NA,MSEB_State,HIMACHAL_STATE,GoHP_Chamera1_STATE,GoHP_Rampur_STATE,NA,ANDHRA_PRADESH_STATE,NA,NA,CSEB_State,NA,NA,Manipur_State,CSEB_State,NA,NA,NA,CSEB_State,NA,NA,NA,NA,NA,NA,NA,NA,CSEB_State,NA,NA,NA,NA,NA,
,,TPSL_BKN2,APSEPL_FTG,BLAPOWER_MP,NAVABHARAT,COASTGEN,RKM_POWER,CSPDCL,DBPL,BAWANA_GAS,JHABUA_IPP,ADHPL,APL_Raipur_TPP,KWHEP,CHANJUII,KWHEP,JHAJJAR,SIMHAPURI,NBVL_OTCL,CSPDCL,SEPLPHASE2,PCKL,KWHEP,JPL2,RKM_POWER,MAHAN_ENERGEN,SIMHAPURI,BAWANA_GAS,APL_Raigarh_TPP,JPL2,JIPL,GBHHPL,RKM_POWER,MBMP,MBMP,JPL2,SORANG_HEP,O2Z,MBMP,RKM_POWER,Manipur_Ben,Kameng,GBHHPL,SKS_Raigarh,RKM_POWER,JSWEL_MSEB,CSEB_Beneficiary,RIHAND3,ILFS,GRETAENERGY,GBHHPL,GoHP_Chamera1,GoHP_Rampur,ILFS,ITCWIND,JPL2,TRN_ENERGY,CSEB_Beneficiary,MAHAN_ENERGEN,DADRT2,Manipur_Ben,CSEB_Beneficiary,RIHAND1,MAHAN_ENERGEN,RKM_POWER,CSEB_Beneficiary,COASTGEN,SKS_Raigarh,APL_Raipur_TPP,APL_Raigarh_TPP,MBMP,JPNIGRIE_JNSTPP,APL_Raigarh_TPP,JPL2,CSEB_Beneficiary,JPL2,TRN_ENERGY,JPL2,RIHAND2,TS1PL_BKN,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,PUNJAB,BRPL,BRPL,TPDDL,BRPL,TPDDL,BRPL,TPDDL,BRPL,BRPL,BRPL,BRPL,BYPL,BRPL,BRPL,BRPL,TPDDL,BRPL,HARYANA,TPDDL,BRPL,NDMC,DIAPL,NDMC,NDMC,BRPL,NDMC,TPDDL,BYPL,NDMC,NDMC,BYPL,TPDDL,BRPL,NDMC,NDMC,MES_Delhi,BYPL,BRPL,BRPL,BYPL,DIAPL,BRPL,BRPL,BRPL,ITCLH,BYPL,NDMC,BYPL,TPDDL,BRPL,BYPL,BYPL,BRPL,TPDDL,NDMC,BYPL,BRPL,NDMC,TPDDL,TPDDL,BRPL,TPDDL,TPDDL,BRPL,BYPL,BRPL,NDMC,NDMC,BRPL,BRPL,
,,North-North,North-North,West-North,South-West-North,South-West-North,West-North,West-North,West-North,North-North,West-North,North-North,West-North,North-North,North-North,North-North,North-North,South-West-North,East-West-North,West-North,North-North,South-West-North,North-North,West-North,West-North,West-North,South-East-North,North-North,West-North,West-North,East-North,North-North,West-North,West-North,West-North,West-North,North-North,North-North,West-North,West-North,North East-East-North,North East-East-North,North-North,West-North,West-North,West-North,West-North,North-North,South-West-North,West-North,North-North,North-North,North-North,South-West-North,South-West-North,West-North,West-North,West-North,West-North,North-North,North East-East-North,West-North,North-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,
1,00:00-00:15,0,0,24.16,62.81,0,96.63,11.9,48.32,32,24.16,32.85,0,87.93,16.92,96.63,146.88,48.32,24.16,11.91,170.07,48.32,33.05,0,48.32,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,8.7,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,38.65,192.64,5.8,10.63,24.16,24.16,0,0.68,96.63,0,24.88,0,135.28,27.06,55.99,33.82,144.94,0,217.32,193.26,0,144.94,144.94,0,63.58,0,193.26,0,106.29,8.78,26.35,28.99,0,3377.3600000000006

2,00:15-00:30,0,0,24.16,62.81,0,96.63,11.9,48.32,32,24.16,32.85,0,87.93,16.92,96.63,146.88,48.32,24.16,11.91,170.07,48.32,33.05,0,48.32,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,8.7,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,38.65,192.64,5.8,10.63,24.16,24.16,0,0.68,96.63,0,24.88,0,135.28,27.06,55.99,33.82,144.94,0,217.32,193.26,0,144.94,144.94,0,63.58,0,193.26,0,106.29,8.78,26.35,28.99,0,3377.3600000000006

