Block,Time,NR/01102023/31052040/LT-31,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,NR/01102023/05012040/L_NR_2020_02,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02012046/L_NR_2021_17,NR/01102023/23072042/L_NR_2012_04,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,NR/01102023/22052037/LT-59,WR/01102023/31032046/L_NR_2020_05,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2020_06,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_02,WR/01102023/30052048/L_NR_2022_10,NR/01102023/31102037/L_NR_2019_11,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/L_NR_2019_05,SR/01102023/07102043/L_NR_2018_61,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_16,NR/01102023/14082046/L_NR_2021_16,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01
1,00:00-00:15,0.000000,24.700000,116.180000,2.980000,0.000000,0,0,0,272.310000,0,25.17,0,2.640000,27.96,0,0,9.32,0,9.32,24.710000,209.260000,25.17,2.470000,27.110000,8.95,0,0,0,7.7,73.730000,0.000000,0,0,0,0.000000,101.410000

2,00:15-00:30,0.000000,24.700000,116.180000,2.980000,0.000000,0,0,0,272.310000,0,24.67,0,2.640000,27.92,0,0,9.31,0,9.29,24.710000,209.260000,24.67,2.470000,27.110000,8.84,0,0,0,7.66,73.730000,0.000000,0,0,0,0.000000,101.410000

3,00:30-00:45,0.000000,24.700000,116.180000,2.980000,0.000000,0,0,0,272.310000,0,24.01,0,2.640000,27.18,0,0,9.06,0,9.06,24.710000,209.260000,24.01,2.470000,27.110000,8.74,0,0,0,7.58,73.730000,0.000000,0,0,0,0.000000,101.410000

4,00:45-01:00,0.000000,24.700000,116.180000,2.980000,0.000000,0,0,0,272.310000,0,23.67,0,2.640000,25.92,0,0,8.64,0,8.63,24.710000,209.260000,23.67,2.470000,27.110000,8.68,0,0,0,5.84,73.730000,0.000000,0,0,0,0.000000,101.410000

5,01:00-01:15,0.000000,26.130000,72.030000,2.980000,0.000000,0,0,0,272.310000,0,23.34,0,2.730000,24.41,0,0,8.14,0,8.12,26.130000,209.260000,23.34,2.310000,27.110000,8.62,0,0,0,5.84,73.730000,0.000000,0,0,0,0.000000,101.410000

