Block,Time Block,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,MAPS,CHAMERA1,BSIUL,BRBCL,DADRT2,CHAMERA3,CHAMERA2,DHAULIGNGA,FSTPP I & II,DULHASTI,JHAJJAR,KGSU1AND2,KGSU3AND4,KHSTPP-II,KHSTPP-I,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,NLCTS2EXP,NNTPP,RAMPUR,NTPL,PARBATI3,RAPPC,RIHAND1,RAPPB,RIHAND3,RIHAND2,RSTPSU1TO6,SIMHST1,RSTPSU7,SALAL,SEWA2,SASAN,TALST2,TALA,UNCHAHAR2,URI,UNCHAHAR1,UNCHAHAR4,UNCHAHAR3,VALLURNTECL,URI2,SINGRAULI_HYDRO,SIMHST2,SINGRAULI,TANAKPUR,TelanganaSTPP,TEHRI,TANDA2,ANTA_LF,DADRI_GF,AURY_GF,ANTA_GF,DADRI_CRF,DADRI_RF,AURY_CRF,ANTA_CRF,AURY_RF,ANTA_RF,DADRI_LF,AURY_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,41.18,0,0,0,0,0,0,0,18.8,362.72,0,1.79,0,11.54,0,231.19,0,0,82.11,39.04,0,0,0,0,8.51,0,0,0,0,0,0,49.06,77.48,0,119.26,99.11,0,0,0,1.34,0,390.5,0,0,15.24,38.13,14.87,0,19.62,0,4.38,0,0,116.87,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,41.18,0,0,0,0,0,0,0,18.29,331.1,0,1.79,0,11.54,0,231.19,0,0,81.76,37.39,0,0,0,0,8.51,0,0,0,0,0,0,49.06,77.48,0,119.26,99.11,0,0,0,1.34,0,390.5,0,0,15.24,38.13,14.87,0,19.23,0,18.06,0,0,116.87,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,41.18,0,0,0,0,0,0,0,16.07,331.1,0,1.79,0,11.54,0,231.19,0,0,81.76,37.39,0,0,0,0,8.51,0,0,0,0,0,0,49.3,77.48,0,119.26,99.11,0,0,0,1.34,0,390.5,0,0,15.24,3.18,14.87,0,19.23,0,18.06,0,0,116.87,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,41.18,0,0,0,0,0,0,0,15.73,311.92,0,1.79,0,11.54,0,230.15,0,0,81.76,37.39,0,0,0,0,8.51,0,0,0,0,0,0,49.3,77.48,0,119.26,99.11,0,0,0,1.34,0,390.5,0,0,11.3,1.38,11.52,0,14.26,0,18.06,0,0,116.87,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,41.18,0,0,0,0,0,0,0,14.93,311.92,0,1.79,0,11.54,0,230.15,0,0,81.76,37.39,0,0,0,0,8.51,0,0,0,0,0,0,49.3,77.48,0,119.26,99.11,0,0,0,1.34,0,390.5,0,0,11.3,1.38,11.52,0,14.26,0,18.06,0,0,116.87,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,41.18,0,0,0,0,0,0,0,13.79,297.53,0,1.79,0,11.54,0,230.15,0,0,81.76,37.39,0,0,0,0,8.51,0,0,0,0,0,0,49.3,77.48,0,119.26,99.11,0,0,0,1.34,0,390.5,0,0,11.3,1.38,11.52,0,14.26,0,18.06,0,0,116.87,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,41.18,0,0,0,0,0,0,0,14.3,283.14,0,1.79,0,11.54,0,230.15,0,0,69.18,32.13,0,0,0,0,8.51,0,0,0,0,0,0,49.54,77.48,0,119.26,89.37,0,0,0,1.34,0,390.5,0,0,11.3,1.38,11.52,0,14.26,0,18.06,0,0,116.87,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,41.18,0,0,0,0,0,0,0,14.5,276.42,0,1.79,0,11.54,0,230.15,0,0,69.18,32.13,0,0,0,0,8.51,0,0,0,0,0,0,49.54,77.48,0,119.26,89.37,0,0,0,1.34,0,390.5,0,0,11.3,1.38,11.52,0,14.26,0,4.38,0,0,116.87,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,41.18,0,0,0,0,0,0,0,13.95,262.99,0,1.79,0,11.54,0,230.15,0,0,69.18,32.13,0,0,0,0,8.51,0,0,0,0,0,0,49.54,77.48,0,119.26,89.37,0,0,0,1.34,0,390.5,0,0,11.3,1.06,11.52,0,14.26,0,4.38,0,0,116.87,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,41.18,0,0,0,0,0,0,0,13.7,256.28,0,1.79,0,11.54,0,230.15,0,0,69.18,32.13,0,0,0,0,8.51,0,0,0,0,0,0,49.54,77.48,0,119.26,89.37,0,0,0,1.34,0,390.5,0,0,11.3,1.06,11.52,0,14.26,0,4.38,0,0,116.87,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,41.18,0,0,0,0,0,0,0,13.24,257.24,0,1.79,0,11.54,0,230.15,0,0,69.18,32.13,0,0,0,0,8.51,0,0,0,0,0,0,49.79,77.48,0,119.26,89.37,0,0,0,1.34,0,390.5,0,0,11.3,1.06,11.52,0,14.26,0,4.38,0,0,116.87,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,41.18,0,0,0,0,0,0,0,15.29,250.52,0,1.79,0,11.54,0,230.15,0,0,69.18,32.13,0,0,0,0,8.51,0,0,0,0,0,0,49.79,77.48,0,119.26,84.57,0,0,0,1.34,0,390.5,0,0,11.3,1.06,11.52,0,14.26,0,4.38,0,0,116.87,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,41.18,0,0,0,0,0,0,0,14.91,248.6,0,0,0,11.54,0,230.15,0,0,69.18,32.13,0,0,0,0,8.51,0,0,0,0,0,0,49.79,77.48,0,119.26,84.57,0,0,0,12.26,0,390.5,0,0,11.3,1.06,11.52,0,14.26,0,4.38,0,0,116.87,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,41.18,0,0,0,0,0,0,0,15.68,247.64,0,0,0,11.54,0,230.15,0,0,69.18,32.13,0,0,0,0,8.51,0,0,0,0,0,0,49.79,77.48,0,119.26,84.57,0,0,0,53.5,0,390.5,0,0,11.3,1.06,11.52,0,14.26,0,4.38,0,0,98.42,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,41.18,0,0,0,0,0,0,0,15.41,249.56,0,0,0,11.54,0,230.15,0,0,69.18,32.13,0,0,0,0,8.51,0,0,0,0,0,0,50.03,77.48,0,119.26,84.57,0,0,0,53.5,0,390.5,0,0,11.3,1.06,11.52,0,14.26,0,4.38,0,0,93.63,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,41.18,0,0,0,0,0,0,0,14.1,254.36,0,0,0,11.54,0,230.15,0,0,69.18,32.13,0,0,0,0,8.51,0,0,0,0,0,0,50.03,77.48,0,119.26,84.57,0,0,0,53.5,0,390.5,0,0,11.3,1.06,11.52,0,14.26,0,4.38,0,0,93.63,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,41.18,0,0,0,0,0,0,0,16.78,272.59,0,0,0,11.54,0,230.15,0,0,69.18,32.13,0,0,0,0,8.51,0,0,0,0,0,0,50.03,43.17,0,119.26,84.57,0,0,0,53.5,0,390.5,0,0,11.3,1.06,11.52,0,14.26,0,4.38,0,0,93.63,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,41.18,0,0,0,0,0,0,0,16.62,289.85,0,0,0,11.54,0,230.15,0,0,69.18,32.13,0,0,0,0,8.51,0,0,0,0,0,0,50.03,43.17,0,119.26,84.57,0,0,0,12.26,0,390.5,0,0,11.3,1.06,11.52,0,14.26,0,4.38,0,0,116.87,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

