Time,Block,NR/2024/18694/C,NER/2024/1934/A/5496,NR/2024/18388/A/5387,NER/2024/1922/A/5497,NR/2024/18693/C,NR/2024/18436/A/5369,NR/2024/18445/A/5486,WR/2024/21355/A/5487,NR/2024/18692/C,WR/2024/21351/A/5500,SR/2024/11849/C,Total
,,SJVNL,APPCPL,ITCLH,APPCPL,SJVNL,IEXL,MANIKARAN,MANIKARAN,NVVNL,APPCPL,HPXL,Total

,,TELANGANA,DELHI,ANDHRA PRADESH,DELHI,UTTAR PRADESH,MAHARASHTRA,DELHI,DELHI,NA,DELHI,DELHI,
,,NSLKSLWPRTY,BYPL,ITCWIND,BRPL,BCMLB001,A_A_Energy_MH_Bio,BRPL,BRPL,SOLAPUR_SOLAR,BRPL,BYPL,
,,DELHI,NAGALAND,DELHI,MANIPUR,DELHI,DELHI,HIMACHAL PRADESH,GOA,DELHI,GOA,TAMIL NADU,
,,NDMC,Nagaland_Ben,ITCLH,Manipur_Ben,NDMC,MES (Delhi),HP,GOA_Beneficiary,MES (Delhi),GOA_Beneficiary,TANGEDCO,
,,South-East-North,North-East-North East,South-West-North,North-East-North East,North-North,West-East-North,North-North,North-West,West-North,North-West,North-East-South,
1,00:00-00:15,0.000000,20.000000,0.390000,25.000000,0.000000,7.720000,0.000000,0.000000,0,0.000000,150.00,203.11

2,00:15-00:30,0.000000,20.000000,0.390000,25.000000,0.000000,7.720000,0.000000,0.000000,0,0.000000,150.00,203.11

3,00:30-00:45,0.000000,20.000000,0.390000,25.000000,0.000000,7.720000,0.000000,0.000000,0,0.000000,150.00,203.11

4,00:45-01:00,0.000000,20.000000,0.390000,25.000000,0.000000,7.720000,0.000000,0.000000,0,0.000000,150.00,203.11

5,01:00-01:15,0.000000,20.000000,0.390000,25.000000,0.000000,7.720000,0.000000,0.000000,0,0.000000,150.00,203.11

6,01:15-01:30,0.000000,20.000000,0.390000,25.000000,0.000000,7.720000,0.000000,0.000000,0,0.000000,150.00,203.11

7,01:30-01:45,0.000000,20.000000,0.390000,25.000000,0.000000,7.720000,0.000000,0.000000,0,0.000000,150.00,203.11

8,01:45-02:00,0.000000,20.000000,0.390000,25.000000,0.000000,7.720000,0.000000,0.000000,0,0.000000,150.00,203.11

9,02:00-02:15,0.000000,20.000000,0.390000,25.000000,0.000000,7.720000,0.000000,0.000000,0,0.000000,150.00,203.11

10,02:15-02:30,0.000000,20.000000,0.390000,25.000000,0.000000,7.720000,0.000000,0.000000,0,0.000000,150.00,203.11

11,02:30-02:45,0.000000,20.000000,0.390000,25.000000,0.000000,7.720000,0.000000,0.000000,0,0.000000,150.00,203.11

12,02:45-03:00,0.000000,20.000000,0.390000,25.000000,0.000000,7.720000,0.000000,0.000000,0,0.000000,70.00,123.11

13,03:00-03:15,0.000000,20.000000,0.390000,25.000000,0.000000,7.720000,0.000000,0.000000,0,0.000000,70.00,123.11

14,03:15-03:30,0.000000,20.000000,0.390000,25.000000,0.000000,7.720000,0.000000,0.000000,0,0.000000,0.00,53.11

15,03:30-03:45,0.000000,20.000000,0.390000,25.000000,0.000000,7.720000,0.000000,0.000000,0,0.000000,0.00,53.11

16,03:45-04:00,0.000000,20.000000,0.390000,25.000000,0.000000,7.720000,0.000000,0.000000,0,0.000000,70.00,123.11

17,04:00-04:15,0.000000,20.000000,0.390000,25.000000,0.000000,7.720000,0.000000,0.000000,0,0.000000,70.00,123.11

18,04:15-04:30,0.000000,20.000000,0.390000,25.000000,0.000000,7.720000,0.000000,0.000000,0,0.000000,70.00,123.11

19,04:30-04:45,0.000000,20.000000,0.390000,25.000000,0.000000,7.720000,0.000000,0.000000,0,0.000000,70.00,123.11

20,04:45-05:00,0.000000,20.000000,0.390000,25.000000,0.000000,7.720000,0.000000,0.000000,0,0.000000,150.00,203.11

21,05:00-05:15,0.000000,20.000000,0.390000,25.000000,0.000000,7.720000,0.000000,0.000000,0,0.000000,150.00,203.11

22,05:15-05:30,0.000000,20.000000,0.390000,25.000000,0.000000,7.720000,0.000000,0.000000,0,0.000000,150.00,203.11

23,05:30-05:45,0.000000,20.000000,0.390000,25.000000,0.000000,7.720000,0.000000,0.000000,0,0.000000,150.00,203.11

