Block,Time,SALAL,ANTA_GF,BSIUL,RAMPUR,RIHAND2,RIHAND1,CHAMERA1,DADRT2,UNCHAHAR1,UNCHAHAR3,NAPP,TEHRI,UNCHAHAR2,ANTA_RF,RAPPC,KISHANGANGA,URI,UNCHAHAR4,DADRI_LF,TANAKPUR,SEWA2,CHAMERA2,URI2,KOTESHWR,AURY_CRF,AURY_LF,ANTA_CRF,DADRI_CRF,CHAMERA3,SINGRAULI,NJPC,RAPPB,ANTA_LF,SINGRAULI_HYDRO,RIHAND3,AURY_GF,DHAULIGNGA,DULHASTI,JHAJJAR,KHSTPP-I,DADRI_RF,TALA,BRBCL,SASAN,TANDA2,DADRI_GF,KHSTPP-II,KUDGI,AURY_RF,FSTPP I & II,KOLDAM,PARBATI3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,73.113040,0.000000,19.032235,1.710148,115.763120,90.333760,41.294880,474.462199,13.176126,16.379818,39.455247,34.171667,35.121363,0.000000,53.424540,2.114555,45.952896,0.784080,0.000000,3.720024,16.058021,0.000000,33.472660,32.892389,0.000000,0.000000,0.000000,0.358450,0.000000,137.456000,154.897106,0.000000,0.000000,1.053724,121.285842,0.000000,37.147370,50.323618,232.138191,38.345384,0.000000,11.383680,15.349770,396.396000,1.348163,0.000000,142.795004,19.36,0.000000,14.970604,2.594839,32.408535,0,0,0,0,0

2,00:15-00:30,73.113040,0.000000,19.032235,1.710148,115.763120,90.333760,41.294880,456.072289,13.176126,16.379818,39.455247,34.171667,35.121363,0.000000,53.424540,2.114555,45.952896,0.784080,0.000000,3.720024,16.058021,0.000000,33.472660,32.892389,0.000000,0.000000,0.000000,0.358450,0.000000,137.456000,154.897106,0.000000,0.000000,1.053724,121.285842,0.000000,37.147370,50.323618,232.138191,38.345384,0.000000,11.383680,13.356171,396.396000,1.348163,0.000000,142.795004,18.39,0.000000,14.970604,2.594839,32.408535,0,0,0,0,0

3,00:30-00:45,73.113040,0.000000,12.688157,1.710148,114.637142,89.458398,41.294880,365.071961,11.561460,13.836826,39.455247,34.171667,34.718966,0.000000,53.424540,2.114555,45.952896,0.393575,0.000000,11.780076,16.058021,0.000000,33.472660,32.892389,0.000000,0.000000,0.000000,0.365130,0.000000,137.456000,154.897106,0.000000,0.000000,1.053724,121.285842,0.000000,37.147370,50.323618,230.131102,35.522018,0.000000,14.229600,13.004968,396.396000,1.348163,0.000000,139.656264,15.49,0.000000,14.766646,2.594839,32.408535,0,0,0,0,0

4,00:45-01:00,73.113040,0.000000,12.688157,1.710148,114.637142,89.458398,41.294880,365.058704,11.561460,13.836826,39.455247,34.171667,34.718966,0.000000,53.424540,2.114555,45.952896,0.393575,0.000000,11.780076,16.058021,0.000000,33.472660,32.892389,0.000000,0.000000,0.000000,0.365130,0.000000,137.456000,154.897106,0.000000,0.000000,1.053724,121.285842,0.000000,37.147370,50.323618,230.131102,35.522018,0.000000,14.229600,9.573082,396.396000,1.348163,0.000000,117.902400,14.52,0.000000,14.766646,2.594839,32.408535,0,0,0,0,0

5,01:00-01:15,71.988224,0.000000,12.688157,1.710148,115.763120,89.458398,41.294880,365.125172,11.561460,13.875665,39.455247,34.171667,22.036912,0.000000,53.424540,2.114555,45.952896,0.396144,0.000000,11.780076,16.058021,0.000000,33.472660,32.892389,0.000000,0.000000,0.000000,0.365130,0.000000,137.456000,154.897106,0.000000,0.000000,1.053724,121.285842,0.000000,37.147370,50.323618,231.836995,10.648000,0.000000,14.229600,10.631914,396.396000,1.348163,0.000000,38.720000,37.69,0.000000,4.026481,2.594839,19.445122,0,0,0,0,0

6,01:15-01:30,71.988224,0.000000,12.688157,1.710148,115.763120,90.333760,41.294880,365.111915,11.561460,13.875665,39.455247,34.171667,22.036912,0.000000,53.424540,2.114555,45.952896,0.396144,0.000000,11.780076,16.058021,0.000000,33.472660,32.892389,0.000000,0.000000,0.000000,0.365130,0.000000,137.456000,154.897106,0.000000,0.000000,1.053724,121.285842,0.000000,37.147370,50.323618,231.836995,10.648000,0.000000,14.229600,10.523819,396.396000,1.348163,0.000000,38.720000,35.73,0.000000,2.904000,2.594839,19.445122,0,0,0,0,0

7,01:30-01:45,71.988224,0.000000,12.688157,1.710148,115.763120,90.333760,41.294880,365.125172,11.561460,13.875665,39.455247,34.171667,22.036912,0.000000,53.424540,2.114555,45.952896,0.396144,0.000000,11.780076,16.058021,0.000000,33.472660,32.892389,0.000000,0.000000,0.000000,0.365130,0.000000,137.456000,154.897106,0.000000,0.000000,1.053724,121.285842,0.000000,37.147370,50.323618,231.836995,10.648000,0.000000,14.229600,12.507489,396.396000,1.348163,0.000000,38.720000,27.10,0.000000,2.904000,2.594839,19.445122,0,0,0,0,0

8,01:45-02:00,71.988224,0.000000,12.688157,1.710148,115.763120,90.333760,41.294880,365.111915,11.561460,13.875665,39.455247,34.171667,22.036912,0.000000,53.424540,2.114555,45.952896,0.396144,0.000000,11.780076,16.058021,0.000000,33.472660,32.892389,0.000000,0.000000,0.000000,0.365130,0.000000,137.456000,154.897106,0.000000,0.000000,1.053724,121.285842,0.000000,37.147370,50.323618,231.836995,10.648000,0.000000,14.229600,12.756331,396.396000,1.348163,0.000000,38.720000,27.10,0.000000,2.904000,2.594839,19.445122,0,0,0,0,0

9,02:00-02:15,71.988224,0.000000,12.688157,1.710148,115.763120,90.333760,41.294880,365.098657,11.561460,13.875665,39.455247,34.171667,22.036912,0.000000,53.424540,2.114555,45.952896,0.396144,0.000000,9.920064,16.058021,0.000000,33.472660,32.892389,0.000000,0.000000,0.000000,0.365130,0.000000,137.456000,154.897106,0.000000,0.000000,1.053724,121.285842,0.000000,37.147370,50.323618,231.836995,10.648000,0.000000,14.229600,9.769105,396.396000,1.348163,0.000000,38.720000,32.71,0.000000,2.904000,2.594839,19.445122,0,0,0,0,0

10,02:15-02:30,71.988224,0.000000,12.688157,1.710148,115.763120,90.333760,41.294880,365.085399,11.561460,13.875665,39.455247,34.171667,22.036912,0.000000,53.424540,2.114555,45.952896,0.396144,0.000000,9.920064,16.058021,0.000000,33.472660,32.892389,0.000000,0.000000,0.000000,0.365130,0.000000,137.456000,154.897106,0.000000,0.000000,1.053724,121.285842,0.000000,37.147370,50.323618,231.836995,10.648000,0.000000,14.229600,9.312777,396.396000,1.348163,0.000000,38.720000,31.95,0.000000,2.904000,2.594839,19.445122,0,0,0,0,0

11,02:30-02:45,71.988224,0.000000,19.032235,1.710148,115.763120,90.333760,41.294880,365.098657,11.561460,13.875665,39.455247,34.171667,22.036912,0.000000,53.424540,2.114555,50.227584,0.396144,0.000000,9.920064,16.058021,0.000000,33.472660,32.892389,0.000000,0.000000,0.000000,0.365130,0.000000,137.456000,154.897106,0.000000,0.000000,1.053724,121.285842,0.000000,37.147370,50.323618,231.836995,10.648000,0.000000,14.229600,9.530091,396.396000,1.348163,0.000000,38.720000,30.46,0.000000,2.904000,2.594839,19.445122,0,0,0,0,0

12,02:45-03:00,71.988224,0.000000,19.032235,1.710148,95.199702,73.498360,41.294880,365.085399,11.561460,13.875665,39.455247,34.171667,22.036912,0.000000,53.424540,2.114555,50.227584,0.396144,0.000000,9.920064,16.058021,0.000000,33.472660,32.892389,0.000000,0.000000,0.000000,0.365130,0.000000,137.456000,154.897106,0.000000,0.000000,1.053724,121.285842,0.000000,37.147370,50.323618,231.836995,10.648000,0.000000,14.229600,11.509461,396.396000,1.348163,0.000000,38.720000,29.73,0.000000,2.904000,2.594839,19.445122,0,0,0,0,0

