Block,Time,L_NR_2012_02,LT-59,LT-36,L_NR_2012_01,LT-31,SH-07,L_NR_2020_02,LT-05,L_NR_2023_04,LT-35,L_NR_2019_11,SH-06,L_NR_2012_04,L_NR_2012_07,L_NR_2018_61,L_NR_2022_08,L_NR_2022_09,L_NR_2021_15,L_NR_2019_07,L_NR_2019_05,L_NR_2020_07,L_NR_2021_14,L_NR_2020_05,L_NR_2021_17,L_NR_2021_13,L_NR_2022_10,L_NR_2019_06,L_NR_2019_19,L_NR_2021_12,L_NR_2021_16,L_NR_2020_06
1,00:00-00:15,235.170000,10.330000,0.000000,101.130000,0.000000,0.000000,0.000000,115.890000,26.070000,0.000000,10.750000,0.000000,271.520000,74.030000,44.21,8.45,26.69,0,0,0,10.78,0,32.35,0,0,26.69,0,0,0,0,10.78

2,00:15-00:30,235.170000,10.330000,0.000000,101.130000,0.000000,0.000000,0.000000,115.890000,25.100000,0.000000,10.750000,0.000000,271.520000,74.030000,44.24,8.33,25.97,0,0,0,10.87,0,32.58,0,0,25.97,0,0,0,0,10.86

3,00:30-00:45,235.170000,10.330000,0.000000,101.130000,0.000000,0.000000,0.000000,115.890000,27.030000,0.000000,10.750000,0.000000,271.520000,74.030000,44.21,8.2,25.52,0,0,0,9.21,0,27.66,0,0,25.52,0,0,0,0,9.22

4,00:45-01:00,235.170000,10.330000,0.000000,101.130000,0.000000,0.000000,0.000000,115.890000,26.070000,0.000000,10.750000,0.000000,271.520000,74.030000,44.11,8.13,25.12,0,0,0,9.21,0,27.64,0,0,25.12,0,0,0,0,9.21

5,01:00-01:15,235.170000,10.330000,0.000000,101.130000,0.000000,0.000000,0.000000,115.890000,26.070000,0.000000,10.750000,0.000000,271.520000,74.030000,44.12,8.05,24.83,0,0,0,9.09,0,27.29,0,0,24.83,0,0,0,0,9.1

6,01:15-01:30,235.170000,10.330000,0.000000,101.130000,0.000000,0.000000,0.000000,115.890000,26.070000,0.000000,10.750000,0.000000,271.520000,74.030000,44.04,7.98,24.44,0,0,0,9.04,0,27.09,0,0,24.44,0,0,0,0,9.03

7,01:30-01:45,235.170000,10.330000,0.000000,101.130000,0.000000,0.000000,0.000000,115.890000,25.100000,0.000000,10.750000,0.000000,271.520000,74.030000,43.96,7.82,23.91,0,0,0,8.98,0,26.93,0,0,23.91,0,0,0,0,8.98

8,01:45-02:00,235.170000,10.330000,0.000000,101.130000,0.000000,0.000000,0.000000,115.890000,25.100000,0.000000,10.750000,0.000000,271.520000,74.030000,43.93,7.51,23.94,0,0,0,8.58,0,25.76,0,0,23.94,0,0,0,0,8.59

9,02:00-02:15,235.170000,10.330000,0.000000,101.130000,0.000000,0.000000,0.000000,115.890000,25.100000,0.000000,10.750000,0.000000,271.520000,74.030000,43.88,7.35,31.98,0,0,0,11.7,0,35.15,0,0,31.98,0,0,0,0,11.72

10,02:15-02:30,235.170000,10.330000,0.000000,101.130000,0.000000,0.000000,0.000000,115.890000,25.100000,0.000000,10.750000,0.000000,271.520000,74.030000,43.74,7.1,31.68,0,0,0,11.72,0,35.16,0,0,31.68,0,0,0,0,11.72

11,02:30-02:45,235.170000,10.330000,0.000000,101.130000,0.000000,0.000000,0.000000,115.890000,25.100000,0.000000,10.750000,0.000000,271.520000,74.030000,43.63,6.77,30.95,0,0,0,11.78,0,35.31,0,0,30.95,0,0,0,0,11.77

