Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/28774/A/84363,NR/2025/27356/A/84567,NR/2025/26889/A/84846,NR/2025/26785/A/84369,NR/2025/27726/A/84884,NR/2025/26085/A/84346,NR/2025/27168/A/84837,NR/2025/30428/C,NR/2025/27499/A/84845,NR/2025/29816/A/84481,NR/2025/30382/C,NR/2025/27242/A/84864,NR/2025/27176/A/84890,NR/2025/27088/A/84920,NR/2025/30384/C,NR/2025/26445/A/84924,NR/2025/26861/A/84861,NR/2025/27728/A/84883,NR/2025/27187/A/84888,NR/2025/26952/A/84451,NR/2025/27185/A/84889,NR/2025/26562/A/84819,NR/2025/28719/A/84482,NR/2025/27500/A/84368,NR/2025/27281/A/84925,NR/2025/30370/C,NR/2025/26975/A/84891,NR/2025/27157/A/84490,NR/2025/30246/C,NR/2025/30367/C,NR/2025/27100/A/84503,NR/2025/30368/C,NR/2025/27782/A/84881,NR/2025/29451/A/84566,NR/2025/26860/A/84816,NR/2025/26566/A/84821,NR/2025/27727/A/84882,NR/2025/27506/A/84367,NR/2025/30383/C,NR/2025/26572/A/84823,NR/2025/26571/A/84822,NR/2025/27725/A/84885,NR/2025/26777/A/84491,NR/2025/30319/C,NR/2025/30245/C,NR/2025/30320/C,NR/2025/26565/A/84820,NR/2025/30324/C,NR/2025/30240/C,NR/2025/30380/C,NR/2025/30224/C,NR/2025/27167/A/84836,NR/2025/30267/C,NR/2025/30381/C,NR/2025/30307/C,NR/2025/30356/C,NR/2025/30252/C,NR/2025/30368/C/Alternate/1,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/7663,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/2868,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/5280,Total
,,SECI_Trader,IEXL,BRPL,HPXL,IEXL,APPCPL,ITCLH,PTC,DIAPL,HPXL,DIAPL,APPCPL,GMRETL,APPCPL,NVVNL,APPCPL,NVVNL,PowerPulse,APPCPL,APPCPL,PXIL,APPCPL,PowerPulse,DIAPL,IEXL,MANIKARAN,NVVNL,APPCPL,KEIPL,APPCPL,NVVNL,IVPL_Trader,NVVNL,APPCPL,BRPL,BRPL,PowerPulse,APPCPL,IEXL,APPCPL,PowerPulse,PowerPulse,APPCPL,INSTINCT,PowerPulse,APPCPL,PowerPulse,PowerPulse,PowerPulse,APPCPL,APPCPL,MANIKARAN,PTC,PXIL,APPCPL,BRPL,INSTINCT,IEXL,NVVNL,APPCPL,MANIKARAN,INSTINCT,APPCPL,PowerPulse,MANIKARAN,PTC,NVVNL,SIMHAPURI,BAWANA_GAS,PUNJAB,PTC,APPCPL,APPCPL,NDMC,DELHI,KEIPL,
,,NA,NA,NA,MSEB_State,NA,NA,ANDHRA_PRADESH_STATE,GoHP_Rampur_STATE,HIMACHAL_STATE,JK_and_LADAKH_UT,HIMACHAL_STATE,NA,HIMACHAL_STATE,MSEB_State,NA,NA,NA,NA,NA,KERALA_State,NA,KERALA_State,NA,HIMACHAL_STATE,MSEB_State,CSEB_State,NA,Manipur_State,CSEB_State,MSEB_State,NA,MSEB_State,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,NA,KERALA_State,NA,NA,NA,Manipur_State,NA,CSEB_State,GoHP_Chamera1_STATE,NA,NA,NA,NA,NA,NA,GOA_State,MP_State,NA,CSEB_State,NA,MSEB_State,TELANGANA_State,NA,NA,DELHI_UT,DELHI_UT,ODISHA_STATE,GOA_State,NA,NA,HIMACHAL_STATE,CSEB_State,
,,APSEPL_FTG,TPSL_BKN2,TS1PL_BKN,GRETAENERGY,MBMP,RKM_POWER,ITCWIND,GoHP_Rampur,GBHHPL,O2Z,GBHHPL,JPL2,GBHHPL,AEML,ILFS,RKM_POWER,JPNIGRIE_JNSTPP,COASTGEN,RKM_POWER,KSEB,MBMP,KSEB,APL_Raipur_TPP,GBHHPL,A_A_Energy_MH_Bio,CSEB_Beneficiary,ILFS,Manipur_Ben,CSEB_Beneficiary,AEML,SORANG_HEP,TPC_MSEB,Kameng,TRN_ENERGY,DADRT2,JPL2,MAHAN_ENERGEN,JPL2,NHCPL_HP,TRN_ENERGY,APL_Raigarh_TPP,APL_Raigarh_TPP,SKS_Raigarh,JPL2,MAHAN_ENERGEN,KSEB,APL_Raigarh_TPP,MAHAN_ENERGEN,APL_Raipur_TPP,Manipur_Ben,SKS_Raigarh,CSEB_Beneficiary,GoHP_Chamera1,MBMP,RKM_POWER,JPL2,JPL2,MBMP,Kameng,GOA_Beneficiary,BLAPOWER_MP,SIMHAPURI,CSPDCL,COASTGEN,AEML,NAVABHARAT,JHABUA_IPP,SIMHAPURI,BAWANA_GAS,BAWANA_GAS,NBVL_OTCL,GOA_Beneficiary,DBPL,JIPL,CHANJUII,CSPDCL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,MES_Delhi,BRPL,BYPL,NDMC,NDMC,ITCLH,BRPL,DIAPL,BYPL,DIAPL,NDMC,BRPL,BYPL,BRPL,NDMC,TPDDL,BRPL,NDMC,BYPL,BRPL,BYPL,TPDDL,DIAPL,MES_Delhi,BYPL,BRPL,BYPL,BYPL,BYPL,TPDDL,BYPL,TPDDL,NDMC,BRPL,BRPL,TPDDL,NDMC,MES_Delhi,NDMC,TPDDL,TPDDL,NDMC,BRPL,TPDDL,BYPL,TPDDL,TPDDL,TPDDL,BYPL,NDMC,BYPL,BRPL,BRPL,NDMC,BRPL,BRPL,NDMC,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,HARYANA,PUNJAB,BRPL,BRPL,BRPL,NDMC,TPDDL,BRPL,
,,North-North,North-North,North-North,West-North,West-North,West-North,South-West-North,North-North,North-North,North-North,North-North,West-North,North-North,West-North,South-West-North,West-North,West-North,South-West-North,West-North,South-West-North,West-North,South-West-North,West-North,North-North,West-North,West-North,South-West-North,North East-East-North,West-North,West-North,North-North,West-North,North East-East-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,North East-East-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,North East-East-West-North,West-North,West-North,South-West-North,West-North,South-West-North,West-North,South-West-North,West-North,South-East-North,North-North,North-North,East-West-North,West-North,West-North,East-North,North-North,West-North,
1,00:00-00:15,0,0,0,5.78,0,26.25,0.67,20.45,0,8.66,1.92,0,40.91,105.88,163.62,0,96.25,163.62,26.25,19.25,0,19.25,144.38,10.59,7.7,24.78,0,26.95,216.47,0,27.91,25.1,0,7.7,96.25,89.99,0,26.25,1.92,0,0,144.38,8.75,163.62,0,0,0,144.38,0,0,0,0,20.45,0,0,0,0,0,163.87,15.26,20.45,40.91,11.86,0,20.76,53.18,20.45,40.91,27.89,27.89,20.45,19.25,21.56,14.18,15.94,11.67,2432.8099999999995

2,00:15-00:30,0,0,0,5.78,0,26.25,0.67,20.45,0,8.66,1.92,0,40.91,105.88,163.62,0,96.25,163.62,26.25,19.25,0,19.25,144.38,10.59,7.7,24.78,0,26.95,216.47,0,27.91,25.1,0,7.7,96.25,89.99,0,26.25,1.92,0,0,144.38,8.75,163.62,0,0,0,144.38,0,0,0,0,20.45,0,0,0,0,0,163.87,15.26,20.45,40.91,11.86,0,20.76,53.18,20.45,40.91,27.89,27.89,20.45,19.25,21.56,14.18,15.94,11.67,2432.8099999999995

