Block,Time,DHAULIGNGA,DULHASTI,JHAJJAR,KOLDAM,KISHANGANGA,CHAMERA3,CHAMERA2,DADRT2,PARBATI3,RAMPUR,RIHAND1,TEHRI,UNCHAHAR3,SINGRAULI_HYDRO,NJPC,RAPPC,URI2,TANDA2,UNCHAHAR2,RIHAND3,SINGRAULI,NAPP,SEWA2,UNCHAHAR1,RIHAND2,UNCHAHAR4,KOTESHWR,CHAMERA1,BSIUL,SALAL,URI,RAPPB,TANAKPUR,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,KGSU3AND4,KKNP,KKNPPU2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,RSTPSU1TO6,RSTPSU7,TALST2,SIMHST1,SIMHST2,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,KHSTPP-I,KHSTPP-II,FSTPP I & II,TALA,BRBCL,SASAN
1,00:00-00:15,0,0,435.435,0,0,0,0,679.493168,0,0,92,0,26.39091,0.87998,0,54.4401,4.7082,0,42.392196,123.665625,139.3125,21.7872,0,10.5635,59.0625,0,9.0712,0,0,1.3944,2.208,0,0,0,70.144,23.016,0,0,53.214,18.0276,0,0,45.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.39908,147.515625,20.73185,0,20.0018,345.375

2,00:15-00:30,0,0,435.435,0,0,0,0,679.493168,0,0,92,0,26.39091,0.87998,0,54.4401,4.7082,0,42.392196,123.665625,139.3125,21.7872,0,10.5635,59.0625,0,9.0712,0,0,1.3944,2.208,0,0,0,70.144,23.016,0,0,53.214,18.0276,0,0,45.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.39908,147.515625,20.73185,0,20.0018,345.375

3,00:30-00:45,0,0,435.435,0,0,0,0,679.493168,0,0,92,0,26.39091,0.87998,0,54.4401,8.34024,0,42.392196,123.665625,139.3125,21.7872,0,10.5635,59.0625,0,9.0712,0,0,1.3944,26.496,0,0,0,70.144,23.016,0,0,53.214,18.0276,0,0,45.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.39908,147.515625,20.73185,0,20.0018,345.375

4,00:45-01:00,0,0,435.435,0,0,0,0,679.493168,0,0,92,0,26.39091,0.87998,0,54.4401,8.34024,0,42.392196,123.665625,139.3125,21.7872,0,10.5635,59.0625,0,9.0712,0,0,1.3944,26.496,0,0,0,70.144,23.016,0,0,53.214,18.0276,0,0,45.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.39908,147.515625,20.73185,0,20.0018,345.375

5,01:00-01:15,0,0,435.435,0,0,0,0,679.493168,0,0,92,0,26.39091,0.87998,0,54.4401,4.7082,0,42.392196,123.665625,139.3125,21.7872,0,11.991,59.0625,0,9.0712,0,0,1.3944,2.76,0,0,0,70.144,23.016,0,0,53.214,18.0276,0,0,45.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.39908,147.515625,20.73185,0,20.0018,345.375

6,01:15-01:30,0,0,435.435,0,0,0,0,679.493168,0,0,92,0,26.39091,0.87998,0,54.4401,4.7082,0,42.392196,123.665625,139.3125,21.7872,0,12.8475,59.0625,0,9.0712,0,0,1.3944,1.7664,0,0,0,70.144,23.016,0,0,53.214,18.0276,0,0,45.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.39908,147.515625,20.73185,0,20.0018,345.375

7,01:30-01:45,0,0,435.435,0,0,0,0,679.493168,0,0,92,0,26.39091,0.87998,0,54.4401,4.7082,0,42.392196,123.665625,139.3125,21.7872,0,13.9895,59.0625,0,9.0712,0,0,1.3944,1.7664,0,0,0,70.144,23.016,0,0,53.214,18.0276,0,0,45.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.39908,147.515625,20.73185,0,20.0018,345.375

8,01:45-02:00,0,0,435.435,0,0,0,0,679.493168,0,0,92,0,26.39091,0.87998,0,54.4401,4.7082,0,42.392196,123.665625,139.3125,21.7872,0,15.1315,59.0625,0,9.0712,0,0,1.3944,1.7664,0,0,0,70.144,23.016,0,0,53.214,18.0276,0,0,45.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.39908,147.515625,20.73185,0,20.0018,345.375

9,02:00-02:15,0,0,435.435,0,0,0,0,679.493168,0,0,92,0,26.39091,0.87998,0,54.4401,4.7082,0,42.392196,123.665625,139.3125,21.7872,0,16.2735,59.0625,0,9.0712,0,0,1.3944,1.7664,0,0,0,70.144,23.016,0,0,53.214,18.0276,0,0,45.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.39908,147.515625,20.73185,0,20.0018,345.375

10,02:15-02:30,0,0,435.435,0,0,0,0,679.493168,0,0,92,0,26.39091,0.87998,0,54.4401,4.7082,0,42.392196,123.665625,139.3125,21.7872,0,17.701,59.0625,0,9.0712,0,0,1.3944,1.7664,0,0,0,70.144,23.016,0,0,53.214,18.0276,0,0,45.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.39908,147.515625,20.73185,0,20.0018,345.375

11,02:30-02:45,0,0,435.435,0,0,0,0,679.493168,0,0,92,0,26.39091,0.87998,0,54.4401,4.7082,0,42.392196,123.665625,139.3125,21.7872,0,17.701,59.0625,0,9.0712,0,0,1.3944,1.7664,0,7.0455,0,70.144,23.016,0,0,53.214,18.0276,0,0,45.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.39908,147.515625,20.73185,0,20.0018,345.375

12,02:45-03:00,0,0,435.435,0,0,0,0,679.493168,0,0,92,0,26.39091,0.87998,0,54.4401,4.7082,0,42.392196,123.665625,139.3125,21.7872,0,19.1285,59.0625,0,9.0712,0,0,1.3944,1.7664,0,7.0455,0,70.144,23.016,0,0,53.214,18.0276,0,0,45.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.39908,147.515625,20.73185,0,20.0018,345.375

13,03:00-03:15,0,0,435.435,0,0,0,0,679.493168,0,0,92,0,26.39091,0.87998,0,54.4401,4.7082,0,42.392196,123.665625,139.3125,21.7872,0,19.1285,59.0625,0,9.0712,0,0,1.3944,1.7664,0,7.0455,0,70.144,23.016,0,0,53.214,18.0276,0,0,45.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.39908,147.515625,20.73185,0,20.0018,345.375

14,03:15-03:30,0,0,435.435,0,0,0,0,679.493168,0,0,92,0,26.39091,0.87998,0,54.4401,4.7082,0,42.392196,123.665625,139.3125,21.7872,0,20.2705,59.0625,0,9.0712,0,0,1.3944,1.7664,0,7.0455,0,70.144,23.016,0,0,53.214,18.0276,0,0,45.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.39908,147.515625,20.73185,0,20.0018,345.375

