Block,Time Block,DADRI_RF,TelanganaSTPP,UNCHAHAR1,UNCHAHAR2,URI2,DADRI_CRF,UNCHAHAR3,ANTA_GF,AURY_CRF,AURY_RF,URI,ANTA_CRF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,UNCHAHAR4,VALLURNTECL,ANTA_LF,AURY_GF,NAPP,NLCEXP,NJPC,NLCIIST2,NLCIIST1,FSTPP I & II,DULHASTI,SIMHST2,TANDA2,SINGRAULI,TALST2,TANAKPUR,SINGRAULI_HYDRO,TEHRIPSP,TALA,TEHRI,KHSTPP-I,KOTESHWR,KHSTPP-II,KKNP,KGSU1AND2,KKNPPU2,KUDGI,KOLDAM,KGSU3AND4,KISHANGANGA,DHAULIGNGA,DADRT2,CHAMERA3,JHAJJAR,CHAMERA2,BRBCL,CHAMERA1,BSIUL,MAPS,SALAL,SEWA2,SASAN,RSTPSU1TO6,SIMHST1,RSTPSU7,RAPPC,RIHAND3,RIHAND2,RIHAND1,RAPPD,PARBATI3,RAPPB,NNTPP,RAMPUR,NTPL,PARBATI2,NLCTS2EXP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,14.86,36.84,36.92,0,23.19,0,0,0,49.13,0,0,0,0,0,1.93,0,0,0,24.34,0,175.25,0,0,14.17,56.87,0,3.78,147.48,0,11.65,1.13,50.3,16.36,28.71,29.69,20.2,143.47,0,0,0,0,10.3,0,8.43,42.42,198.46,33.95,222.87,47.31,16.73,40.78,12.61,0,82.63,0,405.12,0,0,0,66.16,89.36,122.04,95.84,25.09,75.83,0,0,6.81,0,56.16,0,0,0,0,0,0

2,00:15-00:30,0,0,14.71,31.48,36.92,0,19.27,0,0,0,49.13,0,0,0,0,0,1.93,0,0,0,24.34,0,175.25,0,0,14.17,56.87,0,3.78,147.48,0,11.65,1.13,50.3,16.36,28.71,29.69,20.2,143.47,0,0,0,0,10.3,0,8.43,42.42,198.46,33.95,145.72,47.31,15.27,40.78,12.61,0,82.63,0,405.12,0,0,0,66.16,89.36,122.04,95.84,25.09,75.83,0,0,6.81,0,56.16,0,0,0,0,0,0

3,00:30-00:45,0,0,14.71,31.48,36.92,0,19.27,0,0,0,49.13,0,0,0,0,0,1.93,0,0,0,24.34,0,175.25,0,0,14.17,56.87,0,3.78,146.13,0,11.65,1.13,50.3,16.36,28.71,29.46,20.2,143.47,0,0,0,0,10.3,0,8.43,42.42,198.46,33.95,145.72,47.31,13.54,40.78,12.61,0,82.63,0,405.12,0,0,0,66.16,89.36,122.04,95.84,25.09,75.83,0,0,6.81,0,56.16,0,0,0,0,0,0

4,00:45-01:00,0,0,14.71,31.48,36.92,0,19.27,0,0,0,49.13,0,0,0,0,0,1.93,0,0,0,24.34,0,175.25,0,0,14.17,56.87,0,3.78,146.13,0,11.65,1.13,50.3,16.36,28.71,29.46,20.2,143.47,0,0,0,0,10.3,0,8.43,42.42,198.46,33.95,145.72,47.31,14.03,40.78,12.61,0,82.63,0,405.12,0,0,0,66.16,89.36,122.04,95.84,25.09,75.83,0,0,6.81,0,56.16,0,0,0,0,0,0

5,01:00-01:15,0,0,15.34,31.48,36.92,0,19.27,0,0,0,49.13,0,0,0,0,0,1.93,0,0,0,24.34,0,175.25,0,0,16.95,56.87,0,3.78,146.13,0,11.65,1.13,50.3,16.36,28.71,31.71,10.1,143.47,0,0,0,0,10.3,0,8.43,42.42,198.46,33.95,145.72,47.31,13.54,40.78,12.61,0,82.63,0,402.38,0,0,0,66.16,89.36,122.04,95.84,25.09,76.42,0,0,6.81,0,56.16,0,0,0,0,0,0

6,01:15-01:30,0,0,15.34,31.48,36.92,0,19.27,0,0,0,49.13,0,0,0,0,0,1.93,0,0,0,24.34,0,175.25,0,0,16.95,56.87,0,3.78,146.13,0,11.65,1.13,50.3,16.36,28.71,31.71,10.1,143.47,0,0,0,0,10.3,0,8.43,42.42,198.46,33.95,350.81,47.31,13.54,40.78,12.61,0,82.63,0,402.38,0,0,0,66.16,89.36,122.04,95.84,25.09,76.42,0,0,6.81,0,56.16,0,0,0,0,0,0

7,01:30-01:45,0,0,14.71,31.48,36.92,0,19.27,0,0,0,49.13,0,0,0,0,0,1.93,0,0,0,24.34,0,175.25,0,0,16.95,56.87,0,3.78,146.13,0,11.65,1.13,0,16.07,28.71,31.71,10.1,143.47,0,0,0,0,10.3,0,8.43,42.42,198.46,33.95,350.81,47.31,13.54,40.78,12.61,0,82.63,0,402.38,0,0,0,66.16,89.36,122.04,95.84,25.09,76.42,0,0,6.81,0,56.16,0,0,0,0,0,0

8,01:45-02:00,0,0,14.71,31.48,36.92,0,19.27,0,0,0,49.13,0,0,0,0,0,1.93,0,0,0,24.34,0,175.25,0,0,16.95,56.87,0,3.78,146.13,0,11.65,1.13,0,16.07,28.71,31.71,10.1,143.47,0,0,0,0,10.3,0,8.43,42.42,198.46,33.95,350.81,47.31,13.54,40.78,12.61,0,82.63,0,402.38,0,0,0,66.16,89.36,122.04,95.84,25.09,76.42,0,0,6.81,0,56.16,0,0,0,0,0,0

9,02:00-02:15,0,0,14.71,31.48,36.92,0,19.27,0,0,0,49.13,0,0,0,0,0,1.93,0,0,0,24.34,0,175.25,0,0,14.17,56.87,0,3.78,128.83,0,8.06,1.13,0,16.36,28.71,29.46,10.1,123.66,0,0,0,0,10.3,0,8.43,42.42,128.33,33.95,350.81,47.31,13.54,40.78,12.61,0,82.63,0,375.86,0,0,0,66.16,89.36,106.17,83.54,25.09,76.42,0,0,6.81,0,56.16,0,0,0,0,0,0

10,02:15-02:30,0,0,12.02,24.27,36.92,0,14.89,0,0,0,49.13,0,0,0,0,0,0.97,0,0,0,24.34,0,175.25,0,0,10.04,56.87,0,3.65,111.08,0,8.06,1.13,0,16.36,28.71,24.24,10.1,94.51,0,0,0,0,10.3,0,8.43,42.42,95.4,33.95,350.81,47.31,13.54,40.78,12.61,0,82.63,0,375.86,0,0,0,66.16,51.78,80.56,53.11,25.09,76.42,0,0,6.81,0,56.16,0,0,0,0,0,0

11,02:30-02:45,0,0,12.02,24.27,36.92,0,14.89,0,0,0,49.13,0,0,0,0,0,0.97,0,0,0,24.34,0,175.25,0,0,10.04,56.87,0,3.65,111.08,0,8.06,1.13,0,16.36,28.71,24.24,10.1,94.51,0,0,0,0,10.3,0,8.43,42.42,95.4,33.95,350.81,47.31,13.54,40.78,12.61,0,82.63,0,375.86,0,0,0,66.16,51.78,80.56,53.11,25.09,76.42,0,0,6.81,0,56.16,0,0,0,0,0,0

12,02:45-03:00,0,0,12.02,24.27,36.92,0,14.89,0,0,0,49.13,0,0,0,0,0,0.97,0,0,0,24.34,0,175.25,0,0,10.04,56.87,0,3.65,111.08,0,8.06,1.13,0,16.36,28.71,24.24,10.1,94.51,0,0,0,0,10.3,0,8.43,42.42,95.4,33.95,350.81,47.31,15.17,40.78,12.61,0,82.63,0,375.86,0,0,0,66.16,51.78,80.56,53.11,25.09,76.42,0,0,6.81,0,56.16,0,0,0,0,0,0

13,03:00-03:15,0,0,10.45,23.99,36.92,0,13.29,0,0,0,49.13,0,0,0,0,0,0.97,0,0,0,24.34,0,175.25,0,0,10.04,56.87,0,3.65,111.08,0,8.06,1.13,0,16.36,28.71,24.24,10.1,94.51,0,0,0,0,10.3,0,8.43,42.42,25.27,33.95,317.29,47.31,14.05,40.78,12.61,0,80.37,0,375.86,0,0,0,66.16,51.78,80.56,53.11,25.09,76.42,0,0,6.81,0,56.16,0,0,0,0,0,0

