Block,Time,NR/01102023/22052037/LT-59,L_NR_2019_19,NR/30092023/31122025/SH-07,NR/01032024/15032024/HP-62,NR/01012024/31032024/ ChanjuII,NR/01102023/14082046/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,NR/26072023/25122043/L_NR_2023_10,NR/01102023/30042040/GNA_LT_36,NR/01032024/31032024/SJVN010324NR1588,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01032024/22032024/HP-59,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01032024/31032024/SJVN010324NR1589,WR/01102023/29112042/L_NR_2019_05,SR/01032024/15032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_17,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,SR/01102023/07102043/L_NR_2018_61,NR/01102023/06022042/L_NR_2012_02,SR/01032024/31032024/SJVN010324NR1590,NR/01102023/02012046/L_NR_2021_17,NR/30092023/26122029/SH-06,NR/07032024/07032024/DD20240307NR23159,WR/01102023/31032046/L_NR_2020_05,NR/01102023/06022042/L_NR_2012_07,NR/01032024/31032024/NVVN/OA/16997,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_16,NR/01032024/22032024/HP-56,SR/01032024/15032024/BYPL-APPCPL-KSEB,WR/01032024/15032024/TPDDL/PMG/MSEDCL/Banking/12112023,WR/01102023/24112044/L_NR_2020_07,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/02122045/L_NR_2021_13,NR/01102023/31052040/LT-31,NR/01102023/25072045/L_NR_2021_15,NR/01102023/23072042/L_NR_2012_04,NR/01102023/19072037/LT-05,WR/01102023/01102023/L_NR_2022_09
1,00:00-00:15,0.850000,0,25.980000,98.210000,3.760000,0,0,48.14,0,0.000000,0,0.000000,32.760000,11.66,0,0,0,96.27,25.030000,0,20.84,0,0.950000,1.340000,6.41,120.340000,0,0,25.980000,0.000000,62.5,33.690000,48.140000,39,0,76.530000,96.27,144.405000,20.83,0,0,0.000000,54.870000,0,0.000000,0,231.050000,35.100000,39

2,00:15-00:30,0.850000,0,25.980000,98.210000,3.760000,0,0,48.14,0,0.000000,0,0.000000,32.760000,12,0,0,0,96.27,25.030000,0,21.34,0,0.950000,1.340000,6.41,120.340000,0,0,25.980000,0.000000,64,33.690000,48.140000,36.33,0,76.530000,96.27,144.405000,21.33,0,0,0.000000,54.870000,0,0.000000,0,211.790000,35.100000,36.33

3,00:30-00:45,0.850000,0,25.980000,98.210000,3.760000,0,0,48.14,0,0.000000,0,0.000000,32.760000,12.66,0,0,0,96.27,25.030000,0,21.66,0,0.950000,1.340000,6.41,120.340000,0,0,25.980000,0.000000,65,33.690000,48.140000,34.33,0,76.530000,96.27,144.405000,21.67,0,0,0.000000,54.870000,0,0.000000,0,192.540000,35.100000,34.33

4,00:45-01:00,0.850000,0,25.980000,98.210000,3.760000,0,0,48.14,0,0.000000,0,0.000000,32.760000,13,0,0,0,96.27,25.030000,0,22.5,0,0.950000,1.340000,6.41,120.340000,0,0,25.980000,0.000000,67.5,33.690000,48.140000,33.33,0,76.530000,96.27,144.405000,22.5,0,0,0.000000,54.870000,0,0.000000,0,181.950000,35.100000,33.33

5,01:00-01:15,0.850000,0,25.980000,98.210000,3.680000,0,0,48.14,0,0.000000,0,0.000000,32.760000,13.66,0,0,0,96.27,25.030000,0,23,0,0.950000,1.340000,6.41,120.340000,0,0,25.980000,0.000000,69,33.690000,48.140000,31.33,0,76.530000,96.27,144.405000,23,0,0,0.000000,54.870000,0,0.000000,0,181.950000,35.100000,31.33

6,01:15-01:30,0.850000,0,25.980000,98.210000,3.680000,0,0,48.14,0,0.000000,0,0.000000,32.760000,13.66,0,0,0,96.27,25.030000,0,23.34,0,0.950000,1.340000,6.41,120.340000,0,0,25.980000,0.000000,70,33.690000,48.140000,30.67,0,76.530000,96.27,144.405000,23.33,0,0,0.000000,54.870000,0,0.000000,0,181.950000,35.100000,30.67

