Column1,Time,NR/01102023/31102037/L_NR_2019_11,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,NR/01102023/22052037/LT-59,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,SR/01102023/07102043/L_NR_2018_61,GNARE/SR/2024/09/21/2911,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/21/4323,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/09/01/7119,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/21/8479,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/16/2535,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/31052040/LT-31,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/6566
1,00:00-00:15,0,0,0,0,0,0,0,0,0,34.01,0,0,19.16,0,57.33,0,0,57.33,19.17,57.5,17.66,0,274.04,5.87,8.81,0,28.26,46.53,30,220.98,86.16,17.52,0,32.95,18.51,0,2.13,145.38,0,81.41,7.98,0,11.11,0,82.38,20.6

2,00:15-00:30,0,0,0,0,0,0,0,0,0,33.41,0,0,19.34,0,58,0,0,58,19.33,58,17.66,0,274.04,5.87,8.81,0,28.26,46.53,30,220.98,86.16,17.52,0,32.95,18.51,0,2.13,145.38,0,81.41,7.98,0,11.11,0,82.38,20.6

3,00:30-00:45,0,0,0,0,0,0,0,0,0,32.81,0,0,19.5,0,58.67,0,0,58.67,19.5,58.5,17.66,0,274.04,5.87,8.81,0,28.77,46.53,30,220.98,86.16,17.52,0,32.95,18.51,0,2.13,145.38,30,81.41,7.98,0,11.11,0,82.38,20.6

4,00:45-01:00,0,0,0,0,0,0,0,0,0,32.41,0,0,19.5,0,59,0,0,59,19.5,58.5,17.34,0,274.04,5.87,8.81,0,28.77,46.53,30,220.98,86.16,17.52,0,32.95,18.51,0,2.13,145.38,30,81.41,7.98,0,11.11,0,82.38,20.6

5,01:00-01:15,0,0,0,0,0,0,0,0,0,32.01,0,0,23.16,0,59,0,0,59,23.17,69.5,17.34,0,274.04,5.78,8.81,0,28.77,46.53,30,220.98,86.16,17.52,0,32.95,18.51,0,2.13,145.38,30,81.41,7.98,0,10.91,0,82.38,20.6

6,01:15-01:30,0,0,0,0,0,0,0,0,0,32.21,0,0,23.16,0,63.67,0,0,63.67,23.17,69.5,19.66,0,274.04,5.78,8.81,0,28.26,46.53,30,220.98,86.16,17.52,0,32.95,18.51,0,2.13,145.38,30,81.41,7.98,0,10.91,0,82.38,20.6

