Time,Block,NR/2023/17525/A,WR/2023/20256/A/2000,WR/2023/20577/A/1997,WR/2023/19446/A,NR/2023/18174/C,NER/2023/1756/C,NR/2023/17270/A,NR/2023/18074/A/1891,NR/2023/18105/A/1900,NR/2023/18173/C,NR/2023/18062/A/1902,Total
,,APPCPL,MANIKARAN,APPCPL,MANIKARAN,NVVNL,PXIL,GMRETL,ITCLH,IEXL,TPDDL,IEXL,Total

,,DELHI,DELHI,DELHI,DELHI,NA,DELHI,DELHI,ANDHRA PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,ANDHRA PRADESH,
,,BYPL,BRPL,BRPL,BYPL,SOLAPUR_SOLAR,BYPL,BYPL,ITCWIND,BSHP,CHANJUII,SNJSUGARLTDAP,
,,HIMACHAL PRADESH,GOA,GOA,MAHARASHTRA,DELHI,ARUNACHAL PRADESH,RAJASTHAN,DELHI,DELHI,DELHI,DELHI,
,,HP,GOA_Beneficiary,GOA_Beneficiary,AEML,MES (Delhi),Arunachal_Ben,RUVNL,ITCLH,MES (Delhi),TPDDL,MES (Delhi),
,,North-North,North-West,North-West,North-West,West-North,North-East-North East,North-North,South-West-North,North-North,North-North,South-East-North,
1,00:00-00:15,59.650000,0.000000,0.000000,75.000000,0,40.000000,0.000000,0.430000,0.960000,1.840000,4.800000,182.68

2,00:15-00:30,59.650000,0.000000,0.000000,75.000000,0,40.000000,0.000000,0.430000,0.960000,1.840000,4.800000,182.68

3,00:30-00:45,59.650000,0.000000,0.000000,75.000000,0,40.000000,0.000000,0.430000,0.960000,1.840000,4.800000,182.68

4,00:45-01:00,59.650000,0.000000,0.000000,75.000000,0,40.000000,0.000000,0.430000,0.960000,1.840000,4.800000,182.68

5,01:00-01:15,59.650000,0.000000,0.000000,75.000000,0,40.000000,0.000000,0.380000,0.960000,1.840000,4.800000,182.63

6,01:15-01:30,59.650000,0.000000,0.000000,75.000000,0,40.000000,0.000000,0.380000,0.960000,1.840000,4.800000,182.63

7,01:30-01:45,59.650000,0.000000,0.000000,75.000000,0,40.000000,0.000000,0.380000,0.960000,1.840000,4.800000,182.63

8,01:45-02:00,59.650000,0.000000,0.000000,75.000000,0,40.000000,0.000000,0.380000,0.960000,1.840000,4.800000,182.63

9,02:00-02:15,59.650000,0.000000,0.000000,75.000000,0,40.000000,0.000000,0.340000,0.960000,1.840000,4.800000,182.59

10,02:15-02:30,59.650000,0.000000,0.000000,75.000000,0,40.000000,0.000000,0.340000,0.960000,1.840000,4.800000,182.59

11,02:30-02:45,59.650000,0.000000,0.000000,75.000000,0,40.000000,0.000000,0.340000,0.960000,1.840000,4.800000,182.59

12,02:45-03:00,59.650000,0.000000,0.000000,75.000000,0,40.000000,0.000000,0.340000,0.960000,1.840000,4.800000,182.59

13,03:00-03:15,59.650000,0.000000,0.000000,75.000000,0,40.000000,0.000000,0.340000,0.960000,1.840000,4.800000,182.59

14,03:15-03:30,59.650000,0.000000,0.000000,75.000000,0,40.000000,0.000000,0.340000,0.960000,1.840000,4.800000,182.59

15,03:30-03:45,59.650000,0.000000,0.000000,75.000000,0,40.000000,0.000000,0.340000,0.960000,1.840000,4.800000,182.59

16,03:45-04:00,59.650000,0.000000,0.000000,75.000000,0,40.000000,0.000000,0.340000,0.960000,1.840000,4.800000,182.59

17,04:00-04:15,59.650000,0.000000,0.000000,75.000000,0,40.000000,0.000000,0.380000,0.960000,1.840000,4.800000,182.63

18,04:15-04:30,59.650000,0.000000,0.000000,75.000000,0,40.000000,0.000000,0.380000,0.960000,1.840000,4.800000,182.63

19,04:30-04:45,59.650000,0.000000,0.000000,75.000000,0,40.000000,0.000000,0.380000,0.960000,1.840000,4.800000,182.63

