Block,Time,RIHAND2,DADRI_RF,NAPP,KISHANGANGA,AURY_CRF,AURY_GF,JHAJJAR,DADRT2,TANAKPUR,RIHAND1,URI,RAPPB,CHAMERA1,TEHRI,ANTA_GF,CHAMERA3,RAPPC,BSIUL,AURY_LF,DHAULIGNGA,URI2,PARBATI3,RIHAND3,UNCHAHAR1,DADRI_GF,SALAL,KOLDAM,UNCHAHAR4,UNCHAHAR3,DADRI_CRF,SEWA2,NJPC,KOTESHWR,ANTA_RF,ANTA_LF,RAMPUR,DADRI_LF,AURY_RF,SINGRAULI,TANDA2,SINGRAULI_HYDRO,CHAMERA2,ANTA_CRF,UNCHAHAR2,DULHASTI,KHSTPP-I,NLCIIST2,SOLAPUR,GANDHAR-ComGas,MOUDA_II,NLCTS2EXP,TALA,RSTPSU7,VSTPS V,KAWAS-RLNG,SIPAT II,VSTPS III,KUDGI,FSTPP I & II,GADARWARA-I,NLCIIST1,KHARGONE-I,MOUDA,SASAN,TAPS-II,LARA-I,TALST2,KHSTPP-II,KGSU1AND2,GANDHAR-RLNG,VALLURNTECL,KAWAS-APM,NTPL,GANDHAR-APM,KAWAS-ComGas,GANDHAR-NAPM,NNTPP,KGSU3AND4,KSTPS7,VSTPS IV,KAPS,KAWAS-zLIQ,SIMHST2,KAWAS-NAPM,RSTPSU1TO6,VSTPS I,KSTPS I&II,NLCEXP,VSTPS II,MAPS,BRBCL,SIPAT I,KKNP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,118.328595,0.000000,46.513944,4.133308,0.000000,0.000000,130.673313,182.261914,5.695198,92.676288,48.549228,0.000000,27.105492,35.178923,0.000000,21.563004,62.775129,12.668495,0.000000,0.000000,36.456330,0.000000,124.147022,3.983526,0.000000,47.169066,0.000000,0.000000,13.762860,0.000000,17.502089,41.586021,17.662279,0.000000,0.000000,1.282177,0.000000,0.000000,104.174522,0.000000,0.977660,29.821813,0.000000,21.891002,54.974040,15.918153,0.41,1.700152,0.000000,3.370763,0.00,0.000000,1.88,1.274256,0.000000,1.795171,1.881042,0.31,2.765376,0.000000,0.78,1.700152,1.860319,337.284338,1.316072,3.950996,0.00,65.209852,1.93,0.000000,0.00,0.000000,3.65,0.000000,0.000000,0.000000,0.18,2.11,1.287995,2.575988,0.546886,0.000000,1.78,0.000000,7.68,2.257861,2.598688,1.72,1.864989,0.24,13.854621,4.533739,1.57,0,0,0,0,0

2,00:15-00:30,118.328595,0.000000,46.513944,4.133308,0.000000,0.000000,130.673313,182.261914,5.695198,92.676288,48.549228,0.000000,27.105492,35.178923,0.000000,21.563004,62.775129,12.668495,0.000000,0.000000,36.456330,0.000000,124.147022,3.983526,0.000000,47.169066,0.000000,0.000000,13.762860,0.000000,17.502089,20.793010,17.662279,0.000000,0.000000,0.641088,0.000000,0.000000,104.174522,0.000000,0.977660,29.821813,0.000000,21.891002,54.974040,19.122782,0.41,1.700152,0.000000,3.370763,0.00,0.000000,1.88,1.274256,0.000000,1.795171,1.881042,0.00,9.515190,0.000000,0.78,1.700152,1.860319,337.284338,1.316072,3.950996,0.00,65.209852,1.93,0.000000,0.00,0.000000,3.65,0.000000,0.000000,0.000000,0.18,2.11,1.287995,2.575988,0.546886,0.000000,1.78,0.000000,7.68,2.257861,2.598688,1.72,1.864989,0.24,14.497506,4.533739,1.57,0,0,0,0,0

3,00:30-00:45,118.328595,0.000000,46.513944,4.133308,0.000000,0.000000,130.673313,182.261914,5.695198,92.676288,48.549228,0.000000,25.960190,35.178923,0.000000,21.563004,62.775129,12.668495,0.000000,0.000000,36.456330,0.000000,124.147022,3.983526,0.000000,47.169066,0.000000,0.000000,13.762860,0.000000,17.502089,20.793010,8.831140,0.000000,0.000000,0.641088,0.000000,0.000000,104.174522,0.000000,0.977660,29.821813,0.000000,22.947900,54.974040,19.122782,0.45,1.700152,0.000000,3.370763,0.00,0.000000,1.88,1.274256,0.000000,1.795171,1.881042,0.00,14.135449,0.000000,0.84,1.700152,1.860319,337.284338,1.316072,3.950996,0.00,65.209852,1.93,0.000000,0.00,0.000000,3.65,0.000000,0.000000,0.000000,0.19,2.11,1.287995,2.575988,0.546886,0.000000,1.78,0.000000,7.68,2.257861,2.598688,1.72,1.864989,0.24,13.152574,4.908805,1.57,0,0,0,0,0

4,00:45-01:00,118.328595,0.000000,46.513944,4.133308,0.000000,0.000000,130.673313,182.261914,5.695198,92.676288,51.216768,0.000000,25.960190,35.178923,0.000000,21.563004,62.775129,12.668495,0.000000,0.000000,36.456330,0.000000,124.147022,3.983526,0.000000,47.169066,0.000000,0.000000,13.762860,0.000000,17.502089,0.000000,8.831140,0.000000,0.000000,0.000000,0.000000,0.000000,104.174522,0.000000,0.977660,29.821813,0.000000,22.947900,54.974040,19.122782,0.46,1.700152,0.000000,3.370763,0.00,0.000000,1.88,1.274256,0.000000,1.795171,1.881042,0.00,14.135449,0.000000,0.86,1.700152,1.860319,337.284338,1.316072,3.950996,0.00,65.209852,1.93,0.000000,0.00,0.000000,3.65,0.000000,0.000000,0.000000,0.19,2.11,1.287995,2.575988,0.546886,0.000000,1.78,0.000000,7.68,2.257861,2.598688,1.72,1.864989,0.24,13.207541,5.100457,1.57,0,0,0,0,0

5,01:00-01:15,118.328595,0.000000,46.513944,4.133308,0.000000,0.000000,130.673313,182.261914,5.695198,92.676288,51.216768,0.000000,12.216560,35.178923,0.000000,21.563004,62.775129,12.668495,0.000000,0.000000,36.456330,0.000000,124.147022,3.983526,0.000000,47.169066,0.000000,0.000000,13.762860,0.000000,17.502089,0.000000,8.831140,0.000000,0.000000,0.000000,0.000000,0.000000,104.174522,0.000000,0.977660,29.821813,0.000000,22.947900,54.974040,19.122782,0.46,1.700152,0.000000,3.370763,0.00,0.000000,1.88,1.274256,0.000000,1.795171,1.881042,0.00,14.135449,0.000000,0.86,1.700152,1.860319,337.284338,1.316072,3.950996,0.00,65.209852,1.93,0.000000,0.00,0.000000,3.65,0.000000,0.000000,0.000000,0.19,2.11,1.287995,2.575988,0.546886,0.000000,1.78,0.000000,7.68,2.257861,2.598688,1.72,1.864989,0.24,10.165143,5.100457,1.57,0,0,0,0,0

