Block,Time,L_NR_2012_01,L_NR_2023_04,L_NR_2012_07,LT-35,SH-07,LT-05,LT-59,L_NR_2019_11,SH-06,L_NR_2020_02,LT-36,LT-31,L_NR_2012_04,L_NR_2012_02,L_NR_2020_05,L_NR_2021_16,L_NR_2021_14,L_NR_2022_09,L_NR_2021_15,L_NR_2019_06,L_NR_2018_61,L_NR_2021_17,L_NR_2021_13,L_NR_2022_10,L_NR_2020_06,L_NR_2023_07,L_NR_2023_10,L_NR_2019_05,L_NR_2019_07,L_NR_2021_12,L_NR_2022_08,L_NR_2019_19,L_NR_2020_07
1,00:00-00:15,101.320000,29.780000,74.170000,0.000000,30.730000,116.090000,10.000000,8.460000,30.730000,7.490000,0.000000,0.000000,272.050000,223.450000,82.69,0,0,62.57,0,0,7.38,0,0,62.57,27.56,0,0,0,0,0,21.79,0,27.57

2,00:15-00:30,101.320000,29.780000,74.170000,0.000000,30.730000,116.090000,10.000000,8.460000,30.730000,7.490000,0.000000,0.000000,272.050000,223.450000,84.31,0,0,62.68,0,0,7.37,0,0,62.68,28.1,0,0,0,0,0,22.54,0,28.11

3,00:30-00:45,101.320000,29.780000,74.170000,0.000000,30.730000,116.090000,8.950000,8.460000,30.730000,7.490000,0.000000,0.000000,272.050000,223.450000,86.19,0,0,63.21,0,0,7.51,0,0,63.21,28.73,0,0,0,0,0,23.13,0,28.73

4,00:45-01:00,101.320000,29.780000,74.170000,0.000000,30.730000,116.090000,9.490000,8.460000,30.730000,7.490000,0.000000,0.000000,272.050000,223.450000,87.69,0,0,63.65,0,0,7.78,0,0,63.65,29.23,0,0,0,0,0,24.13,0,29.23

5,01:00-01:15,101.320000,29.730000,74.170000,0.000000,30.730000,116.090000,9.490000,8.460000,30.730000,7.390000,0.000000,0.000000,272.050000,223.450000,90.18,0,0,63.4,0,0,8.17,0,0,63.4,30.06,0,0,0,0,0,25.13,0,30.05

6,01:15-01:30,101.320000,29.730000,74.170000,0.000000,30.730000,116.090000,9.490000,8.460000,30.730000,7.390000,0.000000,0.000000,272.050000,223.450000,92.14,0,0,63.5,0,0,8.34,0,0,63.5,30.71,0,0,0,0,0,26.13,0,30.72

7,01:30-01:45,101.320000,29.730000,74.170000,0.000000,30.950000,116.090000,9.490000,8.460000,30.950000,7.390000,0.000000,0.000000,272.050000,223.450000,93.29,0,0,63.42,0,0,8.08,0,0,63.42,31.1,0,0,0,0,0,26.46,0,31.1

8,01:45-02:00,101.320000,29.730000,74.170000,0.000000,30.950000,116.090000,9.490000,8.460000,30.950000,7.390000,0.000000,0.000000,272.050000,223.450000,94.7,0,0,63.37,0,0,8.03,0,0,63.37,31.57,0,0,0,0,0,25.1,0,31.56

9,02:00-02:15,101.320000,29.730000,74.170000,0.000000,30.950000,116.090000,9.410000,8.310000,30.950000,7.300000,0.000000,0.000000,272.050000,223.450000,95.39,0,0,63.29,0,0,8.25,0,0,63.29,31.8,0,0,0,0,0,25.16,0,31.8

10,02:15-02:30,101.320000,29.730000,74.170000,0.000000,30.950000,116.090000,9.410000,8.310000,30.950000,7.300000,0.000000,0.000000,272.050000,223.450000,95.72,0,0,63.18,0,0,8.6,0,0,63.18,31.91,0,0,0,0,0,25.22,0,31.91

11,02:30-02:45,101.320000,29.730000,74.170000,0.000000,30.950000,116.090000,9.410000,8.310000,13.920000,7.300000,0.000000,0.000000,272.050000,223.450000,95.54,0,0,63.12,0,0,8.76,0,0,63.12,31.85,0,0,0,0,0,25.28,0,31.84

