Block,Time,FSTPP I & II,TALA,BRBCL,KHSTPP-II,KHSTPP-I,SASAN,ANTA_CRF,BSIUL,RIHAND3,ANTA_LF,RAPPC,SINGRAULI,TANDA2,DHAULIGNGA,AURY_GF,JHAJJAR,NAPP,DADRT2,UNCHAHAR1,URI2,KISHANGANGA,CHAMERA1,AURY_LF,KOTESHWR,UNCHAHAR3,TANAKPUR,DADRI_GF,RAMPUR,DADRI_CRF,NJPC,SINGRAULI_HYDRO,TEHRI,DADRI_RF,UNCHAHAR2,ANTA_GF,DADRI_LF,CHAMERA3,SALAL,DULHASTI,AURY_RF,ANTA_RF,RIHAND2,KOLDAM,CHAMERA2,UNCHAHAR4,RIHAND1,RAPPB,URI,AURY_CRF,PARBATI3,SEWA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,17.343969,0.000000,18.823316,143.317120,42.821184,399.002400,0.000000,12.603402,126.192609,0.000000,65.381912,100.389632,5.178057,21.036662,0.000000,408.246016,46.193142,664.995251,21.869632,36.617398,7.327641,40.731905,0.000000,27.294924,26.710311,2.352121,0.000000,6.518867,0.000000,173.915716,1.046488,40.966138,75.497833,43.397762,0.000000,0.000000,33.660923,77.484019,57.187109,0.000000,27.278164,120.200832,8.963170,46.870234,0.000000,93.794863,0.000000,32.007168,0.000000,4.128549,12.259727,0,0,0,0,0

2,00:15-00:30,17.462848,0.000000,19.327956,143.317120,42.821184,399.002400,0.000000,12.603402,126.192609,0.000000,65.381912,100.389632,5.178057,21.036662,0.000000,408.246016,46.193142,664.995251,21.869632,36.617398,7.327641,40.731905,0.000000,27.294924,26.710311,2.352121,0.000000,6.518867,0.000000,173.915716,1.046488,40.966138,34.909033,43.397762,0.000000,0.000000,33.660923,77.484019,57.187109,0.000000,11.672372,120.200832,8.963170,46.870234,0.000000,93.794863,0.000000,32.007168,0.000000,4.128549,12.259727,0,0,0,0,0

3,00:30-00:45,17.462848,0.000000,18.052138,143.317120,42.821184,399.002400,0.000000,12.603402,126.192609,0.000000,65.381912,100.389632,5.178057,21.036662,0.000000,408.246016,46.193142,664.995251,21.869632,36.617398,7.327641,40.731905,0.000000,27.294924,26.710311,2.352121,0.000000,6.518867,0.000000,173.915716,1.046488,40.966138,2.631114,43.397762,0.000000,0.000000,33.660923,77.484019,57.187109,0.000000,0.103290,120.200832,8.963170,46.870234,0.000000,93.794863,0.000000,32.007168,0.000000,4.128549,12.259727,0,0,0,0,0

4,00:45-01:00,17.462848,0.000000,15.090157,143.317120,42.821184,399.002400,0.000000,12.603402,126.192609,0.000000,65.381912,100.389632,5.178057,21.036662,0.000000,408.246016,46.193142,664.995251,21.869632,36.617398,7.327641,40.731905,0.000000,27.294924,26.710311,2.352121,0.000000,6.518867,0.000000,173.915716,1.046488,40.966138,0.000000,43.397762,0.000000,0.000000,33.660923,77.484019,57.187109,0.000000,0.000000,120.200832,8.963170,46.870234,0.000000,93.794863,0.000000,32.007168,0.000000,4.128549,12.259727,0,0,0,0,0

5,01:00-01:15,17.462848,0.000000,15.265531,143.317120,42.821184,399.002400,0.000000,12.603402,126.192609,0.000000,65.381912,100.389632,5.178057,21.036662,0.000000,408.246016,46.193142,664.995251,21.869632,36.617398,7.327641,40.731905,0.000000,27.294924,26.710311,2.352121,0.000000,6.518867,0.000000,173.915716,1.046488,40.966138,0.000000,43.397762,0.000000,0.000000,33.660923,77.484019,57.187109,0.000000,0.000000,120.200832,8.963170,46.870234,0.000000,93.794863,0.000000,32.007168,0.000000,4.128549,12.259727,0,0,0,0,0

