Column1,Block,NR/2025/33632/A/99226,NR/2025/32534/A/99209,NR/2025/32534/A/99211,NR/2025/32535/A/99214,NR/2025/32535/A/99216,NR/2025/32599/A/98918,GNARE/NR/2024/12/20/3668,NR/2025/32532/A/99195,NR/2025/33637/A/99224,NR/2025/33633/A/99225,NR/2025/34179/C,NR/2025/34147/C,NR/2025/34141/C,NR/2025/34185/C,NR/2025/34143/C,NR/2025/34122/C,NR/2025/34091/C,NR/2025/31049/A/99208,NR/2025/32004/A/99172,NR/2025/34092/C,NR/2025/31048/A/99207,NR/2025/33469/A/98832,NR/2025/34125/C,NR/2025/34093/C,NR/2025/34128/C,NR/2025/32262/A/98788,NR/2025/31045/A/99206,NR/2025/29440/A/98743,NR/2025/31421/A/99288,NR/2025/31043/A/99205,NR/2025/32559/A/99168,NR/2025/32397/A/98759,NR/2025/32375/A/99285,NR/2025/33955/A/99016,NR/2025/32610/A/99167,NR/2025/29992/A/98863,NR/2025/32455/A/99233,NR/2025/34119/C,NR/2025/33656/A/99200,NR/2025/33670/A/99018,NR/2025/32556/A/99169,NR/2025/32532/A/99194,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/1196,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6209,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,Total
,,GMRETL,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,BRPL,SECI_Trader,ABLWM1_AEROCITY,GMRETL,GMRETL,MES_Delhi,NVVNL,NVVNL,HPXL,NVVNL,APPCPL,PowerPulse,PowerPulse,APPCPL,PowerPulse,PowerPulse,DIAPL,APPCPL,PowerPulse,APPCPL,TPTCL,PowerPulse,ITCLH,NVVNL,PowerPulse,APPCPL,IEXL,NVVNL,PTC,APPCPL,BYPL,MANIKARAN,APPCPL,PowerPulse,PTC,APPCPL,ABLWM1_AEROCITY,MANIKARAN,NVVNL,NDMC,NDMC,NDMC,MANIKARAN,APPCPL,PUNJAB,APPCPL,MANIKARAN,PowerPulse,MANIKARAN,DELHI,BAWANA_GAS,
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MP_State,Meghalaya_State,NA,NA,NA,NA,MSEB_State,NA,NA,HIMACHAL_STATE,NA,NA,NA,MSEB_State,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,MSEB_State,MP_State,GoHP_NJPC_STATE,NA,KERALA_State,NA,MSEB_State,NA,GoHP_NJPC_STATE,NA,NA,MP_State,NA,NA,NA,NA,NA,GOA_State,DELHI_UT,GOA_State,MSEB_State,MSEB_State,NA,HIMACHAL_STATE,DELHI_UT,
,,JGCPL_BKN2,TESPL_BKN2,TCSPL_BKN2,TESPL_BKN2,TCSPL_BKN2,TS1PL_BKN,APSEPL_FTG,TCSPL_BKN2,JGCPL_BKN2,JGCPL_BKN2,NTPCREL_PSS2_KPS2_S,Kameng,JP_BINA,Meghalaya_Ben,JPNIGRIE_JNSTPP,RKM_POWER,APL_Raipur_TPP,APL_Raigarh_TPP,AEML,MAHAN_ENERGEN,APL_Raigarh_TPP,GBHHPL,JPL2,APL_Raigarh_TPP,RKM_POWER,TPC_MSEB,MAHAN_ENERGEN,ITCWIND,JPNIGRIE_JNSTPP,MAHAN_ENERGEN,RKM_POWER,A_A_Energy_MH_Bio,JP_BINA,GoHP_NJPC,RKM_POWER,KSEB,MBMP,AEML,APL_Raipur_TPP,GoHP_NJPC,JPL2,TESPL_BKN2,BLAPOWER_MP,JHABUA_IPP,SKS_Raigarh,TRN_ENERGY,JIPL,DBPL,GOA_Beneficiary,BAWANA_GAS,GOA_Beneficiary,AEML,Vidarbha_Industry_MH,MBMP,CHANJUII,BAWANA_GAS,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,
,,MAX_HPTL,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,BRPL,TPDDL,ABLWM1_AEROCITY,BLKMH,DTCP,MES_Delhi,TPDDL,TPDDL,BYPL,TPDDL,NDMC,BRPL,TPDDL,BYPL,TPDDL,TPDDL,DIAPL,NDMC,TPDDL,NDMC,BYPL,TPDDL,ITCLH,TPDDL,TPDDL,NDMC,MES_Delhi,TPDDL,BRPL,NDMC,BYPL,BRPL,BYPL,BRPL,BRPL,NDMC,ABLWM1_AEROCITY,BRPL,BRPL,NDMC,NDMC,NDMC,BRPL,BRPL,PUNJAB,BRPL,BRPL,BRPL,BRPL,TPDDL,HARYANA,
,,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,North East-East-North,West-North,North East-East-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,South-West-North,West-North,West-North,West-North,North-North,West-North,North-North,West-North,West-North,West-North,West-North,East-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,North-North,
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,193.06,0,0,0,0,28.96,0,106.18,0,96.53,12.55,0,0,0,54.3,0,0.87,48.26,96.53,26.32,8.69,48.26,14.48,26.32,44.4,48.26,0,164.1,82.05,26.32,0,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,48.26,15.06,0,1496.5199999999998

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,193.06,0,0,0,0,28.96,0,106.18,0,96.53,12.55,0,0,0,54.3,0,0.87,48.26,96.53,26.32,8.69,48.26,14.48,26.32,44.4,48.26,0,164.1,82.05,26.32,0,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,48.26,15.06,0,1496.5199999999998

