Block,Time Block,ANTA_RF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,CHAMERA1,CHAMERA3,JHAJJAR,DHAULIGNGA,FSTPP I & II,BSIUL,DULHASTI,CHAMERA2,DADRT2,BRBCL,KISHANGANGA,KHSTPP-I,KUDGI,KGSU1AND2,KOTESHWR,KGSU3AND4,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,PARBATI3,NLCEXP,NLCIIST1,MAPS,NLCIIST2,NJPC,NLCTS2EXP,NNTPP,NAPP,NTPL,SALAL,SEWA2,SINGRAULI,RIHAND3,RAPPB,RIHAND2,RIHAND1,SASAN,RAMPUR,RAPPC,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,SIMHST2,RSTPSU7,TANDA2,TALST2,TANAKPUR,TALA,TelanganaSTPP,ANTA_CRF,UNCHAHAR2,URI,TEHRI,VALLURNTECL,UNCHAHAR1,UNCHAHAR4,ANTA_LF,URI2,ANTA_GF,UNCHAHAR3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,0,0,0,0,0,40.59,30.89,232.14,38.9,13.77,0,51.79,42.58,586.3534,14.44,4.16,30.98,0,0,37.21,0,142.3216,0,0,5.15,37.89,0,0,0,0,160.9,0,0,43.43,0,80.57,0,123.01,122.8699,0,117.19,76.27,384.56,3.41,58.14,0,0.92,0,0,0,2.7,0,9.13,10.62,0,0,36.2286,29.76,63.27,0,17.6607,0,0,34.71,0,22.8097,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,0,0,0,0,40.59,30.89,110.84,38.9,13.77,0,51.79,42.58,586.3534,14.44,4.16,30.98,0,0,37.21,0,142.3216,0,0,5.15,37.89,0,0,0,0,160.9,0,0,43.43,0,80.57,0,123.01,122.8699,0,117.19,76.27,389.45,3.41,58.14,0,0.92,0,0,0,2.7,0,4.19,10.62,0,0,36.2286,29.76,63.27,0,17.6607,0,0,34.71,0,22.8097,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,0,0,0,0,40.59,30.89,110.84,38.9,7.7194,0,51.79,42.58,586.3534,14.44,4.16,18.43,0,0,37.21,0,79.5982,0,0,5.15,37.89,0,0,0,0,160.9,0,0,43.43,0,80.57,0,123.01,122.8699,0,117.19,76.27,389.97,3.41,58.14,0,0.92,0,0,0,2.7,0,4.19,10.62,0,0,36.2286,29.76,63.27,0,17.6607,0,0,34.71,0,22.8097,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,0,0,0,0,40.59,30.89,110.84,38.9,7.7194,0,51.79,42.58,586.3534,14.44,4.16,18.43,0,0,37.21,0,79.5982,0,0,5.15,37.89,0,0,0,0,160.9,0,0,43.43,0,80.57,0,123.01,122.8699,0,117.19,76.27,389.97,3.41,58.14,0,0.92,0,0,0,2.7,0,4.19,10.62,0,0,36.2286,29.76,63.27,0,17.6607,0,0,34.71,0,22.8097,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,0,0,0,0,40.59,30.89,110.84,38.9,7.58,0,51.79,42.58,586.3534,14.19,4.16,18.43,0,0,37.21,0,79.5982,0,0,5.15,37.89,0,0,0,0,160.9,0,0,43.43,0,80.57,0,123.01,122.8699,0,117.19,76.27,389.97,3.41,58.14,0,0.92,0,0,0,1.48,0,4.19,10.62,0,0,36.2286,29.76,63.27,0,17.6607,0,0,34.71,0,22.8097,0,0,0,0,0

6,01:15-01:30,0,0,0,0,0,0,0,0,0,40.59,30.89,110.84,38.9,7.58,0,51.79,42.58,586.3534,14.44,4.16,18.43,0,0,37.21,0,79.5982,0,0,5.15,37.89,0,0,0,0,160.9,0,0,43.43,0,80.57,0,123.01,122.8699,0,117.19,76.27,389.97,3.41,58.14,0,0.92,0,0,0,1.48,0,9.13,10.62,0,0,36.2286,29.76,63.27,0,17.6607,0,0,34.71,0,22.8097,0,0,0,0,0

7,01:30-01:45,0,0,0,0,0,0,0,0,0,40.59,30.89,110.84,38.9,7.58,0,51.79,42.58,586.3534,14.44,4.16,18.43,0,0,37.21,0,79.5982,0,0,5.15,31.13,0,0,0,0,160.9,0,0,43.43,0,80.57,0,123.01,122.8699,0,117.19,76.27,389.97,3.41,58.14,0,0.92,0,0,0,1.48,0,4.19,10.62,0,0,36.2286,29.76,63.27,0,17.6607,0,0,21.34,0,22.8097,0,0,0,0,0

8,01:45-02:00,0,0,0,0,0,0,0,0,0,40.59,30.89,110.84,38.9,7.58,0,51.79,42.58,586.3534,14.44,4.16,18.43,0,0,37.21,0,79.5982,0,0,5.15,31.13,0,0,0,0,160.9,0,0,43.43,0,80.57,0,123.01,122.8699,0,117.19,76.27,389.97,3.41,58.14,0,0.92,0,0,0,1.48,0,4.19,10.62,0,0,36.2286,29.76,63.27,0,17.6607,0,0,21.34,0,22.8097,0,0,0,0,0

9,02:00-02:15,0,0,0,0,0,0,0,0,0,40.59,30.89,110.84,38.9,12.2978,0,51.79,42.58,586.3534,14.44,4.16,30.98,0,0,37.21,0,142.3216,0,0,5.15,31.13,0,0,0,0,160.9,0,0,43.43,0,80.57,0,123.01,122.8699,0,117.19,76.27,389.97,3.41,58.14,0,0.92,0,0,0,1.48,0,4.19,10.62,0,0,36.2286,29.76,63.27,0,17.6607,0,0,23.48,0,22.8097,0,0,0,0,0

10,02:15-02:30,0,0,0,0,0,0,0,0,0,40.59,30.89,110.84,38.9,12.2978,0,51.79,42.58,586.3534,14.44,4.16,30.98,0,0,37.21,0,142.3216,0,0,5.15,31.13,0,0,0,0,160.9,0,0,43.43,0,80.57,0,123.01,122.8699,0,117.19,76.27,389.97,3.41,58.14,0,0.92,0,0,0,1.48,0,4.19,10.62,0,0,36.2286,29.76,63.27,0,17.6607,0,0,23.48,0,22.8097,0,0,0,0,0

11,02:30-02:45,0,0,0,0,0,0,0,0,0,40.59,30.89,110.84,38.9,12.2978,0,51.79,42.58,586.3534,14.44,4.16,30.98,0,0,37.21,0,142.3216,0,0,5.15,20.3,0,0,0,0,160.9,0,0,43.43,0,80.57,0,123.01,122.8699,0,117.19,76.27,389.97,3.41,58.14,0,0.92,0,0,0,1.48,0,9.13,10.62,0,0,36.2286,37.21,63.27,0,17.6607,0,0,23.48,0,22.8097,0,0,0,0,0

12,02:45-03:00,0,0,0,0,0,0,0,0,0,40.59,30.89,110.84,38.9,12.2978,0,51.79,42.58,586.3534,14.44,4.16,30.98,0,0,37.21,0,142.3216,0,0,5.15,20.3,0,0,0,0,160.9,0,0,43.43,0,80.57,0,123.01,122.8699,0,117.19,76.27,389.97,3.41,58.14,0,0.92,0,0,0,1.48,0,4.19,10.62,0,0,36.2286,37.21,63.27,0,17.6607,0,0,23.48,0,22.8097,0,0,0,0,0

13,03:00-03:15,0,0,0,0,0,0,0,0,0,40.59,30.89,110.84,38.9,12.2978,0,51.79,42.58,582.3028,14.44,4.16,27.9189,0,0,37.21,0,126.0034,0,0,5.15,17.32,0,0,0,0,160.9,0,0,43.43,0,76.65,0,123.01,122.8699,0,117.19,76.27,389.97,3.41,58.14,0,0.92,0,0,0,1.48,0,4.19,10.76,0,0,36.2286,29.76,63.27,0,14.9317,0,0,23.48,0,22.8097,0,0,0,0,0

14,03:15-03:30,0,0,0,0,0,0,0,0,0,40.59,30.89,110.84,38.9,12.2978,0,51.79,42.58,582.3028,14.44,4.16,27.9189,0,0,37.21,0,125.3034,0,0,5.15,17.32,0,0,0,0,160.9,0,0,43.43,0,76.65,0,123.01,122.8699,0,117.19,76.27,389.97,3.41,58.14,0,0.92,0,0,0,1.48,0,4.19,10.76,0,0,36.2286,29.76,63.27,0,14.9317,0,0,23.48,0,22.8097,0,0,0,0,0

15,03:30-03:45,0,0,0,0,0,0,0,0,0,40.59,30.89,110.84,38.9,12.2978,0,51.79,42.58,582.3028,14.44,4.16,27.9189,0,0,37.21,0,125.3034,0,0,5.15,17.32,0,0,0,0,160.9,0,0,43.43,0,76.65,0,123.01,122.8699,0,117.19,76.27,389.97,3.41,58.14,0,0.92,0,0,0,1.48,0,4.19,10.76,0,0,30.6205,29.76,63.27,0,14.9317,0,0,23.48,0,22.8097,0,0,0,0,0

16,03:45-04:00,0,0,0,0,0,0,0,0,0,40.59,30.89,110.84,38.9,12.2978,0,51.79,42.58,582.3028,14.44,4.16,27.9189,0,0,37.21,0,125.3034,0,0,5.15,17.32,0,0,0,0,160.9,0,0,43.43,0,76.65,0,123.01,122.8699,0,117.19,76.27,389.97,3.41,58.14,0,0.92,0,0,0,1.48,0,9.13,10.76,0,0,30.6205,29.76,63.27,0,14.9317,0,0,23.48,0,22.8097,0,0,0,0,0

17,04:00-04:15,0,0,0,0,0,0,0,0,0,40.59,30.89,110.84,38.9,12.2978,0,51.79,42.58,582.3028,14.44,4.16,27.9189,0,0,37.21,0,125.3034,0,0,5.15,29.77,0,0,0,0,160.9,0,0,43.43,0,76.65,0,123.01,122.8699,0,117.19,76.27,389.97,3.41,58.14,0,0.92,0,0,0,1.48,0,6.16,10.76,0,0,30.6205,29.76,63.27,0,14.9317,0,0,23.48,0,22.8097,0,0,0,0,0

18,04:15-04:30,0,0,0,0,0,0,0,0,0,40.59,30.89,110.84,38.9,12.2978,0,51.79,42.58,582.3028,14.44,4.16,27.9189,0,0,37.21,0,125.3034,0,0,5.15,29.77,0,0,0,0,160.9,0,0,43.43,0,76.65,0,123.01,122.8699,0,117.19,76.27,389.97,3.41,58.14,0,0.92,0,0,0,1.48,0,6.16,10.76,0,0,30.6205,29.76,63.27,0,14.9317,0,0,23.48,0,22.8097,0,0,0,0,0

19,04:30-04:45,0,0,0,0,0,0,0,0,0,40.59,30.89,110.84,38.9,12.2978,0,51.79,42.58,582.3028,14.44,4.16,27.9189,0,0,37.21,0,125.3034,0,0,5.15,29.77,0,0,0,0,160.9,0,0,43.43,0,76.65,0,123.01,122.8699,0,117.19,76.27,389.97,3.41,58.14,0,0.92,0,0,0,1.48,0,6.16,10.48,0,0,30.6205,29.76,63.27,0,14.9317,0,0,23.48,0,22.8097,0,0,0,0,0

20,04:45-05:00,0,0,0,0,0,0,0,0,0,40.59,30.89,110.84,38.9,12.2978,0,51.79,42.58,553.79,14.44,4.16,27.9189,0,0,37.21,0,125.3034,0,0,5.15,29.77,0,0,0,0,160.9,0,0,43.43,0,76.65,0,123.01,122.8699,0,117.19,76.27,389.97,3.41,58.14,0,0.92,0,0,0,1.48,0,6.16,10.48,0,0,30.6205,29.76,63.27,0,14.9317,0,0,23.48,0,22.8097,0,0,0,0,0

21,05:00-05:15,0,0,0,0,0,0,0,0,0,40.59,30.89,110.84,38.9,12.2978,0,51.79,42.58,505.65,14.44,4.16,27.9189,0,0,37.21,0,125.3034,0,0,5.15,29.77,0,0,0,0,160.9,0,0,43.43,0,76.65,0,123.01,122.8699,0,117.19,76.27,389.97,3.41,58.14,0,0.92,0,0,0,1.48,0,11.1,10.33,0,0,30.6205,29.76,63.27,0,14.9317,0,0,23.48,0,22.8097,0,0,0,0,0

22,05:15-05:30,0,0,0,0,0,0,0,0,0,40.59,30.89,110.84,38.9,12.2978,0,51.79,42.58,457.5,14.44,4.16,27.9189,0,0,37.21,0,125.3034,0,0,5.15,29.77,0,0,0,0,160.9,0,0,43.43,0,76.65,0,123.01,122.8699,0,117.19,76.27,389.97,3.41,58.14,0,0.92,0,0,0,1.48,0,6.16,10.33,0,0,30.6205,29.76,63.27,0,14.9317,0,0,23.48,0,22.8097,0,0,0,0,0

23,05:30-05:45,0,0,0,0,0,0,0,0,0,40.59,30.89,110.84,38.9,12.2978,0,51.79,42.58,457.5,14.44,4.16,27.9189,0,0,37.21,0,125.3034,0,0,5.15,10.82,0,0,0,0,160.9,0,0,43.43,0,76.65,0,123.01,122.8699,0,117.19,76.27,389.97,3.41,58.14,0,0.92,0,0,0,1.48,0,6.16,10.05,0,0,30.6205,29.76,63.27,0,14.9317,0,0,23.48,0,22.8097,0,0,0,0,0

