Block,Time Block,DHAULIGNGA,FSTPP I & II,DULHASTI,URI2,UNCHAHAR3,TALST2,URI,TANAKPUR,UNCHAHAR2,UNCHAHAR1,TALA,TelanganaSTPP,VALLURNTECL,TEHRI,UNCHAHAR4,TANDA2,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,NTPL,PARBATI3,NLCTS2EXP,PARBATI2,NNTPP,RIHAND2,SASAN,RIHAND1,RAPPB,SINGRAULI_HYDRO,SIMHST1,RSTPSU1TO6,SIMHST2,RAPPD,RSTPSU7,SINGRAULI,SALAL,SEWA2,RAMPUR,RIHAND3,RAPPC,KOLDAM,KUDGI,MAPS,NLCIIST2,NJPC,NLCEXP,NAPP,KOTESHWR,NLCIIST1,KKNPPU2,KISHANGANGA,KHSTPP-I,KKNP,KHSTPP-II,CHAMERA2,CHAMERA3,DADRT2,BRBCL,CHAMERA1,BSIUL,KGSU3AND4,KGSU1AND2,JHAJJAR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,10.57,16.1,57.44,36.78,21.19,0,46.88,6.05,33.61,16.8,0,0,0,33.47,0.97,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,16.29,0,11.6,0,120.26,404.24,93.86,0,0.92,0,0,0,21.26,0,138.69,0,18.24,5.23,126.25,66.18,9.26,0,0,0,133.53,0,24.88,10.07,0,0,8.33,35.26,0,114.84,47.12,33.79,80.6,19.31,40.69,18.88,0,0,239.03,0,0,0,0,0

2,00:15-00:30,10.57,16.1,57.44,36.78,21.19,0,46.88,6.05,33.61,16.8,0,0,0,33.47,0.97,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,16.29,0,11.6,0,120.26,404.24,93.86,0,0.92,0,0,0,21.26,0,138.69,0,18.24,5.23,126.25,66.18,9.26,0,0,0,133.53,0,24.88,10.07,0,0,8.33,35.26,0,114.84,47.12,22.52,50.8,16.54,40.69,18.88,0,0,239.03,0,0,0,0,0

3,00:30-00:45,10.57,16.1,57.44,36.78,21.19,0,46.88,6.05,33.61,16.8,0,0,0,33.47,0.97,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,16.29,0,11.6,0,120.26,404.24,93.86,0,0.92,0,0,0,21.26,0,138.69,0,18.24,5.23,126.25,66.18,9.26,0,0,0,133.53,0,24.88,10.07,0,0,8.33,35.26,0,114.84,47.12,22.52,50.8,15.26,40.69,12.59,0,0,239.03,0,0,0,0,0

4,00:45-01:00,10.57,16.1,57.44,36.78,21.19,0,46.88,6.05,33.61,16.8,0,0,0,33.47,0.97,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,16.29,0,11.6,0,120.26,404.24,93.86,0,0.92,0,0,0,21.26,0,138.69,0,18.24,5.23,126.25,66.18,9.26,0,0,0,133.53,0,24.88,10.07,0,0,8.33,35.26,0,114.84,47.12,22.52,50.8,13.27,40.69,12.59,0,0,239.03,0,0,0,0,0

5,01:00-01:15,10.57,16.1,57.44,36.78,21.19,0,46.88,6.05,33.61,16.8,0,0,0,32.99,0.97,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,16.29,0,11.6,0,95.65,404.24,64.74,0,0.92,0,0,0,21.26,0,125.47,0,18.24,5.23,92.58,66.18,9.26,0,0,0,133.53,0,24.88,10.07,0,0,8.33,35.26,0,114.84,47.12,22.52,50.8,11.96,40.69,12.59,0,0,239.03,0,0,0,0,0

6,01:15-01:30,10.57,16.1,57.44,36.78,17.67,0,46.88,6.05,28.22,13.97,0,0,0,32.99,0.97,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,16.29,0,11.6,0,95.65,404.24,64.74,0,0.92,0,0,0,21.26,0,125.47,0,18.24,5.23,92.58,66.18,9.26,0,0,0,133.53,0,24.88,10.07,0,0,8.33,35.26,0,114.84,47.12,22.52,50.8,11.7,40.69,12.59,0,0,239.03,0,0,0,0,0

7,01:30-01:45,10.57,16.1,57.44,36.78,14.69,0,46.88,0,23.89,11.9,0,0,0,32.99,0.97,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,16.29,0,11.6,0,95.65,404.24,64.74,0,0.92,0,0,0,0,0,125.47,0,18.24,3.9,92.58,66.18,9.26,0,0,0,98.39,0,24.88,10.07,0,0,8.33,35.26,0,114.84,47.12,22.52,50.8,10.74,40.69,12.59,0,0,241.6,0,0,0,0,0

8,01:45-02:00,10.57,16.1,57.44,36.78,14.69,0,46.88,0,23.89,11.9,0,0,0,22.31,0.97,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,16.29,0,11.6,0,95.65,404.24,64.74,0,0.92,0,0,0,0,0,125.47,0,18.24,3.19,92.58,66.18,9.26,0,0,0,80.11,0,24.88,10.07,0,0,8.33,35.26,0,114.84,47.12,22.52,50.8,10.81,40.69,12.59,0,0,241.6,0,0,0,0,0

