Block,Time,LT-36,LT-59,L_NR_2023_04,L_NR_2012_01,L_NR_2018_61,LT-05,SH-07,SH-06,L_NR_2012_04,L_NR_2012_02,LT-31,L_NR_2020_02,LT-35,L_NR_2019_11,L_NR_2012_07,L_NR_2019_05,L_NR_2021_14,L_NR_2021_12,L_NR_2021_16,L_NR_2020_06,L_NR_2019_19,L_NR_2022_09,L_NR_2023_07,L_NR_2022_08,L_NR_2021_13,L_NR_2021_15,L_NR_2020_05,L_NR_2019_07,L_NR_2019_06,L_NR_2020_07,L_NR_2023_10,L_NR_2021_17,L_NR_2022_10
1,00:00-00:15,0.000000,10.340000,29.710000,0.000000,18.69,58.000000,25.310000,25.310000,213.600000,261.530000,0.000000,11.900000,0.000000,10.770000,74.110000,0,0,0,0,29.1,0,60.08,0,25.36,0,0,87.29,0,0,29.1,0,0,60.08

2,00:15-00:30,0.000000,10.340000,29.710000,0.000000,18.85,58.000000,25.310000,25.310000,213.600000,261.530000,0.000000,11.900000,0.000000,10.770000,74.110000,0,0,0,0,29.41,0,60.55,0,25.95,0,0,88.24,0,0,29.43,0,0,60.55

3,00:30-00:45,0.000000,10.340000,29.710000,0.000000,18.97,58.000000,25.310000,25.310000,213.600000,261.530000,0.000000,11.900000,0.000000,10.770000,74.110000,0,0,0,0,29.79,0,66.69,0,27.93,0,0,89.36,0,0,29.78,0,0,66.69

4,00:45-01:00,0.000000,10.340000,29.710000,0.000000,19.15,58.000000,25.310000,25.310000,213.600000,261.530000,0.000000,11.900000,0.000000,10.770000,74.110000,0,0,0,0,29.95,0,67.53,0,28.58,0,0,89.86,0,0,29.95,0,0,67.53

5,01:00-01:15,0.000000,10.340000,29.710000,0.000000,20.09,58.000000,26.060000,26.060000,213.600000,261.530000,0.000000,11.900000,0.000000,10.770000,74.110000,0,0,0,0,30.18,0,67.86,0,29.01,0,0,90.56,0,0,30.19,0,0,67.86

6,01:15-01:30,0.000000,10.340000,29.710000,0.000000,26.05,58.000000,26.060000,26.060000,213.600000,261.530000,0.000000,11.900000,0.000000,10.770000,74.110000,0,0,0,0,30.42,0,69.03,0,29.39,0,0,91.28,0,0,30.43,0,0,69.03

7,01:30-01:45,0.000000,10.340000,29.710000,0.000000,26.16,58.000000,26.060000,26.060000,213.600000,261.530000,0.000000,11.900000,0.000000,10.770000,74.110000,0,0,0,0,30.66,0,70.22,0,29.84,0,0,91.99,0,0,30.67,0,0,70.22

8,01:45-02:00,0.000000,10.340000,29.710000,0.000000,25.86,58.000000,26.060000,26.060000,213.600000,261.530000,0.000000,11.900000,0.000000,10.770000,74.110000,0,0,0,0,33.22,0,70.93,0,30.21,0,0,99.65,0,0,33.21,0,0,70.93

