Block,Time,CHAMERA2,JHAJJAR,KGSU1AND2,KUDGI,NLCEXP,NLCTS2EXP,RSTPSU1TO6,SIMHST1,SINGRAULI_HYDRO,TANDA2,TelanganaSTPP,ANTA_LF,DADRI_RF,KGSU3AND4,KKNPPU2,MAPS,NTPL,RAMPUR,RAPPC,TANAKPUR,UNCHAHAR1,UNCHAHAR3,DADRI_CRF,KHSTPP-II,KISHANGANGA,RIHAND3,TEHRI,ANTA_GF,DADRI_LF,CHAMERA1,FSTPP I & II,KHSTPP-I,NAPP,UNCHAHAR2,AURY_GF,AURY_LF,CHAMERA3,DADRT2,KOLDAM,NLCIIST2,NNTPP,PARBATI3,RAPPB,SEWA2,AURY_RF,BRBCL,DHAULIGNGA,KOTESHWR,RIHAND1,SALAL,SINGRAULI,URI2,DADRI_GF,BSIUL,DULHASTI,KKNP,NJPC,NLCIIST1,RIHAND2,SASAN,SIMHST2,TALA,TALST2,URI,ANTA_CRF,AURY_CRF,RSTPSU7,UNCHAHAR4,VALLURNTECL,ANTA_RF
1,00:00-00:15,0,654.3,0,0,0,0,0,0,0,0,0,0,69.05,0,0,0,0,0,26.9,1.15,10.27,26.39,0,148.3,0,124.32,0,0,23.57,0,20.8,33.08,44.21,42.39,0,0,0,683.14,0,0,0,0,0,0,71.24,20,0,8.88,92,8.13,120,4.31,0,0,16.48,0,0,0,118.75,292.5,0,0,0,2.21,0,0,0,0,0,44.83

2,00:15-00:30,0,654.3,0,0,0,0,0,0,0,0,0,0,69.05,0,0,0,0,0,26.9,1.15,10.27,26.39,0,148.3,0,124.32,0,0,23.57,0,20.8,33.08,44.21,42.39,0,0,0,683.14,0,0,0,0,0,0,71.24,20,0,8.88,92,8.13,120,4.31,0,0,16.48,0,20.83,0,118.75,303.75,0,0,0,2.21,0,0,0,0,0,44.83

3,00:30-00:45,0,654.3,0,0,0,0,0,0,0,0,0,0,69.05,0,0,0,0,0,26.9,1.15,10.27,26.39,0,148.3,0,124.32,0,0,23.57,0,20.8,33.69,44.21,42.39,0,0,0,683.14,0,0,0,0,0,0,71.24,20,0,8.88,92,8.13,120,4.31,0,0,16.48,0,20.83,0,118.75,315,0,0,0,2.21,0,0,0,0,0,44.83

4,00:45-01:00,0,654.3,0,0,0,0,0,0,0,0,0,0,69.05,0,0,0,0,0,26.9,1.15,10.27,26.39,0,148.3,0,124.32,0,0,23.57,0,20.8,33.69,44.21,42.39,0,0,0,683.14,0,0,0,0,0,0,71.24,20,0,8.88,92,8.13,120,4.31,0,0,16.48,0,20.83,0,118.75,326.25,0,0,0,2.21,0,0,0,0,0,44.83

5,01:00-01:15,0,654.3,0,0,0,0,0,0,0,0,0,0,69.05,0,0,0,0,0,26.9,1.15,10.27,26.39,0,148.3,0,124.32,0,0,23.57,0,20.8,33.69,44.21,42.39,0,0,0,683.14,0,0,0,0,0,0,71.24,20,0,8.88,92,8.13,125.96,4.31,0,0,16.48,0,20.83,0,118.75,337.5,0,0,0,3.31,0,0,0,0,0,44.83

6,01:15-01:30,0,654.3,0,0,0,0,0,0,0,0,0,0,69.05,0,0,0,0,0,26.9,1.15,10.27,26.39,0,148.3,0,124.32,0,0,23.57,0,20.8,33.69,44.21,42.39,0,0,0,683.14,0,0,0,0,0,0,71.24,20,0,8.88,92,8.13,125.96,4.31,0,0,16.48,0,20.83,0,118.75,337.5,0,0,0,26.49,0,0,0,0,0,44.83

7,01:30-01:45,0,654.3,0,0,0,0,0,0,0,0,0,0,69.05,0,0,0,0,0,26.9,1.15,10.27,26.39,0,148.3,0,124.32,0,0,23.57,0,20.8,33.69,44.21,42.39,0,0,0,683.14,0,0,0,0,0,0,71.24,20,0,8.88,92,8.13,125.96,4.31,0,0,16.48,0,0,0,118.75,337.5,0,0,0,26.49,0,0,0,0,0,44.83

8,01:45-02:00,0,654.3,0,0,0,0,0,0,0,0,0,0,69.05,0,0,0,0,0,26.9,1.15,10.27,26.39,0,148.3,0,124.32,0,0,23.57,0,20.8,33.69,44.21,42.39,0,0,0,683.14,0,0,0,0,0,0,71.24,20,0,8.88,92,8.13,125.96,4.31,0,0,16.48,0,0,0,118.75,337.5,0,0,0,26.49,0,0,0,0,0,44.83

9,02:00-02:15,0,654.3,0,0,0,0,0,0,0,0,0,0,69.05,0,0,0,0,0,43.4,1.15,10.27,26.39,0,148.3,0,124.32,0,0,23.57,0,20.8,33.69,44.21,42.39,0,0,0,683.14,0,0,0,0,0,0,71.24,20,0,8.88,92,8.13,125.96,4.31,0,0,16.48,0,0,0,118.75,337.5,0,0,0,3.31,0,0,0,0,0,44.83

10,02:15-02:30,0,654.3,0,0,0,0,0,0,0,0,0,0,69.05,0,0,0,0,0,43.4,1.15,10.27,26.39,0,148.3,0,124.32,0,0,23.57,0,20.8,33.69,44.21,42.39,0,0,0,683.14,0,0,0,0,0,0,71.24,20,0,8.88,92,8.13,125.96,4.31,0,0,16.48,0,0,0,118.75,337.5,0,0,0,2.21,0,0,0,0,0,44.83

11,02:30-02:45,0,654.3,0,0,0,0,0,0,0,0,0,0,69.05,0,0,0,0,0,43.4,1.15,10.27,26.39,0,148.3,0,124.32,0,0,23.57,0,20.8,33.69,44.21,42.39,0,0,0,683.14,0,0,0,0,0,0,71.24,20,0,8.88,92,8.13,125.96,4.31,0,0,16.48,0,0,0,118.75,337.5,0,0,0,2.21,0,0,0,0,0,44.83

12,02:45-03:00,0,654.3,0,0,0,0,0,0,0,0,0,0,69.05,0,0,0,0,0,43.4,1.15,10.27,26.39,0,148.3,0,124.32,0,0,23.57,0,20.8,33.69,44.21,42.39,0,0,0,683.14,0,0,0,0,0,0,71.24,20,0,8.88,92,8.13,125.96,4.31,0,0,16.48,0,0,0,118.75,337.5,0,0,0,2.21,0,0,0,0,0,45.05

13,03:00-03:15,0,654.3,0,0,0,0,0,0,0,0,0,0,69.05,0,0,0,0,0,43.4,1.15,10.27,26.39,0,148.3,0,124.32,0,0,23.57,0,20.8,33.69,44.21,42.39,0,0,0,683.14,0,0,0,0,0,0,71.24,20,0,8.88,92,8.13,125.96,4.31,0,0,16.48,0,0,0,118.75,348.75,0,0,0,2.21,0,0,0,0,0,45.05

14,03:15-03:30,0,654.3,0,0,0,0,0,0,0,0,0,0,69.05,0,0,0,0,0,43.4,1.15,10.27,26.39,0,148.3,0,124.32,0,0,23.57,0,20.8,33.69,44.21,42.39,0,0,0,683.14,0,0,0,0,0,0,71.24,20,0,8.88,92,8.13,125.96,4.31,0,0,16.48,0,0,0,118.75,360,0,0,0,2.21,0,0,0,0,0,45.05

15,03:30-03:45,0,654.3,0,0,0,0,0,0,0,0,0,0,69.05,0,0,0,0,0,43.4,1.54,10.27,26.39,0,148.3,0,124.32,0,0,23.57,0,20.8,33.69,44.21,42.39,0,0,0,683.14,0,0,0,0,0,0,71.24,20,0,8.88,92,8.13,125.96,4.31,0,0,16.48,0,0,0,118.75,371.25,0,0,0,2.21,0,0,0,0,0,45.05

16,03:45-04:00,0,654.3,0,0,0,0,0,0,0,0,0,0,69.05,0,0,0,0,0,43.4,1.54,10.27,26.39,0,148.3,0,124.32,0,0,23.57,0,20.8,33.69,44.21,42.39,0,0,0,683.14,0,0,0,0,0,0,71.24,20,0,8.88,92,8.13,125.96,4.31,0,0,16.48,0,0,0,118.75,382.5,0,0,0,2.21,0,0,0,0,0,45.05

17,04:00-04:15,0,654.3,0,0,0,0,0,0,0,0,0,0,69.05,0,0,0,0,0,44.67,5.76,10.27,26.39,0,148.3,0,124.32,0,0,23.57,0,20.8,33.69,44.21,42.39,0,0,0,683.14,0,0,0,0,0,0,71.24,20,0,8.88,92,8.13,125.96,4.31,0,0,16.48,0,0,0,118.75,393.75,0,0,0,2.21,0,0,0,0,0,45.05

