Block,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,SR/01112023/30112023/KSEB_BYPL-NOV23,SR/01102023/07102043/L_NR_2018_61,NR/03112023/30112023/IEX-231101-05680,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/31102037/L_NR_2019_11,NR/03112023/30112023/HPX-TAMDLY-011123-05147,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/01102023/25072045/L_NR_2021_15,NR/01102023/25122043/GNA_MEJA_DELHI,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,NR/01112023/30112023/HP-09,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,WR/01102023/16072048/L_NR_2022_08,NR/01112023/30112023/HP-10,NR/01102023/23072042/L_NR_2012_04,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/31052040/LT-31,NR/22102023/11042047/L_NR_2021_17,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,NR/01102023/14082046/L_NR_2021_16,NR/01102023/30042040/GNA_LT_35,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/01102023/30042040/GNA_LT_36
1,00:00-00:15,0,19.48,144.68,7.21,48.220000,0,1.920000,48.220000,31.19,0,19.47,58.42,0,0.000000,0,31.19,172.780000,1.780000,2.230000,10.31,73.790000,271.270000,0,0,0.000000,0,205.350000,24.610000,0,0,24.610000,53.050000,71.760000,55.570000,0,0.000000,24.110000,0,0,0,0.000000

2,00:15-00:30,0,19.26,144.68,7.21,48.220000,0,1.920000,48.220000,30.03,0,19.28,57.83,0,0.000000,0,30.03,172.780000,1.780000,2.230000,9.71,73.790000,271.270000,0,0,0.000000,0,205.350000,24.610000,0,0,24.610000,53.050000,71.760000,55.570000,0,0.000000,24.110000,0,0,0,0.000000

3,00:30-00:45,0,19.03,144.68,7.21,48.220000,0,1.920000,48.220000,29.09,0,19.04,57.12,0,0.000000,0,29.09,172.780000,1.780000,2.230000,9.17,73.790000,271.270000,0,0,0.000000,0,205.350000,24.610000,0,0,24.610000,53.050000,71.760000,55.570000,0,0.000000,24.110000,0,0,0,0.000000

4,00:45-01:00,0,11.65,144.68,7.21,48.220000,0,1.920000,48.220000,28.64,0,11.64,34.93,0,0.000000,0,28.64,172.780000,1.780000,2.230000,8.64,73.790000,271.270000,0,0,0.000000,0,205.350000,24.610000,0,0,24.610000,53.050000,71.760000,55.570000,0,0.000000,24.110000,0,0,0,0.000000

5,01:00-01:15,0,11.27,144.68,7.21,48.220000,0,1.840000,48.220000,26.57,0,11.27,33.81,0,0.000000,0,26.57,172.780000,1.780000,2.230000,8.1,73.790000,231.480000,0,0,0.000000,0,205.350000,24.610000,0,0,24.610000,53.050000,71.760000,55.570000,0,0.000000,24.110000,0,0,0,0.000000

6,01:15-01:30,0,14.69,144.68,9.28,48.220000,0,1.840000,48.220000,34.38,0,14.7,44.09,0,0.000000,0,34.38,172.780000,1.780000,2.230000,7.47,73.790000,183.260000,0,0,0.000000,0,205.350000,24.610000,0,0,24.610000,53.050000,71.760000,55.570000,0,0.000000,24.110000,0,0,0,0.000000

7,01:30-01:45,0,14.24,144.68,9.16,48.220000,0,1.840000,48.220000,31.59,0,14.25,42.74,0,0.000000,0,31.59,172.780000,1.780000,2.230000,6.69,73.790000,173.610000,0,0,0.000000,0,205.350000,24.610000,0,0,24.610000,53.050000,71.760000,31.830000,0,0.000000,24.110000,0,0,0,0.000000

8,01:45-02:00,0,13.53,144.68,8.99,48.220000,0,1.840000,48.220000,29.42,0,13.54,40.61,0,0.000000,0,29.42,172.780000,1.780000,2.230000,6.77,73.790000,173.610000,0,0,0.000000,0,205.350000,24.610000,0,0,24.610000,53.050000,71.760000,31.830000,0,0.000000,24.110000,0,0,0,0.000000

9,02:00-02:15,0,12.57,144.68,8.98,48.220000,0,1.840000,48.220000,28.07,0,12.56,37.69,0,0.000000,0,28.07,172.780000,1.780000,2.230000,6.66,73.790000,163.960000,0,0,0.000000,0,205.350000,26.030000,0,0,26.030000,53.050000,71.760000,31.830000,0,0.000000,24.110000,0,0,0,0.000000

10,02:15-02:30,0,14.69,144.68,8.06,48.220000,0,1.840000,48.220000,26.56,0,14.68,44.05,0,0.000000,0,26.56,172.780000,1.780000,2.230000,6.66,73.790000,163.960000,0,0,0.000000,0,205.350000,26.030000,0,0,26.030000,53.050000,71.760000,31.830000,0,0.000000,24.110000,0,0,0,0.000000

11,02:30-02:45,0,14.64,144.68,8.05,48.220000,0,1.840000,48.220000,25.21,0,14.63,43.9,0,0.000000,0,25.21,172.780000,1.780000,2.230000,6.66,73.790000,163.960000,0,0,0.000000,0,174.270000,26.030000,0,0,26.030000,53.050000,71.760000,31.830000,0,0.000000,24.110000,0,0,0,0.000000

12,02:45-03:00,0,14.27,144.68,7.95,48.220000,0,1.840000,48.220000,26.96,0,14.28,42.83,0,0.000000,0,26.96,172.780000,1.780000,2.230000,6.66,73.790000,163.960000,0,0,0.000000,0,174.270000,26.030000,0,0,26.030000,53.050000,71.760000,31.830000,0,0.000000,24.110000,0,0,0,0.000000

13,03:00-03:15,0,13.95,144.68,7.78,48.220000,0,1.770000,48.220000,26.59,0,13.94,41.83,0,0.000000,0,26.59,172.780000,1.710000,2.230000,6.66,73.790000,163.960000,0,0,0.000000,0,174.270000,26.030000,0,0,26.030000,53.050000,71.760000,31.830000,0,0.000000,24.110000,0,0,0,0.000000

14,03:15-03:30,0,13.45,144.68,7.58,48.220000,0,1.770000,48.220000,26.22,0,13.44,40.33,0,0.000000,0,26.22,172.780000,1.710000,2.230000,6.66,73.790000,163.960000,0,0,0.000000,0,174.270000,26.030000,0,0,26.030000,53.050000,71.760000,31.830000,0,0.000000,24.110000,0,0,0,0.000000

15,03:30-03:45,0,13.11,144.68,7.32,48.220000,0,1.770000,48.220000,25.85,0,13.11,39.33,0,0.000000,0,25.85,172.780000,1.710000,2.230000,6.66,73.790000,163.960000,0,0,0.000000,0,205.350000,26.030000,0,0,26.030000,53.050000,71.760000,31.830000,0,0.000000,24.110000,0,0,0,0.000000

16,03:45-04:00,0,10.26,144.68,7.21,48.220000,0,1.770000,48.220000,23.48,0,10.27,30.81,0,0.000000,0,23.48,172.780000,1.710000,2.230000,6.66,73.790000,163.960000,0,0,0.000000,0,188.300000,26.030000,0,0,26.030000,53.050000,71.760000,31.830000,0,0.000000,24.110000,0,0,0,0.000000

17,04:00-04:15,0,10.22,144.68,7.21,48.220000,0,1.770000,48.220000,23.11,0,10.22,30.67,0,0.000000,0,23.11,172.780000,1.710000,2.230000,6.66,73.790000,163.960000,0,0,0.000000,0,166.120000,26.030000,0,0,26.030000,53.050000,71.760000,31.830000,0,0.000000,24.110000,0,0,0,0.000000

18,04:15-04:30,0,7.34,144.68,7.21,48.220000,0,1.770000,48.220000,22.74,0,7.33,22,0,0.000000,0,22.74,172.780000,1.710000,2.230000,6.66,73.790000,163.960000,0,0,0.000000,0,166.120000,26.030000,0,0,26.030000,53.050000,71.760000,31.830000,0,0.000000,24.110000,0,0,0,0.000000

19,04:30-04:45,0,7.34,144.68,7.21,48.220000,0,1.770000,48.220000,19.69,0,7.33,22,0,0.000000,0,19.69,172.780000,1.710000,2.230000,6.66,73.790000,192.900000,0,0,0.000000,0,166.120000,26.030000,0,0,26.030000,53.050000,71.760000,55.570000,0,0.000000,24.110000,0,0,0,0.000000

20,04:45-05:00,0,7.34,144.68,11.14,48.220000,0,1.770000,48.220000,19.36,0,7.33,22,0,0.000000,0,19.36,172.780000,1.710000,2.230000,6.66,73.790000,231.480000,0,0,0.000000,0,166.120000,26.030000,0,0,26.030000,53.050000,71.760000,55.570000,0,0.000000,24.110000,0,0,0,0.000000

21,05:00-05:15,0,7.34,144.68,10.99,48.220000,0,1.770000,48.220000,19.03,0,7.33,22,0,0.000000,0,19.03,172.780000,1.710000,2.180000,6.66,73.790000,271.270000,0,0,0.000000,0,205.350000,26.030000,0,0,26.030000,53.050000,67.520000,55.570000,0,0.000000,24.110000,0,0,0,0.000000

22,05:15-05:30,0,7.34,144.68,10.72,48.220000,0,1.770000,48.220000,18.71,0,7.33,22,0,0.000000,0,18.71,172.780000,1.710000,2.180000,6.66,73.790000,271.270000,0,0,0.000000,0,205.350000,26.030000,0,0,26.030000,53.050000,67.520000,55.570000,0,0.000000,24.110000,0,0,0,0.000000

23,05:30-05:45,0,7.34,144.68,10.32,48.220000,0,1.770000,48.220000,19.21,0,7.33,22,0,0.000000,0,19.21,172.780000,1.710000,2.180000,6.66,73.790000,271.270000,0,0,0.000000,0,205.350000,26.030000,0,0,26.030000,53.050000,67.520000,55.570000,0,0.000000,24.110000,0,0,0,0.000000

24,05:45-06:00,0,7.34,144.68,13.13,48.220000,0,1.770000,48.220000,19.08,0,7.33,22,0,0.000000,0,19.08,172.780000,1.710000,2.180000,6.66,73.790000,271.270000,0,0,0.000000,0,205.350000,26.030000,0,0,26.030000,53.050000,67.520000,55.570000,0,0.000000,24.110000,0,0,0,0.000000

25,06:00-06:15,0,7.34,144.68,12.73,48.220000,0,1.690000,48.220000,18.7,0,7.33,22,0,0.000000,0,18.7,0.000000,1.630000,2.180000,6.66,203.780000,271.270000,0,0,0.000000,0,260.990000,26.030000,0,0,26.030000,53.050000,86.800000,74.550000,0,0.000000,24.110000,0,0,0,0.000000

26,06:15-06:30,0,7.34,144.68,12.33,48.220000,1.12,1.690000,48.220000,18.49,0,7.33,22,0,0.000000,0,18.49,0.000000,1.630000,2.180000,6.66,203.780000,271.270000,0,0,0.000000,0,260.990000,26.030000,0,0,26.030000,53.050000,86.800000,74.550000,0,0.000000,25.080000,0,0,0,0.000000

27,06:30-06:45,3,7.34,144.68,13.13,48.220000,4.55,1.690000,48.220000,18.27,0.301506,7.33,22,0,0.000000,0.95,18.27,0.000000,1.630000,2.180000,6.66,203.780000,271.270000,0,0,0.000000,0,260.990000,26.030000,0,0,26.030000,53.050000,86.800000,87.000000,0,0.000000,25.080000,0,0,0,0.000000

28,06:45-07:00,7,7.34,144.68,12.73,48.220000,15,1.690000,48.220000,17.71,5.553546,7.33,22,0,0.000000,3.98,17.71,0.000000,1.630000,2.180000,6.66,203.780000,271.270000,0,1.5,0.030000,0,260.990000,26.030000,0,0.08,26.030000,65.590000,86.800000,87.000000,0,0.030000,25.080000,0.39,3.5,0,0.030000

29,07:00-07:15,14,7.34,144.68,12.33,48.220000,26.02,1.690000,48.220000,14,15.95064,7.33,22,2.55,0.000000,19,14,0.000000,1.630000,2.180000,6.66,203.780000,271.270000,0,3,0.090000,0,260.990000,26.030000,0,0.55,26.030000,72.340000,86.800000,87.000000,0,0.090000,25.080000,2.74,7,1,0.100000

30,07:15-07:30,24.92,7.34,144.68,11.93,48.220000,24.91,1.690000,48.220000,14,25.803078,7.33,22,5,0.000000,24.92,14,0.000000,1.630000,2.180000,6.66,203.780000,271.270000,0.33,4,0.320000,1,260.990000,26.030000,0,1.21,26.030000,89.700000,86.800000,87.000000,0,0.320000,23.150000,6.05,11,2,0.330000

31,07:30-07:45,27.25,7.34,144.68,11.54,48.220000,27.25,1.690000,48.220000,14,35.383188,7.33,22,9,0.000000,27.25,14,0.000000,1.630000,2.180000,6.66,203.780000,271.270000,1.67,6,0.790000,3,260.990000,26.030000,0,2.93,26.030000,101.020000,71.760000,68.030000,0,0.790000,23.150000,14.66,14,6,0.810000

32,07:45:08:00,27.25,7.34,144.68,13.57,48.220000,27.25,1.690000,48.220000,14,45.877542,7.33,22,12,0.000000,27.25,14,0.000000,1.630000,2.180000,6.66,203.780000,271.270000,8.32,10,1.440000,6,260.990000,26.030000,0,5.26,26.030000,101.020000,71.760000,68.030000,0,1.440000,23.150000,26.33,22,11,1.480000

33,08:00-08:15,27.42,7.34,144.68,13.07,48.220000,27.41,1.690000,48.220000,14.42,56.936004,7.33,22,9.09,0.000000,27.42,14.42,0.000000,1.630000,2.180000,6.66,203.780000,271.270000,16.02,15,2.250000,9,260.990000,26.030000,0,8.03,26.030000,81.020000,67.520000,68.030000,0,2.250000,23.150000,40.17,35,17,2.310000

34,08:15-08:30,27.58,7.34,144.68,12.73,48.220000,27.59,1.690000,48.220000,14,67.88748,7.33,22,14.2,0.000000,27.58,14,0.000000,1.630000,2.180000,6.66,203.780000,271.270000,23.72,21,3.200000,12,260.990000,26.030000,0,11.31,26.030000,72.340000,67.520000,68.030000,0,3.200000,23.150000,56.58,49,25,3.290000

35,08:30-08:45,29.52,7.34,144.68,11.32,48.220000,29.51,1.690000,48.220000,14,78.060876,7.33,22,15.24,0.000000,29.52,14,0.000000,1.630000,2.180000,6.66,203.780000,271.270000,31.42,27,4.150000,15,260.990000,25.190000,0,12.8,30.860000,53.050000,67.520000,68.030000,0,4.150000,23.150000,64.01,63,30,4.260000

36,08:45:09:00,29.72,7.34,144.68,11.14,48.220000,29.71,1.690000,48.220000,14,87.397836,7.33,22,18.53,0.000000,29.72,14,0.000000,1.630000,2.180000,6.66,203.780000,271.270000,38.38,33,5.320000,18,260.990000,25.190000,0,16.21,30.860000,53.050000,67.520000,68.030000,0,5.320000,23.150000,81.06,77,37,5.450000

