Block,Time Block,KOTESHWR,NAPP,KKNPPU2,KUDGI,KOLDAM,MAPS,UNCHAHAR2,URI,TEHRI,TANDA2,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,URI2,TALST2,UNCHAHAR3,TANAKPUR,TelanganaSTPP,TALA,JHAJJAR,KGSU1AND2,KGSU3AND4,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,KKNP,KISHANGANGA,KHSTPP-I,KHSTPP-II,RIHAND3,SALAL,SEWA2,SINGRAULI,RIHAND2,SASAN,RSTPSU1TO6,SIMHST1,SINGRAULI_HYDRO,RSTPSU7,SIMHST2,NJPC,NLCEXP,NLCTS2EXP,RAMPUR,RIHAND1,NNTPP,RAPPB,NTPL,RAPPC,PARBATI3,NLCIIST1,NLCIIST2,CHAMERA3,CHAMERA1,BSIUL,BRBCL,CHAMERA2,DADRI_LF,DADRI_GF,DADRI_CRF,DADRI_RF,ANTA_RF,ANTA_LF,AURY_RF,ANTA_GF,AURY_CRF,ANTA_CRF,AURY_GF,AURY_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,8.53,41.8,0,0,0,0,22.6,25.48,0,0,11.55,0,0,5.17,0,14.91,6.03,0,0,346.12,0,0,0,12.88,0,297.2,0,0,24.55,61.66,119.57,1.35,0,114.17,114.22,389.53,0,0,0,0,0,0,0,0,0,88.49,0,0,0,51.99,0,0,0,0,0,0,19.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,8.53,41.8,0,0,0,0,22.6,25.48,0,0,11.55,0,0,18.11,0,14.91,6.03,0,0,346.12,0,0,0,10.07,0,249.11,0,0,24.55,61.66,119.57,1.35,0,110.4,114.22,389.53,0,0,0,0,0,0,0,0,0,88.49,0,0,0,51.99,0,0,0,0,0,0,17.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,8.53,41.8,0,0,0,0,22.6,25.48,0,0,11.55,0,0,18.11,0,14.91,6.03,0,0,346.12,0,0,0,9.63,0,191.4,0,0,24.55,61.66,119.57,1.35,0,110.4,114.22,389.53,0,0,0,0,0,0,0,0,0,88.49,0,0,0,51.99,0,0,0,0,0,0,13.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,8.53,41.8,0,0,0,0,22.6,3.18,0,0,11.55,0,0,18.11,0,14.91,0.49,0,0,346.12,0,0,0,9.63,0,191.4,0,0,24.55,61.66,119.57,1.35,0,110.4,114.22,389.53,0,0,0,0,0,0,0,0,0,88.49,0,0,0,51.99,0,0,0,0,0,0,13.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,8.53,41.8,0,0,0,0,22.6,1.28,0,0,11.55,0,0,18.11,0,14.91,0.49,0,0,346.12,0,0,0,9.63,0,191.4,0,0,24.55,61.66,119.57,1.35,0,110.4,114.22,389.53,0,0,0,0,0,0,0,0,0,88.49,0,0,0,51.99,0,0,0,0,0,0,12.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,8.53,41.8,0,0,0,0,22.6,1.28,0,0,11.55,0,0,18.11,0,14.91,0.49,0,0,346.12,0,0,0,9.63,0,191.4,0,0,24.55,61.66,119.57,1.35,0,110.4,91.66,389.53,0,0,0,0,0,0,0,0,0,60.91,0,0,0,51.99,0,0,0,0,0,0,11.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,8.53,41.8,0,0,0,0,22.6,1.28,0,0,11.55,0,0,18.11,0,14.91,0.49,0,0,346.12,0,0,0,9.63,0,191.4,0,0,24.55,61.66,87.76,1.35,0,110.4,91.66,389.53,0,0,0,0,0,0,0,0,0,60.91,0,0,0,51.99,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,8.53,41.8,0,0,0,0,22.6,1.28,0,0,11.55,0,0,4.27,0,14.91,6.03,0,0,346.12,0,0,0,9.63,0,191.4,0,0,24.55,61.66,87.76,1.35,0,110.4,91.66,389.53,0,0,0,0,0,0,0,0,0,60.91,0,0,0,51.99,0,0,0,0,0,0,12.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,8.53,41.8,0,0,0,0,22.6,1.28,0,0,11.55,0,0,4.27,0,14.91,6.03,0,0,346.12,0,0,0,9.63,0,191.4,0,0,24.55,52.3,87.76,1.35,0,110.4,81.89,389.53,0,0,0,0,0,0,0,0,0,60.91,0,0,0,51.99,0,0,0,0,0,0,10.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,8.53,41.8,0,0,0,0,22.6,1.28,0,0,11.55,0,0,4.27,0,14.91,6.03,0,0,346.12,0,0,0,9.63,0,191.4,0,0,24.55,52.3,87.76,1.35,0,110.4,81.89,389.53,0,0,0,0,0,0,0,0,0,60.91,0,0,0,51.99,0,0,0,0,0,0,12.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,8.53,41.8,0,0,0,0,22.6,1.28,0,0,11.55,0,0,4.27,0,14.91,0,0,0,346.12,0,0,0,9.63,0,191.4,0,0,24.55,52.3,87.76,1.35,0,110.4,79.96,389.53,0,0,0,0,0,0,0,0,0,60.91,0,0,0,51.99,0,0,0,0,0,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,8.53,41.8,0,0,0,0,22.6,1.28,0,0,11.55,0,0,4.27,0,14.91,0,0,0,346.12,0,0,0,9.63,0,191.4,0,0,24.55,52.3,87.76,1.35,0,110.4,79.96,389.53,0,0,0,0,0,0,0,0,0,60.91,0,0,0,51.99,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,8.53,41.8,0,0,0,0,22.6,1.28,0,0,11.55,0,0,4.27,0,14.91,0,0,0,346.12,0,0,0,9.63,0,191.4,0,0,24.55,52.3,87.76,1.35,0,110.4,79.96,389.53,0,0,0,0,0,0,0,0,0,60.91,0,0,0,51.99,0,0,0,0,0,0,15.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,8.53,41.8,0,0,0,0,22.6,1.28,0,0,11.55,0,0,4.27,0,14.91,0,0,0,346.12,0,0,0,9.63,0,191.4,0,0,24.55,52.3,87.76,1.35,0,110.4,79.96,389.53,0,0,0,0,0,0,0,0,0,60.91,0,0,0,51.99,0,0,0,0,0,0,15.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,8.53,41.8,0,0,0,0,22.43,1.28,0,0,11.55,0,0,4.27,0,14.76,0,0,0,346.12,0,0,0,9.63,0,191.4,0,0,24.55,61.66,87.76,1.35,0,110.4,77.08,389.53,0,0,0,0,0,0,0,0,0,60.91,0,0,0,51.99,0,0,0,0,0,0,16.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,8.53,41.8,0,0,0,0,22.43,1.28,0,0,11.55,0,0,4.27,0,14.76,0,0,0,346.12,0,0,0,9.63,0,191.4,0,0,24.55,61.66,87.76,1.35,0,110.4,79.96,389.53,0,0,0,0,0,0,0,0,0,60.91,0,0,0,51.99,0,0,0,0,0,0,16.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,8.53,41.8,0,0,0,0,22.43,1.28,0,0,11.55,0,0,4.27,0,14.76,0,0,0,346.12,0,0,0,9.63,0,191.4,0,0,24.55,61.66,87.76,1.35,0,110.4,79.96,389.53,0,0,0,0,0,0,0,0,0,60.91,0,0,0,51.99,0,0,0,0,0,0,19.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,8.53,41.8,0,0,0,0,22.43,1.28,0,0,11.55,0,0,4.27,0,14.76,0,0,0,346.12,0,0,0,9.63,0,191.4,0,0,24.55,61.66,87.76,1.35,0,110.4,79.96,389.53,0,0,0,0,0,0,0,0,0,60.91,0,0,0,51.99,0,0,0,0,0,0,19.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

