Time,Block,NR/2023/11205/A,NR/2023/14117/F,NR/2023/11697/A,NR/2023/14432/C,NR/2023/14187/F,NR/2023/14136/F,NR/2023/11521/A,NR/2023/14413/C,NR/2023/13704/A,NR/2023/14421/C,NR/2023/14113/F,NR/2023/14121/F,NR/2023/14415/C,NR/2023/13573/A,NR/2023/14114/F,NR/2023/13283/A,NR/2023/11458/A,NR/2023/13858/A,NR/2023/11739/A,NR/2023/14381/D,NR/2023/13284/A,NR/2023/14120/F,NR/2023/12646/A,NR/2023/14115/F,NR/2023/14433/C,NR/2023/11469/A,NR/2023/11892/A,NR/2023/11470/A,NR/2023/13573/A/II,NR/2023/14118/F,NR/2023/11654/A,NR/2023/14389/C,NR/2023/14379/D,NR/2023/14417/C,NR/2023/11954/A,NR/2023/14380/D,NR/2023/13859/A,NR/2023/11325/A,NR/2023/14406/C,NR/2023/11315/A,NR/2023/11524/A,NR/2023/13983/F,NR/2023/11204/A,NR/2023/11264/A,NR/2023/14407/C,NR/2023/11328/A,NR/2023/13283/A/II,NR/2023/14116/F,NR/2023/14119/F,NR/2023/11203/A,NR/2023/14405/C,NR/2023/14431/C,NR/2023/13704/A/II,NR/2023/13983/F/II,NR/2023/14386/D,NR/2023/14385/D,NR/2023/14382/D,Total
,,KEIPL,SHPPBPL,APPCPL,IEXL,GBHHPL,SJVNL,PTC,PXIL,HPXL,HPXL,SHPPBPL,SHPPBPL,IEXL,NVVNL,SHPPBPL,APPCPL,STATKRAFT,MANIKARAN,NVVNL,KEIPL,APPCPL,SHPPBPL,MANIKARAN,SHPPBPL,IEXL,NVVNL,TPTCL,NVVNL,NVVNL,SHPPBPL,TPTCL,KEIPL,NVVNL,TPDDL,KEIPL,NVVNL,MANIKARAN,APPCPL,HPXL,GMRETL,PTC,ITCLH,KEIPL,TPTCL,PXIL,APPCPL,APPCPL,SHPPBPL,SHPPBPL,KEIPL,HPXL,IEXL,HPXL,ITCLH,TS1PL_BKN,TS1PL_BKN,NVVNL,Total

,,KERALA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,WEST BENGAL,NA,KARNATAKA,MAHARASHTRA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,KARNATAKA,NA,HIMACHAL PRADESH,GOA,TAMIL NADU,HIMACHAL PRADESH,MP,UTTAR PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MAHARASHTRA,NA,NA,HIMACHAL PRADESH,NA,MAHARASHTRA,NA,HIMACHAL PRADESH,MEGHALAYA,NA,HIMACHAL PRADESH,MEGHALAYA,NA,MEGHALAYA,NA,ANDHRA PRADESH,KERALA,NA,DELHI,UTTARAKHAND,GOA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,NA,MAHARASHTRA,ANDHRA PRADESH,NA,NA,NA,
,,KSEB,SHPPBPL,HP,ACBIL,GBHHPL,IPCL_WB,JPNIGRIE_JNSTPP,JSWEL,B_S_ISPAT_MH,APNRL,SHPPBPL,SHPPBPL,NSLSUGAR,SKS Raigarh,SHPPBPL,GOA_Beneficiary,TANGEDCO,HP,JP BINA,LAPL-UP,HP,SHPPBPL,TANGEDCO,SHPPBPL,MALANA,JPNIGRIE_JNSTPP,TPC MSEB,KAMENG,SKS Raigarh,SHPPBPL,JPL-2,LMEL MSEB,KAMENG,CHANJUII,Meghalaya_Ben,SORANG_HEP,HP,Meghalaya_Ben,Teesta_III,Meghalaya_Ben,JPL-2,ITCWIND,KSEB,KWHEP,BYPL,UTTARAKHAND,GOA_Beneficiary,SHPPBPL,SHPPBPL,Meghalaya_Ben,HIRIYUR_OSTROKANNADA,ADHPL,B_S_ISPAT_MH,ITCWIND,TS1PL_BKN,TS1PL_BKN,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BMDRC,BYPL,BRPL,DIAPL,NDMC,TPDDL,BRPL,NDMC,BRPL,BAL184,UHL,MES (Delhi),NDMC,BAL224,BRPL,BYPL,BRPL,BRPL,BYPL,BRPL,MHIL,BRPL,BAL234,BRPL,BRPL,BYPL,BRPL,NDMC,MAX-HPTL,BRPL,BYPL,TPDDL,TPDDL,BYPL,TPDDL,BRPL,BYPL,BRPL,BYPL,TPDDL,ITCLH,BYPL,BRPL,ASIL_UP,BYPL,BRPL,AISHER,JHPL-DL,BYPL,BRPL,BRPL,NDMC,ITCLH,BRPL,BYPL,MES (Delhi),
,,South-East-North,North-North,North-North,West-North,North-North,East-North,West-North,South-West-North,West-North,East-North,North-North,North-North,South-West-North,West-East-North,North-North,West-North,South-West-North,North-North,West-North,North-North,North-North,North-North,South-West-North,North-North,North-North,West-North,West-North,North East-East-North,West-North,North-North,West-North,West-North,North East-East-North,North-North,North East-East-North,North-North,North-North,North East-East-North,East-North,North East-East-North,West-North,South-East-North,South-East-North,North-North,North-North,North-North,West-East-North,North-North,North-North,North East-East-North,South-East-North,North-North,West-East-North,South-West-North,North-North,North-North,West-North,
1,00:00-00:15,231.800000,0.930000,33.310000,53.100000,9.650000,0.000000,48.270000,77.230000,6.380000,0.000000,0.380000,0.610000,4.830000,3.480000,0.520000,22.790000,98.470000,77.230000,42.470000,0.000000,77.710000,0.610000,23.100000,0.950000,69.510000,84.940000,66.520000,21.240000,59.280000,0.870000,257.760000,0.000000,147.460000,19.120000,36.420000,45.370000,141.910000,24.140000,34.750000,22.200000,193.080000,0.870000,83.020000,21.530000,0.000000,48.270000,1.340000,0.870000,1.010000,62.990000,54.78,91.710000,0.380000,0.000000,0,0,0,2405.16

2,00:15-00:30,231.800000,0.930000,33.310000,53.100000,9.650000,0.000000,48.270000,9.650000,6.380000,0.000000,0.380000,0.610000,4.830000,3.480000,0.520000,22.790000,98.470000,77.230000,42.470000,0.000000,77.710000,0.610000,23.100000,0.950000,69.510000,84.940000,66.520000,21.240000,59.280000,0.870000,257.760000,0.000000,147.460000,19.120000,36.420000,45.370000,141.910000,24.140000,34.750000,22.200000,193.080000,0.870000,83.020000,21.530000,0.000000,48.270000,1.340000,0.870000,1.010000,62.990000,55.76,91.710000,0.380000,0.000000,0,0,0,2338.56
