Block,Time,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01032024/31032024/SJVN010324NR1589,SR/16032024/31032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,SR/01032024/31032024/SJVN010324NR1590,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2022_09,SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,WR/16032024/31032024/TPDDL/PMG/MSEDCL/Banking/12112023,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_16,NR/01032024/31032024/SJVN010324NR1588,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,NR/01032024/22032024/HP-56,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/22052037/LT-59,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01012024/31032024/ ChanjuII,NR/01032024/31032024/NVVN/OA/16997,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/25122043/GNA_MEJA_DELHI,NR/16032024/22032024/HP-63,NR/01032024/22032024/HP-59,NR/01102023/06022042/L_NR_2012_07
1,00:00-00:15,0,0,0,18,45,7.01,0,0,0,0,48.13,0,11.66,0,0,0,0,45,48.13,0,0,192.520000,54,0,0,0,18,76.520000,0.000000,0.000000,133.800000,1.340000,0.000000,99.740000,1.090000,0.000000,1.300000,25.990000,5.600000,48.130000,25.990000,30.800000,260.480000,0.000000,78.560000,32.760000,86.830000

2,00:15-00:30,0,0,0,17.5,43.33,7.01,0,0,0,0,48.13,0,11,0,0,0,0,43.33,48.13,0,0,192.520000,52.5,0,0,0,17.5,76.520000,0.000000,0.000000,133.800000,1.340000,0.000000,99.740000,1.090000,0.000000,1.300000,25.990000,5.600000,48.130000,25.990000,30.800000,260.480000,0.000000,78.560000,32.760000,86.830000

3,00:30-00:45,0,0,0,17,40,7.01,0,0,0,0,48.13,0,10.34,0,0,0,0,40,48.13,0,0,192.520000,51,0,0,0,17,76.520000,0.000000,0.000000,133.800000,1.340000,0.000000,99.740000,1.090000,0.000000,1.300000,25.990000,5.600000,48.130000,25.990000,30.800000,260.480000,0.000000,78.560000,32.760000,86.830000

4,00:45-01:00,0,0,0,16.67,36.67,7.01,0,0,0,0,48.13,0,10,0,0,0,0,36.67,48.13,0,0,192.520000,50,0,0,0,16.66,76.520000,0.000000,0.000000,133.800000,1.340000,0.000000,99.740000,1.090000,0.000000,1.300000,25.990000,5.600000,48.130000,25.990000,30.800000,260.480000,0.000000,78.560000,32.760000,86.830000

5,01:00-01:15,0,0,0,15.83,35,7.01,0,0,0,0,48.13,0,9.66,0,0,0,0,35,48.13,0,0,192.520000,47.5,0,0,0,15.84,76.520000,0.000000,0.000000,115.510000,1.340000,0.000000,99.740000,1.090000,0.000000,1.260000,25.990000,5.600000,48.130000,25.990000,30.800000,233.830000,0.000000,78.560000,32.760000,67.890000

6,01:15-01:30,0,0,0,15,33.33,7.01,0,0,0,0,48.13,0,9.34,0,0,0,0,33.33,48.13,0,0,192.520000,45,0,0,0,15,76.520000,0.000000,0.000000,115.510000,1.340000,0.000000,99.740000,1.090000,0.000000,1.260000,25.990000,5.600000,48.130000,25.990000,30.800000,233.830000,0.000000,78.560000,32.760000,67.890000

7,01:30-01:45,0,0,0,15,35,7.01,0,0,0,0,48.13,0,9,0,0,0,0,35,48.13,0,0,192.520000,45,0,0,0,15,76.520000,0.000000,0.000000,133.800000,1.340000,0.000000,99.740000,1.090000,0.000000,1.260000,25.990000,5.600000,48.130000,24.380000,30.800000,260.480000,0.000000,78.560000,32.760000,67.890000

8,01:45-02:00,0,0,0,15.17,35.67,7.01,0,0,0,0,48.13,0,9,0,0,0,0,35.67,48.13,0,0,192.520000,45.5,0,0,0,15.16,76.520000,0.000000,0.000000,133.800000,1.340000,0.000000,99.740000,1.090000,0.000000,1.260000,25.030000,5.600000,48.130000,24.380000,30.800000,260.480000,0.000000,78.560000,32.760000,86.830000

9,02:00-02:15,0,0,0,19.67,36.33,7.01,0,0,0,0,48.13,0,12.66,0,0,0,0,36.33,48.13,0,0,192.520000,59,0,0,0,19.66,76.520000,0.000000,0.000000,133.800000,1.340000,0.000000,99.740000,1.090000,0.000000,1.220000,25.030000,5.600000,48.130000,24.380000,30.800000,260.480000,0.000000,78.560000,32.760000,62.760000

10,02:15-02:30,0,0,0,19.83,37.33,7.01,0,0,0,0,48.13,0,12.81,0,0,0,0,37.33,48.13,0,0,192.520000,59.5,0,0,0,19.84,76.520000,0.000000,0.000000,133.800000,1.340000,0.000000,99.740000,1.090000,0.000000,1.220000,25.030000,5.600000,48.130000,24.380000,30.800000,260.480000,0.000000,78.560000,32.760000,38.700000

11,02:30-02:45,0,0,0,23,43.33,7.01,0,0,0,0,48.13,0,12.99,0,0,0,0,43.33,48.13,0,0,192.520000,69,0,0,0,23,76.520000,0.000000,0.000000,133.800000,1.340000,0.000000,86.630000,1.090000,0.000000,1.220000,25.030000,5.600000,48.130000,24.380000,30.800000,260.480000,0.000000,78.560000,32.760000,38.500000

12,02:45-03:00,0,0,0,23.17,43.67,7.01,0,0,0,0,48.13,0,13.07,0,0,0,0,43.67,48.13,0,0,192.520000,69.5,0,0,0,23.16,76.520000,0.000000,0.000000,133.800000,1.340000,0.000000,86.630000,1.090000,0.000000,1.220000,25.030000,5.600000,48.130000,24.380000,30.800000,260.480000,0.000000,78.560000,32.760000,38.500000

13,03:00-03:15,0,0,0,27.67,44,7.01,0,0,0,0,48.13,0,13.18,0,0,0,0,44,48.13,0,0,192.520000,83,0,0,0,27.66,76.520000,0.000000,0.000000,133.800000,1.340000,0.000000,86.630000,1.090000,0.000000,1.220000,25.030000,5.520000,48.130000,24.380000,30.800000,229.450000,0.000000,78.560000,32.760000,38.500000

14,03:15-03:30,0,0,0,27.5,44.67,7.01,0,0,0,0,48.13,0,13.21,0,0,0,0,44.67,48.13,0,0,192.520000,82.5,0,0,0,27.5,76.520000,0.000000,0.000000,133.800000,1.340000,0.000000,86.630000,1.090000,0.000000,1.220000,24.060000,5.520000,48.130000,24.380000,30.800000,200.580000,0.000000,78.560000,32.760000,38.500000

15,03:30-03:45,0,0,0,27.33,45.33,7.01,0,0,0,0,48.13,0,13.27,0,0,0,0,45.33,48.13,0,0,192.520000,82,0,0,0,27.34,76.520000,0.000000,0.000000,133.800000,1.340000,0.000000,57.760000,1.160000,0.000000,1.220000,24.060000,5.520000,48.130000,24.380000,25.450000,200.580000,0.000000,78.560000,32.760000,38.500000

16,03:45-04:00,0,0,0,27.17,46.67,7.01,0,0,0,0,48.13,0,13.49,0,0,0,0,46.67,48.13,0,0,192.520000,81.5,0,0,0,27.16,76.520000,0.000000,0.000000,133.800000,1.340000,0.000000,57.760000,1.160000,0.000000,1.220000,24.060000,5.520000,48.130000,24.380000,25.450000,200.580000,0.000000,78.560000,32.760000,38.500000

17,04:00-04:15,0,0,0,27,54,7.01,0,0,0,0,48.13,0,13.66,0,0,0,0,54,48.13,0,0,192.520000,81,0,0,0,27,76.520000,0.000000,0.000000,133.800000,1.300000,0.000000,57.760000,1.160000,0.000000,1.220000,24.060000,5.520000,48.130000,24.380000,25.450000,200.580000,0.000000,78.560000,32.760000,38.500000

18,04:15-04:30,0,0,0,26.67,53.67,7.01,0,0,0,0,48.13,0,13.66,0,0,0,0,53.67,48.13,0,0,192.520000,80,0,0,0,26.66,76.520000,0.000000,0.000000,133.800000,1.300000,0.000000,86.630000,1.160000,0.000000,1.220000,24.060000,5.520000,48.130000,24.380000,25.450000,200.580000,0.000000,78.560000,32.760000,57.440000

19,04:30-04:45,0,0,0,26.33,39,7.01,0,0,0,0,48.13,0,13.66,0,0,0,0,39,48.13,0,0,192.520000,79,0,0,0,26.34,76.520000,0.000000,0.000000,133.800000,1.300000,0.000000,99.740000,1.160000,0.000000,1.220000,24.060000,5.520000,48.130000,24.380000,30.800000,200.580000,0.000000,78.560000,32.760000,57.440000

20,04:45-05:00,0,0,0,26,38.67,7.01,0,0,0,0,48.13,0,13.66,0,0,0,0,38.67,48.13,0,0,192.520000,78,0,0,0,26,76.520000,0.000000,0.000000,133.800000,1.300000,0.000000,99.740000,1.160000,0.000000,1.220000,24.060000,5.520000,48.130000,24.380000,30.800000,229.450000,0.000000,78.560000,32.760000,57.440000

21,05:00-05:15,0,0,0,23.17,38.33,7.01,0,0,0,0,48.13,0,13.34,0,0,0,0,38.33,48.13,0,0,192.520000,69.5,0,0,0,23.16,76.520000,0.000000,0.000000,133.800000,1.300000,0.000000,99.740000,1.160000,0.000000,1.180000,24.060000,5.420000,48.130000,24.380000,30.800000,260.480000,0.000000,78.560000,32.760000,76.320000

22,05:15-05:30,0,0,0,22.83,38,7.01,0,0,0,0,48.13,0,13,0,0,0,0,38,48.13,0,0,192.520000,68.5,0,0,0,22.84,76.520000,0.000000,0.000000,133.800000,1.300000,0.000000,99.740000,1.160000,0.000000,1.180000,24.060000,5.420000,48.130000,24.380000,30.800000,260.480000,0.000000,78.560000,32.760000,76.320000

23,05:30-05:45,0,0,0,22.5,37.67,7.01,0,0,0,0,48.13,0,12.66,0,0,0,0,37.67,48.13,0,0,192.520000,67.5,0,0,0,22.5,76.520000,0.000000,0.000000,133.800000,1.300000,0.000000,99.740000,1.160000,0.000000,1.340000,24.060000,5.420000,48.130000,24.380000,30.800000,260.480000,0.000000,78.560000,32.760000,76.320000

