Block,Time Block,NJPC,NAPP,KHSTPP-I,KGSU3AND4,KKNPPU2,KHSTPP-II,KKNP,KISHANGANGA,MAPS,KUDGI,SEWA2,SIMHST1,RSTPSU7,SALAL,SASAN,KOTESHWR,KOLDAM,RIHAND3,RAPPC,RSTPSU1TO6,RAPPB,RIHAND2,RIHAND1,KGSU1AND2,JHAJJAR,DULHASTI,FSTPP I & II,DHAULIGNGA,RAMPUR,DADRT2,CHAMERA3,CHAMERA2,NTPL,PARBATI3,VALLURNTECL,URI,UNCHAHAR4,UNCHAHAR3,URI2,BRBCL,CHAMERA1,BSIUL,UNCHAHAR2,TelanganaSTPP,UNCHAHAR1,NLCTS2EXP,NNTPP,TANDA2,TEHRI,TANAKPUR,TALA,TALST2,NLCEXP,NLCIIST1,NLCIIST2,DADRI_RF,DADRI_LF,DADRI_GF,SIMHST2,SINGRAULI,SINGRAULI_HYDRO,ANTA_CRF,ANTA_RF,AURY_GF,ANTA_LF,DADRI_CRF,AURY_RF,ANTA_GF,AURY_CRF,AURY_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,42.58,36.92,0,0,133.16,0,0,0,0,0,0,0,1.35,399.93,8.53,0,119.45,52.18,0,0,114.09,47.29,0,345.76,0,9.62,0,0,362.37,0,0,0,0,0,0.63,0,14.36,4.14,17.11,0,0,22.72,0,13.4,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,109.93,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,42.58,24.52,0,0,104.05,0,0,0,0,0,0,0,1.35,399.93,8.53,0,119.45,52.18,0,0,114.09,43.24,0,345.76,0,9.62,0,0,362.37,0,0,0,0,0,0.63,0,14.36,4.14,18.75,0,0,22.72,0,11.54,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,104.31,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0

3,00:30-00:45,20.01,42.58,24.52,0,0,94.82,0,0,0,0,0,0,0,1.35,399.93,8.53,0,119.45,52.18,0,0,114.09,43.24,0,345.76,0,9.62,0,0,362.37,0,0,0,0,0,0.63,0,14.36,4.14,17.92,0,0,22.72,0,11.54,0,0,0,0,5.53,0,0,0,0,0,0,0,0,0,104.31,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0

4,00:45-01:00,20.01,42.58,24.52,0,0,94.82,0,0,0,0,0,0,0,1.35,399.93,8.53,0,119.45,52.18,0,0,114.09,43.24,0,345.76,0,9.62,0,0,362.37,0,0,0,0,0,0.63,0,14.36,4.14,16.5,0,0,22.72,0,11.54,0,0,0,0,5.53,0,0,0,0,0,0,0,0,0,121.02,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0

5,01:00-01:15,20.01,42.58,28.94,0,0,94.82,0,0,0,0,0,0,0,1.35,399.93,8.53,0,119.45,52.18,0,0,114.09,43.24,0,345.76,0,9.62,0,0,362.37,0,0,0,0,0,0.32,0,14.36,4.14,14.63,0,0,22.72,0,11.54,0,0,0,0,5.53,0,0,0,0,0,0,0,0,0,121.02,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0

