Block,Time,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,NR/01102023/19072037/LT-05,NR/01102023/05012040/L_NR_2020_02,NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,NR/01102023/31102037/L_NR_2019_11,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/06022042/L_NR_2012_02,NR/30092023/26122029/SH-06,NR/16122023/22122023/HP-16,NR/16122023/22122023/HP-20,NR/01102023/22052037/LT-59,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,SR/01122023/31122023/BYPL_KSEB_DEC23,NR/26072023/25122043/L_NR_2023_10,NR/18122023/18122023/SJVN181223NR1300,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02012046/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,NR/01102023/14082046/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,NR/18122023/18122023/SJVN181223NR1299
1,00:00-00:15,96.040000,0.000000,31.290000,0.000000,71.450000,1.710000,148.550000,0.000000,23.050000,46.100000,25.920000,1.140000,0.000000,122.690000,30.730000,133.760000,127.710000,1.090000,68.79,28.04,0,30.71,0,92.16,30.72,41.61,0,68.79,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,96.040000,0.000000,31.290000,0.000000,71.450000,1.710000,148.550000,0.000000,23.050000,46.100000,25.920000,1.140000,0.000000,109.490000,30.730000,133.760000,127.710000,1.090000,68.45,27.49,0,30.32,0,91.01,30.34,41.61,0,68.45,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,96.040000,0.000000,31.290000,0.000000,71.450000,1.710000,148.550000,0.000000,23.050000,46.100000,25.920000,1.140000,0.000000,109.490000,25.920000,133.760000,127.710000,1.090000,68.09,27.03,0,30.08,0,90.29,30.1,41.61,0,68.09,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,96.040000,0.000000,31.290000,0.000000,71.450000,1.710000,148.550000,0.000000,23.050000,46.100000,25.920000,1.140000,0.000000,109.490000,25.920000,133.760000,127.710000,1.090000,67.33,26.44,0,30.07,0,90.19,30.06,41.61,0,67.33,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,96.040000,0.000000,31.290000,0.000000,71.450000,1.660000,148.550000,0.000000,23.050000,46.100000,25.920000,1.070000,0.000000,109.490000,25.920000,133.760000,127.710000,0.770000,66.17,29.9,0,30.04,0,90.17,30.06,41.61,0,66.17,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

