Column1,Block,NR/2024/21954/A/32825,NR/2024/21940/A/32827,NR/2024/21918/A/32872,NR/2024/22639/C,NR/2024/22640/C,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21933/A/32566,NR/2024/21860/A/32903,NR/2024/21966/A/32755,NR/2024/21968/A/32831,NR/2024/21658/A/32531,NR/2024/21983/A/32565,NR/2024/22637/C,NR/2024/21974/A/32839,NR/2024/21971/A/32836,NR/2024/21911/A/32801,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/22010/A/32884,NR/30092023/31122025/SH-07,NR/2024/21970/A/32833,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/2024/22042/A/32529,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/2024/21943/A/32824,NR/16082024/31082024/APL-Raigarh_august,NR/16082024/31082024/MPL/24-25/STOA/128,NR/2024/22632/C,NR/2024/22432/A/32579,NR/2024/22498/A/32887,NR/2024/22014/A/32530,NR/2024/22279/A/32526,NR/01082024/31082024/SKS-Raigarh,NR/2024/21961/A/32583,NR/2024/21956/A/32828,NR/30092023/26122029/SH-06,NR/01082024/31082024/jitpl,NR/2024/21938/A/32585,NR/2024/21814/A/32841,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01102023/02012046/L_NR_2021_17,NR/2024/22654/C,NR/2024/22534/A/32581,NR/2024/22535/A/32580,NR/01102023/14082046/L_NR_2021_16,Total
,,APPCPL,APPCPL,MANIKARAN,NVVNL,NVVNL,DELHI,TPTCL,TPDDL,INSTINCT,NVVNL,ITCLH,TPTCL,NVVNL,NVVNL,NVVNL,AEL,DELHI,MANIKARAN,BAWANA_GAS,NVVNL,TPTCL,IEXL,TPTCL,APPCPL,APL_Raigarh_TPP,MANIKARAN,TPDDL,DIAPL,MANIKARAN,IEXL,IEXL,DELHI,PTC,APPCPL,PUNJAB,JITPL,PTC,NVVNL,INSTINCT,APPCPL,SECI_Trader,SJVNL,SJVNL,SJVNL,SECI_Trader,
,,Manipur_State,UTTARAKHAND_STATE,MSEB_State,NA,NA,MSEB_State,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,HIMACHAL_STATE,GOA_State,DELHI_UT,NA,NA,MSEB_State,NA,MSEB_State,NA,MP_State,NA,HIMACHAL_STATE,MP_State,HIMACHAL_STATE,KARNATAKA_STATE,NA,HIMACHAL_STATE,KERALA_State,DELHI_UT,NA,HIMACHAL_STATE,NA,NA,Arunachal_State,NA,NA,NA,NA,NA,
,,Manipur_Ben,UTTARAKHAND,AEML,Kameng,SORANG_HEP,MSEB_Beneficiary,ACBIL,JPL2,JPL2,JPL2,ITCWIND,SIMHAPURI,SOLAPUR_SOLAR,RKM_POWER,RKM_POWER,APL_Raigarh_TPP,CHANJUII,GOA_Beneficiary,BAWANA_GAS,TRN_ENERGY,SIMHAPURI,A_A_Energy_MH_Bio,ACBIL,AEML,APL_Raigarh_TPP,BLAPOWER_MP,JHAJJAR,GBHHPL,BLAPOWER_MP,NHCPL_HP,NSLSUGAR,SKS_Raigarh,HP,KSEB,BAWANA_GAS,JITPL,HP,JPNIGRIE_JNSTPP,JPL2,Arunachal_Ben,SBSRPC11PL_BKN,TPSL_BKN2,RSRPL_BKN,TPSL_BKN2,SBSRPC11PL_BKN,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,BYPL,BYPL,TPDDL,TPDDL,TPDDL,BRPL,TPDDL,BRPL,NDMC,ITCLH,BRPL,MES_Delhi,NDMC,NDMC,BRPL,TPDDL,BRPL,HARYANA,NDMC,BRPL,MES_Delhi,BRPL,BRPL,BRPL,BRPL,TPDDL,DIAPL,BRPL,MES_Delhi,MES_Delhi,NDMC,BRPL,BYPL,PUNJAB,NDMC,BYPL,TPDDL,BRPL,BRPL,BYPL,NDMC,NDMC,NDMC,TPDDL,
,,North East-East-North,North-North,West-North,North East-East-North,North-North,West-North,West-North,West-North,West-North,West-North,South-West-North,South-East-North,West-North,West-North,West-North,West-North,North-North,West-North,North-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,West-North,North-North,South-East-West-North,West-North,North-North,South-West-North,North-North,East-North,North-North,West-North,West-North,North East-East-North,North-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.63,0,0,26.23,26.23,0,17.08,11.68,32,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,8.66,0,1.92,4.81,8.74,97.37,67.32,32,17.23,32.46,48.08,96.17,38.47,0,0,0,0,0,1512.15

2,00:15-00:30,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.63,0,0,26.23,26.23,0,17.08,11.68,32,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,8.66,0,1.92,4.81,8.74,97.37,67.32,32,17.23,32.46,48.08,96.17,38.47,0,0,0,0,0,1512.15

