Block,Time,JHAJJAR,NTPL,RAMPUR,UNCHAHAR4,VALLURNTECL,AURY_LF,DADRI_GF,BRBCL,FSTPP I & II,KGSU1AND2,KGSU3AND4,KOLDAM,NAPP,ANTA_CRF,CHAMERA3,DHAULIGNGA,NJPC,SALAL,TALA,ANTA_LF,ANTA_RF,DADRT2,NLCIIST1,NLCTS2EXP,RAPPC,RIHAND2,SASAN,UNCHAHAR1,AURY_RF,KHSTPP-II,MAPS,NLCIIST2,SIMHST1,SIMHST2,URI,AURY_CRF,DADRI_LF,DULHASTI,KHSTPP-I,KKNP,KKNPPU2,KOTESHWR,NNTPP,PARBATI3,RAPPB,RSTPSU7,SINGRAULI_HYDRO,UNCHAHAR2,BSIUL,KISHANGANGA,SINGRAULI,TALST2,TANAKPUR,TelanganaSTPP,UNCHAHAR3,AURY_GF,DADRI_CRF,DADRI_RF,CHAMERA1,CHAMERA2,KUDGI,NLCEXP,RIHAND1,RIHAND3,RSTPSU1TO6,SEWA2,TANDA2,TEHRI,URI2,ANTA_GF
1,00:00-00:15,413.81,0,3.54,1.62,0,0,0,20,20.8,0,0,5.35,45.23,0,32.08,40.4,167.1,83.67,10.58,0,48.150000000000006,686.07,0,0,60.23,121.71,342.56,18.63,61.5,98.87,0,0,0,0,38.64,0,0,53.79,44.31,0,0,28.98,0,21.08,0,0,0,43.11,13.04,1.44,128.54,0,12.94,0,27.05,0,0,74.61,28.1,44.22,0,0,78.18,127.6,0,5.79,2.89,34.01,36.05,0

2,00:15-00:30,413.81,0,3.54,1.62,0,0,0,20,20.8,0,0,5.35,45.23,0,32.08,40.4,167.1,83.67,10.58,0,48.150000000000006,686.07,0,0,60.23,121.71,342.56,16.3,61.5,98.87,0,0,0,0,38.64,0,0,53.79,44.31,0,0,28.98,0,21.08,0,0,0,43.11,13.04,1.44,128.54,0,12.94,0,27.05,0,0,74.61,28.1,44.22,0,0,78.18,127.6,0,5.79,2.89,34.01,36.05,0

3,00:30-00:45,413.81,0,3.54,1.62,0,0,0,18.6,20.8,0,0,5.35,45.23,0,32.08,40.4,167.1,83.67,10.73,0,48.150000000000006,686.07,0,0,60.23,121.71,342.56,16.3,61.5,98.87,0,0,0,0,39.75,0,0,53.79,44.31,0,0,28.98,0,21.08,0,0,0,43.71,13.04,1.44,128.54,0,12.94,0,27.05,0,0,74.61,0,44.22,0,0,78.18,127.6,0,5.79,2.89,34.01,36.05,0

4,00:45-01:00,413.81,0,3.54,1.62,0,0,0,14.97,20.8,0,0,5.35,45.23,0,32.08,40.4,167.1,83.67,10.73,0,48.150000000000006,686.07,0,0,60.23,121.71,342.56,16.3,61.5,98.87,0,0,0,0,39.75,0,0,53.79,44.31,0,0,28.98,0,21.08,0,0,0,43.71,13.04,1.44,128.54,0,12.94,0,27.05,0,0,74.61,0,44.22,0,0,78.18,127.6,0,5.79,2.89,34.01,36.05,0

5,01:00-01:15,413.81,0,3.54,1.62,0,0,0,13.5,20.8,0,0,5.35,45.23,0,32.08,40.4,167.1,83.67,10.44,0,48.150000000000006,686.07,0,0,60.23,121.71,342.56,16.3,61.5,98.87,0,0,0,0,39.75,0,0,53.79,44.31,0,0,19.32,0,21.08,0,0,0,43.71,13.04,1.44,128.54,0,12.94,0,27.05,0,0,74.61,0,44.22,0,0,78.18,127.6,0,5.79,2.89,34.01,36.05,0

