Time,Block,ER/2023/7662/C,NR/2023/12617/D,NR/2023/12619/D,ER/2023/7657/C,NR/2023/12621/D,NR/2023/10229/A,NR/2023/11957/F,NR/2023/11961/F,NR/2023/10434/A,NR/2023/11284/A,NR/2023/10236/A,NR/2023/10613/A,NR/2023/11956/F,NR/2023/11862/F,NR/2023/11952/F,NR/2023/11643/A,NR/2023/11476/A,NR/2023/11947/F,NR/2023/10944/A,NR/2023/10487/A,NR/2023/10344/A,NR/2023/12633/C,NR/2023/11941/F,NR/2023/11642/A,NR/2023/12626/C,NR/2023/11955/F,NR/2023/11962/F,NR/2023/11342/A,NR/2023/11960/F,NR/2023/11963/F,NR/2023/10223/A,NR/2023/11959/F,NR/2023/11958/F,NR/2023/12638/C,NR/2023/11330/A,NR/2023/12620/D,NR/2023/10611/A,NR/2023/12632/C,Total
,,HPXL,NVVNL,TS1PL_BKN,HPXL,TS1PL_BKN,NVVNL,SHPPBPL,SHPPBPL,NVVNL,STATKRAFT,NVVNL,APPCPL,SHPPBPL,APPCPL,KEIPL,MANIKARAN,IEXL,HPXL,APPCPL,TPTCL,BYPL,TPDDL,NVVNL,MANIKARAN,GBHHPL,SHPPBPL,SHPPBPL,IEXL,SHPPBPL,SHPPBPL,TPTCL,SHPPBPL,SHPPBPL,HPXL,APPCPL,NVVNL,APPCPL,IEXL,Total

,,DELHI,NA,NA,DELHI,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,NAGALAND,HIMACHAL PRADESH,MANIPUR,MEGHALAYA,HIMACHAL PRADESH,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,MEGHALAYA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,TELANGANA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,ARUNACHAL PRADESH,DELHI,
,,BRPL,SOLAPUR_SOLAR,TS1PL_BKN,BYPL,TS1PL_BKN,JPNIGRIE_JNSTPP,SHPPBPL,SHPPBPL,SEIL,HP,ILFS,Nagaland_Ben,SHPPBPL,Manipur_Ben,Meghalaya_Ben,HP,JSPL_DCPP,B_S_ISPAT_MH,HP,APNRL,Meghalaya_Ben,CHANJUII,SKS Raigarh,HP,GBHHPL,SHPPBPL,SHPPBPL,NAVABHARAT,SHPPBPL,SHPPBPL,JPL,SHPPBPL,SHPPBPL,Teesta_III,HP,KAMENG,Arunachal_Ben,BYPL,
,,ODISHA,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,
,,VL-CPP 1215,MES (Delhi),BYPL,VLSEZ,BRPL,BRPL,BAL234,JHPL-DL,TPDDL,BYPL,BRPL,BYPL,BAL224,STT,BYPL,BRPL,BRPL,NDMC,BYPL,TPDDL,BYPL,TPDDL,NDMC,BRPL,DIAPL,BAL184,MHIL,BRPL,MAX-HPTL,UHL,BRPL,BMDRC,AISHER,BRPL,BRPL,TPDDL,BYPL,AMBASTL,
,,North-East,West-North,North-North,North-East,North-North,West-North,North-North,North-North,South-West-North,North-North,South-West-North,North East-East-North,North-North,North East-East-North,North East-East-North,North-North,West-North,West-North,North-North,East-North,North East-East-North,North-North,West-North,North-North,North-North,North-North,North-North,South-West-North,North-North,North-North,West-North,North-North,North-North,East-North,North-North,North East-East-North,North East-East-North,North-North,
1,00:00-00:15,0.000000,0,0,0.000000,0,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,12.620000,0.400000,2.890000,36.350000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.950000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,299.590000,64.730000,66.850000,9.920000,0.000000,1289.44

2,00:15-00:30,0.000000,0,0,0.000000,0,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,12.620000,0.400000,2.890000,36.350000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.950000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,274.540000,64.730000,66.850000,9.920000,0.000000,1264.39

3,00:30-00:45,0.000000,0,0,0.000000,0,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,12.620000,0.400000,2.890000,36.350000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.950000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,243.710000,64.730000,66.850000,9.920000,0.000000,1233.56

4,00:45-01:00,0.000000,0,0,0.000000,0,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,12.620000,0.400000,2.890000,36.350000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.950000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,206.150000,64.730000,66.850000,9.920000,0.000000,1196

