Block,Time,L_NR_2012_02,LT-36,L_NR_2023_04,L_NR_2012_04,SH-07,LT-59,L_NR_2019_11,LT-05,LT-31,L_NR_2012_07,SH-06,L_NR_2012_01,L_NR_2020_02,LT-35,L_NR_2022_08,L_NR_2019_19,L_NR_2021_12,L_NR_2019_06,L_NR_2020_07,L_NR_2022_09,L_NR_2018_61,L_NR_2021_14,L_NR_2022_10,L_NR_2021_16,L_NR_2019_05,L_NR_2021_13,L_NR_2023_07,L_NR_2020_06,L_NR_2021_15,L_NR_2023_10,L_NR_2021_17,L_NR_2019_07,L_NR_2020_05
1,00:00-00:15,261.590000,0.000000,29.630000,271.880000,30.930000,6.690000,6.530000,58.000000,0.000000,0.000000,30.930000,101.260000,6.600000,0.000000,21.07,0,0,0,24.28,51.69,24.07,0,51.69,0,0,0,0,24.27,0,0,0,0,72.82

2,00:15-00:30,261.590000,0.000000,29.630000,271.880000,30.930000,6.690000,6.530000,58.000000,0.000000,0.000000,30.930000,101.260000,6.600000,0.000000,21.3,0,0,0,25.38,52.38,23.73,0,52.38,0,0,0,0,25.37,0,0,0,0,76.11

3,00:30-00:45,261.590000,0.000000,29.630000,271.880000,30.930000,6.690000,6.530000,58.000000,0.000000,0.000000,30.930000,101.260000,6.600000,0.000000,21.59,0,0,0,26.27,53.25,21.63,0,53.25,0,0,0,0,26.27,0,0,0,0,78.81

4,00:45-01:00,261.590000,0.000000,29.630000,271.880000,30.930000,6.690000,6.530000,58.000000,0.000000,0.000000,30.930000,101.260000,6.600000,0.000000,22.2,0,0,0,26.77,54.47,21.72,0,54.47,0,0,0,0,26.77,0,0,0,0,80.31

5,01:00-01:15,261.590000,0.000000,29.630000,271.880000,30.930000,6.690000,6.530000,58.000000,0.000000,0.000000,30.930000,101.260000,6.510000,0.000000,22.46,0,0,0,27.36,55.95,21.65,0,55.95,0,0,0,0,27.36,0,0,0,0,82.07

6,01:15-01:30,261.590000,0.000000,29.630000,271.880000,30.930000,6.690000,6.530000,58.000000,0.000000,0.000000,30.930000,101.260000,6.510000,0.000000,22.5,0,0,0,28.06,57.39,21.59,0,57.39,0,0,0,0,28.05,0,0,0,0,84.16

7,01:30-01:45,261.590000,0.000000,29.630000,271.880000,30.930000,6.690000,6.530000,58.000000,0.000000,0.000000,30.930000,101.260000,6.510000,0.000000,22.63,0,0,0,28.91,58.46,21.4,0,58.46,0,0,0,0,28.9,0,0,0,0,86.71

8,01:45-02:00,261.590000,0.000000,29.630000,271.880000,30.930000,6.690000,6.530000,58.000000,0.000000,0.000000,30.930000,101.260000,6.510000,0.000000,22.69,0,0,0,29.61,59.76,21.26,0,59.76,0,0,0,0,29.62,0,0,0,0,88.86

