Column1,Time,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1899,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,WR/01102023/31032046/L_NR_2020_05,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2020_06,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,L_NR_2019_19,NR/30092023/26122029/SH-06,GNA/NR/2024/12/01/7739,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/L_NR_2019_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,GNA/SR/2024/12/01/6968,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,GNA/NR/2024/12/01/1599,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_36,NR/01102023/22052037/LT-59,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,GNA/NR/2024/12/01/1475,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/2197,NR/01102023/19072037/LT-05,GNA/NR/2024/12/01/3428,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11
1,00:00-00:15,25.97,8.66,0,0,60,0,20,0,0,43.33,0,0,0,0,0,31.71,9.8,0,15,43.34,0,20,0,24.22,0,52.9,150,115.07,0,0,95.13,0,94.56,0,0.77,0,0,25.97,1.92,25.97,70.13,8.66,1.66,1.3

2,00:15-00:30,25.97,8.66,0,0,60,0,20,0,0,42.33,0,0,0,0,0,31.71,9.8,0,15,42.34,0,20,0,24.22,0,52.9,150,94.87,0,0,95.13,0,94.56,0,0.77,0,0,25.97,1.92,25.97,70.13,8.66,1.66,1.3

3,00:30-00:45,25.97,8.66,0,0,58.99,0,19.67,0,0,41.33,0,0,0,0,0,31.71,9.2,0,14.33,41.34,0,19.67,0,24.22,0,52.9,150,94.87,0,0,95.13,0,94.56,0,0.77,0,0,25.97,1.92,25.97,70.13,8.66,1.66,1.3

4,00:45-01:00,25.97,8.66,0,0,57.49,0,19.17,0,0,40.33,0,0,0,0,0,31.71,8.6,0,14,40.34,0,19.17,0,24.22,0,52.9,150,94.87,0,0,95.13,0,94.56,0,0.77,0,0,25.97,1.92,25.97,70.13,8.66,1.66,1.3

5,01:00-01:15,25.97,8.66,0,0,56.51,0,18.83,0,0,31,0,0,0,0,0,31.71,8.4,0,13.67,31,0,18.83,0,24.22,0,52.9,150,94.87,0,0,95.13,0,94.56,0,0.77,0,0,25.97,1.92,25.97,70.13,8.66,1.66,1.3

6,01:15-01:30,25.97,8.66,0,0,55.5,0,18.5,0,0,29.67,0,0,0,0,0,31.71,8.2,0,13,29.66,0,18.5,0,24.22,0,52.9,150,74.79,0,0,95.13,0,94.56,0,0.77,0,0,25.97,1.92,25.97,70.13,8.66,1.66,1.3

