Block,Time,DADRT2,JHAJJAR,MAPS,NAPP,NJPC,NLCEXP,NNTPP,NTPL,RAPPC,SINGRAULI_HYDRO,DADRI_CRF,DADRI_LF,BSIUL,KGSU1AND2,KKNP,KOLDAM,RIHAND3,SALAL,SIMHST2,UNCHAHAR3,URI2,ANTA_RF,BRBCL,KUDGI,RIHAND1,SEWA2,UNCHAHAR1,AURY_LF,CHAMERA2,KISHANGANGA,NLCIIST1,CHAMERA3,DULHASTI,KOTESHWR,RIHAND2,TALST2,TANAKPUR,UNCHAHAR4,AURY_GF,DADRI_RF,DHAULIGNGA,FSTPP I & II,KGSU3AND4,RAMPUR,RSTPSU1TO6,RSTPSU7,SINGRAULI,TALA,TEHRI,TelanganaSTPP,AURY_RF,CHAMERA1,KHSTPP-I,NLCIIST2,NLCTS2EXP,PARBATI3,RAPPB,SIMHST1,TANDA2,VALLURNTECL,AURY_CRF,DADRI_GF,KHSTPP-II,KKNPPU2,SASAN,UNCHAHAR2,URI,ANTA_CRF,ANTA_GF,ANTA_LF
1,00:00-00:15,683.14,434.65,0,43.68,0,0,0,0,25.89,0.71,0,0,0,0,0,0,62.16,27.89,0,26.4,18.83,43.99,20,0,92,15.81,19.98,0,0,0,0,0,0,8.87,118.76,0,5.76,0,0,59.73,0,20.8,0,0,0,0,139.69,0,0,0,70.81,0,45.53,0,0,0,0,0,0,0,0,0,148.3,0,337.5,42.39,4.41,0,0,0

2,00:15-00:30,683.14,434.65,0,43.68,0,0,0,0,25.89,0.71,0,0,0,0,0,0,62.16,69.72,0,26.4,18.83,43.99,20,0,92,15.81,19.98,0,0,0,0,0,0,8.87,118.76,0,5.76,0,0,59.73,0,20.8,0,0,0,0,139.69,0,0,0,70.81,0,45.53,0,0,0,0,0,0,0,0,0,148.3,0,337.5,42.39,4.41,0,0,0

3,00:30-00:45,683.14,434.65,0,43.68,0,0,0,0,25.89,0.71,0,0,0,0,0,0,62.16,69.72,0,26.4,18.83,44.21,20,0,92,15.81,19.98,0,0,0,0,0,0,8.87,118.76,0,5.76,0,0,59.73,0,20.8,0,0,0,0,139.69,0,0,0,70.81,0,45.53,0,0,0,0,0,0,0,0,0,148.3,0,337.5,42.39,2.21,0,0,0

4,00:45-01:00,683.14,434.65,0,43.68,0,0,0,0,25.89,0.71,0,0,0,0,0,0,62.16,69.72,0,26.4,18.83,44.21,20,0,92,15.81,19.98,0,0,0,0,0,0,8.87,118.76,0,5.76,0,0,59.73,0,20.8,0,0,0,0,139.69,0,0,0,70.81,0,45.53,0,0,0,0,0,0,0,0,0,148.3,0,337.5,42.39,2.21,0,0,0

5,01:00-01:15,683.14,434.65,0,43.68,0,0,0,0,25.89,0.71,0,0,0,0,0,0,62.16,69.72,0,26.4,18.83,44.21,20,0,92,15.81,19.98,0,0,0,0,0,0,8.87,118.76,0,5.76,0,0,59.73,0,20.8,0,0,0,0,139.69,0,0,0,70.81,0,45.53,0,0,0,0,0,0,0,0,0,148.3,0,337.5,42.39,2.21,0,0,0

6,01:15-01:30,683.14,434.65,0,43.68,0,0,0,0,25.89,0.71,0,0,0,0,0,0,62.16,17.44,0,26.4,18.83,44.21,20,0,92,15.81,19.98,0,0,0,0,0,0,8.87,118.76,0,5.76,0,0,59.73,0,20.8,0,0,0,0,139.69,0,0,0,70.81,0,45.53,0,0,0,0,0,0,0,0,0,148.3,0,337.5,42.39,2.21,0,0,0

7,01:30-01:45,683.14,434.65,0,43.68,0,0,0,0,25.89,0.71,0,0,0,0,0,0,62.16,13.36,0,26.4,9.42,44.21,20,0,92,15.81,19.98,0,0,0,0,0,0,8.87,118.76,0,0.9,0,0,59.73,0,20.8,0,0,0,0,139.69,0,0,0,70.81,0,45.53,0,0,0,0,0,0,0,0,0,148.3,0,337.5,42.39,6.63,0,0,0

8,01:45-02:00,683.14,434.65,0,43.68,0,0,0,0,25.89,0.71,0,0,0,0,0,0,62.16,13.36,0,26.4,9.42,44.21,20,0,92,15.81,19.98,0,0,0,0,0,0,8.87,118.76,0,0,0,0,59.73,0,20.8,0,0,0,0,139.69,0,0,0,70.81,0,45.53,0,0,0,0,0,0,0,0,0,148.3,0,337.5,42.39,6.63,0,0,0

9,02:00-02:15,683.14,434.65,0,43.68,0,0,0,0,25.89,0.71,0,0,0,0,0,0,62.16,2.33,0,26.4,9.42,44.21,20,0,92,15.81,19.98,0,0,0,0,0,0,8.87,118.76,0,0,0,0,59.73,0,20.8,0,0,0,0,139.69,0,0,0,70.81,0,45.53,0,0,0,0,0,0,0,0,0,148.3,0,337.5,42.39,6.63,0,0,0

10,02:15-02:30,683.14,434.65,0,43.68,0,0,0,0,25.89,0.71,0,0,6.52,0,0,0,62.16,2.33,0,26.4,9.42,44.42,20,0,92,15.81,19.98,0,0,0,0,0,0,8.87,118.76,0,0,0,0,59.73,0,20.8,0,0,0,0,139.69,0,0,0,70.81,0,45.53,0,0,0,0,0,0,0,0,0,148.3,0,337.5,42.39,6.63,0,0,0

