Column1,Block,NR/2024/23963/A/43640,NR/2024/23420/A/43621,NR/2024/23918/A/43593,NR/2024/23769/A/43595,NR/2024/23809/A/43594,GNA/NR/2024/11/01/1868,WR/2024/24788/A/43736,GNA/NR/2024/11/01/5474,NR/30092023/26122029/SH-06,NR/2024/24028/C,NR/2024/24027/C,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/9061,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/4503,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,Total
,,DIAPL,ITCLH,IEXL,IEXL,IEXL,NDMC,APPCPL,PTC,PUNJAB,SJVNL,SJVNL,NDMC,NDMC,NDMC,NDMC,PTC,NDMC,DELHI,BAWANA_GAS,APPCPL,MANIKARAN,
,,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,KARNATAKA_STATE,KARNATAKA_STATE,NA,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,NA,NA,NA,NA,DELHI_UT,NA,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,
,,GBHHPL,ITCWIND,TESPL_BKN2,NSLSUGAR,NSLSTUNGBHDRA,SKS_Raigarh,BRPL,BRPL,BAWANA_GAS,TPSL_BKN2,RSRPL_BKN,RKM_POWER,RKM_POWER,JPL2,JITPL,BYPL,TRN_ENERGY,CHANJUII,BAWANA_GAS,BYPL,BRPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,HIMACHAL_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,HARYANA_STATE,MSEB_State,MSEB_State,
,,DIAPL,ITCLH,MES_Delhi,MES_Delhi,MES_Delhi,NDMC,GOA_Beneficiary,HP,PUNJAB,NDMC,NDMC,NDMC,NDMC,NDMC,NDMC,HP,NDMC,TPDDL,HARYANA,AEML,AEML,
,,North-North,South-West-North,North-North,South-West-North,South-West-North,West-North,North-West,North-North,North-North,North-North,North-North,West-North,West-North,West-North,East-North,North-North,West-North,North-North,North-North,North-West,North-West,
1,00:00-00:15,0,0.48,0,5.76,4.8,8.65,0,142.69,0,0,0,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,0,0,316.18

2,00:15-00:30,0,0.48,0,5.76,4.8,8.65,0,142.69,0,0,0,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,0,0,316.18

3,00:30-00:45,0,0.48,0,5.76,4.8,8.65,0,142.69,0,0,0,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,0,0,316.18

4,00:45-01:00,0,0.48,0,5.76,4.8,8.65,0,142.69,0,0,0,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,0,0,316.18

5,01:00-01:15,0,0.48,0,5.76,4.8,8.65,0,142.69,0,0,0,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,0,0,316.18

6,01:15-01:30,0,0.48,0,5.76,4.8,8.65,0,142.69,0,0,0,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,0,0,316.18

7,01:30-01:45,0,0.48,0,5.76,4.8,8.65,0,142.69,0,0,0,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,0,0,316.18

8,01:45-02:00,0,0.48,0,5.76,4.8,8.65,0,142.69,0,0,0,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,0,0,316.18

9,02:00-02:15,0,0.48,0,5.76,4.8,8.65,0,142.69,0,0,0,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,0,0,316.18

10,02:15-02:30,0,0.48,0,5.76,4.8,8.65,0,142.69,0,0,0,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,0,0,316.18

11,02:30-02:45,0,0.48,0,5.76,4.8,8.65,0,142.69,0,0,0,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,0,0,316.18

12,02:45-03:00,0,0.48,0,5.76,4.8,8.65,0,142.69,0,0,0,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,0,0,316.18

13,03:00-03:15,0,0.43,0,5.76,4.8,8.65,0,142.69,0,0,0,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,0,0,316.13

14,03:15-03:30,0,0.43,0,5.76,4.8,8.65,0,142.69,0,0,0,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,0,0,316.13

15,03:30-03:45,0,0.43,0,5.76,4.8,8.65,0,142.69,0,0,0,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,0,0,316.13

16,03:45-04:00,0,0.43,0,5.76,4.8,8.65,0,142.69,0,0,0,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,0,0,316.13

17,04:00-04:15,0,0.43,0,5.76,4.8,8.65,0,142.69,0,0,0,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,0,0,316.13

18,04:15-04:30,0,0.43,0,5.76,4.8,8.65,0,142.69,0,0,0,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,0,0,316.13

19,04:30-04:45,0,0.43,0,5.76,4.8,8.65,0,142.69,0,0,0,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,0,0,316.13

20,04:45-05:00,0,0.43,0,5.76,4.8,8.65,0,142.69,0,0,0,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,0,0,316.13

21,05:00-05:15,0,0.43,0,5.76,4.8,8.65,0,142.69,0,0,0,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,0,0,316.13

22,05:15-05:30,0,0.43,0,5.76,4.8,8.65,0,142.69,0,0,0,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,0,0,316.13

23,05:30-05:45,0,0.43,0,5.76,4.8,8.65,0,142.69,0,0,0,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,0,0,316.13

24,05:45-06:00,0,0.43,0,5.76,4.8,8.65,0,142.69,0,0,0,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,0,0,316.13

25,06:00-06:15,0,0.43,0,5.76,4.8,8.65,0,0,0,0,0,25.94,25.94,25.94,17.29,0,8.65,2.48,0,0,0,125.88000000000001

26,06:15-06:30,0,0.43,0,5.76,4.8,8.65,0,0,0,0,0,25.94,25.94,25.94,17.29,0,8.65,2.48,0,0,0,125.88000000000001

27,06:30-06:45,0,0.43,0,5.76,4.8,8.65,0,0,0,0,0,25.94,25.94,25.94,17.29,0,8.65,2.48,0,0,0,125.88000000000001

28,06:45-07:00,0,0.43,0,5.76,4.8,8.65,0,0,0,0,0,25.94,25.94,25.94,17.29,0,8.65,2.48,0,0,0,125.88000000000001

29,07:00-07:15,0,0.58,0,5.76,4.8,8.65,0,0,0,0,0,25.94,25.94,25.94,17.29,0,8.65,2.48,0,0,0,126.03000000000002

30,07:15-07:30,0,0.58,0,5.76,4.8,8.65,0,0,0,0,0,25.94,25.94,25.94,17.29,0,8.65,2.48,0,0,0,126.03000000000002

31,07:30-07:45,0,0.58,0,5.76,4.8,8.65,0,0,0,0,0,25.94,25.94,25.94,17.29,0,8.65,2.48,0,0,0,126.03000000000002

32,07:45-08:00,0,0.58,0,5.76,4.8,8.65,0,0,0,0,0,25.94,25.94,25.94,17.29,0,8.65,2.48,0,0,0,126.03000000000002

33,08:00-08:15,0,0.96,0,5.76,4.8,8.65,0,0,0,0,0,25.94,25.94,25.94,17.29,0,8.65,2.48,0,0,0,126.41000000000001

34,08:15-08:30,0,0.96,0,5.76,4.8,8.65,0,0,0,0,0,25.94,25.94,25.94,17.29,0,8.65,2.48,0,0,0,126.41000000000001

35,08:30-08:45,0,0.96,0,5.76,4.8,8.65,0,0,0,0,0,25.94,25.94,25.94,17.29,0,8.65,2.48,0,0,0,126.41000000000001

36,08:45-09:00,0,0.96,0,5.76,4.8,8.65,0,0,0,0,0,25.94,25.94,25.94,17.29,0,8.65,2.48,0,0,0,126.41000000000001

37,09:00-09:15,0,0.86,3.84,5.76,4.8,8.65,0,0,0,26.71,26.13,25.94,25.94,25.94,17.29,0,8.65,2.48,0,0,0,182.98999999999998

38,09:15-09:30,0,0.86,3.84,5.76,4.8,8.65,0,0,0,30.74,22.1,25.94,25.94,25.94,17.29,0,8.65,2.48,0,0,0,182.98999999999998

39,09:30-09:45,0,0.86,3.84,5.76,4.8,8.65,0,0,0,30.74,22.1,25.94,25.94,25.94,17.29,0,8.65,2.48,0,0,0,182.98999999999998

40,09:45-10:00,0,0.86,3.84,5.76,4.8,8.65,0,0,0,30.74,22.1,25.94,25.94,25.94,17.29,0,8.65,2.48,0,0,0,182.98999999999998

41,10:00-10:15,0,0.86,4.8,5.76,4.8,8.65,0,0,0,30.74,22.1,25.94,25.94,25.94,17.29,0,8.65,2.38,0,0,0,183.85

42,10:15-10:30,0,0.86,4.8,5.76,4.8,8.65,0,0,0,30.74,22.1,25.94,25.94,25.94,17.29,0,8.65,2.38,0,0,0,183.85

43,10:30-10:45,0,0.86,4.8,5.76,4.8,8.65,0,0,0,30.74,22.1,25.94,25.94,25.94,17.29,0,8.65,2.38,0,0,0,183.85

44,10:45-11:00,0,0.86,4.8,5.76,4.8,8.65,0,0,0,30.74,22.1,25.94,25.94,25.94,17.29,0,8.65,2.38,0,0,0,183.85

45,11:00-11:15,0,0.86,6.72,5.76,4.8,8.65,0,0,0,30.74,22.1,25.94,25.94,25.94,17.29,0,8.65,2.38,0,0,0,185.76999999999998

46,11:15-11:30,0,0.86,6.72,5.76,4.8,8.65,0,0,0,30.74,22.1,25.94,25.94,25.94,17.29,0,8.65,2.38,0,0,0,185.76999999999998

47,11:30-11:45,0,0.86,6.72,5.76,4.8,8.65,0,0,0,30.74,22.1,25.94,25.94,25.94,17.29,0,8.65,2.38,0,0,0,185.76999999999998

48,11:45-12:00,0,0.86,6.72,5.76,4.8,8.65,0,0,0,30.74,22.1,25.94,25.94,25.94,17.29,0,8.65,2.38,0,0,0,185.76999999999998

49,12:00-12:15,0,0.86,6.72,5.76,4.8,8.65,0,0,0,30.74,22.1,25.94,25.94,25.94,17.29,0,8.65,2.38,0,0,0,185.76999999999998

50,12:15-12:30,0,0.86,6.72,5.76,4.8,8.65,0,0,0,30.74,22.1,25.94,25.94,25.94,17.29,0,8.65,2.38,0,0,0,185.76999999999998

51,12:30-12:45,0,0.86,6.72,5.76,4.8,8.65,0,0,0,30.74,22.1,25.94,25.94,25.94,17.29,0,8.65,2.38,0,0,0,185.76999999999998

52,12:45-13:00,0,0.86,6.72,5.76,4.8,8.65,0,0,0,30.74,22.1,25.94,25.94,25.94,17.29,0,8.65,2.38,0,0,0,185.76999999999998

53,13:00-13:15,0,0.77,5.76,5.76,4.8,8.65,0,0,0,30.74,22.1,25.94,25.94,25.94,17.29,0,8.65,2.38,0,0,0,184.72

54,13:15-13:30,0,0.77,5.76,5.76,4.8,8.65,0,0,0,30.74,22.1,25.94,25.94,25.94,17.29,0,8.65,2.38,0,0,0,184.72

55,13:30-13:45,0,0.77,5.76,5.76,4.8,8.65,0,0,0,30.74,22.1,25.94,25.94,25.94,17.29,0,8.65,2.38,0,0,0,184.72

56,13:45-14:00,0,0.77,5.76,5.76,4.8,8.65,0,0,0,30.74,22.1,25.94,25.94,25.94,17.29,0,8.65,2.38,0,0,0,184.72

57,14:00-14:15,0,0.96,4.8,5.76,4.8,8.65,0,0,0,30.74,22.1,25.94,25.94,25.94,17.29,0,8.65,2.38,0,0,0,183.95

58,14:15-14:30,0,0.96,4.8,5.76,4.8,8.65,0,0,0,30.74,22.1,25.94,25.94,25.94,17.29,0,8.65,2.38,0,0,0,183.95

59,14:30-14:45,0,0.96,4.8,5.76,4.8,8.65,0,0,0,30.74,22.1,25.94,25.94,25.94,17.29,0,8.65,2.38,0,0,0,183.95

60,14:45-15:00,0,0.96,4.8,5.76,4.8,8.65,0,0,0,30.74,22.1,25.94,25.94,25.94,17.29,0,8.65,2.38,0,0,0,183.95

61,15:00-15:15,0,0.86,4.8,5.76,4.8,8.65,0,0,0,30.74,22.1,25.94,25.94,25.94,17.29,0,8.65,2.38,0,0,0,183.85

62,15:15-15:30,0,0.86,4.8,5.76,4.8,8.65,0,0,0,30.74,22.1,25.94,25.94,25.94,17.29,0,8.65,2.38,0,0,0,183.85

63,15:30-15:45,0,0.86,4.8,5.76,4.8,8.65,0,0,0,27.86,24.98,25.94,25.94,25.94,17.29,0,8.65,2.38,0,0,0,183.85

