Time,Block,NR/2023/13253/A,NR/2023/13385/A,NR/2023/16191/A,NR/2023/13148/A,NR/2023/17390/C,NR/2023/16185/A,NR/2023/16073/A,NR/2023/13168/A,NR/2023/13383/A,NR/2023/17383/C,NR/2023/13165/A,NR/2023/16077/A,NR/2023/17388/C,NR/2023/16291/F,NR/2023/17379/C,NR/2023/17380/C,NR/2023/13150/A,NR/2023/17372/D,NR/2023/15770/A,NR/2023/17389/C,NR/2023/17371/D,NR/2023/17377/C,NR/2023/13387/A,NR/2023/13254/A,NR/2023/17381/C,Total
,,APPCPL,NVVNL,MANIKARAN,KEIPL,SJVNL,MANIKARAN,APPCPL,GMRETL,APPCPL,IEXL,GMRETL,APPCPL,SJVNL,ITCLH,TPDDL,PXIL,KEIPL,NVVNL,NVVNL,SJVNL,NVVNL,GBHHPL,NVVNL,APPCPL,HPXL,Total

,,UTTARAKHAND,MP,HIMACHAL PRADESH,MEGHALAYA,NA,HIMACHAL PRADESH,GOA,MEGHALAYA,HIMACHAL PRADESH,NA,MEGHALAYA,HIMACHAL PRADESH,ARUNACHAL PRADESH,ANDHRA PRADESH,HIMACHAL PRADESH,NA,MEGHALAYA,NA,NA,UTTAR PRADESH,NA,HIMACHAL PRADESH,NA,MEGHALAYA,NA,
,,UTTARAKHAND,JP BINA,HP,Meghalaya_Ben,RSRPL_BKN,HP,GOA_Beneficiary,Meghalaya_Ben,HP,RKM_POWER,Meghalaya_Ben,HP,Arunachal_Ben,ITCWIND,CHANJUII,RKM_POWER,Meghalaya_Ben,KAMENG,SKS Raigarh,BCMLB001,SOLAPUR_SOLAR,GBHHPL,JPNIGRIE_JNSTPP,Meghalaya_Ben,Teesta_III,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,BRPL,BRPL,BYPL,NDMC,BRPL,BRPL,BYPL,BYPL,BRPL,BYPL,BRPL,NDMC,ITCLH,TPDDL,BRPL,BYPL,TPDDL,NDMC,NDMC,MES (Delhi),DIAPL,BRPL,BYPL,BRPL,
,,North-North,West-North,North-North,North East-East-North,North-North,North-North,West-North,North East-East-North,North-North,West-East-North,North East-East-North,North-North,North East-East-North,South-West-North,North-North,West-North,North East-East-North,North East-East-North,West-North,North-North,West-North,North-North,West-North,North East-East-North,East-North,
1,00:00-00:15,48.330000,50.020000,42.050000,36.470000,0,38.660000,24.160000,34.800000,36.830000,193.320000,22.230000,85.930000,0.000000,0.870000,8.670000,0.000000,63.020000,106.820000,62.830000,0.000000,0,6.050000,100.040000,19.610000,280.310000,1261.02

2,00:15-00:30,48.330000,50.020000,42.050000,36.470000,0,38.660000,24.160000,34.800000,36.830000,193.320000,22.230000,85.930000,0.000000,0.870000,8.670000,0.000000,63.020000,106.820000,62.830000,0.000000,0,6.050000,100.040000,19.610000,245.520000,1226.23

3,00:30-00:45,48.330000,50.020000,42.050000,36.470000,0,38.660000,24.160000,34.800000,36.830000,193.320000,22.230000,85.930000,0.000000,0.870000,8.670000,0.000000,63.020000,106.820000,62.830000,0.000000,0,6.050000,100.040000,19.610000,235.850000,1216.56

4,00:45-01:00,48.330000,50.020000,42.050000,36.470000,0,38.660000,24.160000,34.800000,36.830000,193.320000,22.230000,85.930000,0.000000,0.870000,8.670000,0.000000,63.020000,106.820000,62.830000,0.000000,0,6.050000,100.040000,19.610000,195.250000,1175.96

5,01:00-01:15,48.330000,50.020000,42.050000,36.470000,0,38.660000,24.160000,34.800000,36.830000,144.990000,22.230000,85.930000,0.000000,0.630000,8.580000,0.000000,63.020000,106.820000,62.830000,0.000000,0,6.050000,100.040000,19.610000,223.280000,1155.33

6,01:15-01:30,48.330000,50.020000,42.050000,36.470000,0,38.660000,24.160000,34.800000,36.830000,144.990000,22.230000,85.930000,0.000000,0.630000,8.580000,0.000000,63.020000,106.820000,62.830000,0.000000,0,6.050000,100.040000,19.610000,197.190000,1129.24

7,01:30-01:45,48.330000,50.020000,42.050000,36.470000,0,38.660000,24.160000,34.800000,36.830000,144.990000,22.230000,85.930000,0.000000,0.630000,8.580000,0.000000,63.020000,106.820000,62.830000,0.000000,0,6.050000,100.040000,19.610000,184.620000,1116.67

8,01:45-02:00,48.330000,50.020000,42.050000,36.470000,0,38.660000,24.160000,34.800000,36.830000,144.990000,22.230000,85.930000,0.000000,0.630000,8.580000,0.000000,63.020000,106.820000,62.830000,0.000000,0,6.050000,100.040000,19.610000,128.560000,1060.61

9,02:00-02:15,48.330000,50.020000,42.050000,36.470000,0,38.660000,24.160000,34.800000,36.830000,0.000000,22.230000,85.930000,0.000000,0.630000,8.490000,0.000000,63.020000,106.820000,62.830000,0.000000,0,5.050000,100.040000,19.610000,220.380000,1006.35

10,02:15-02:30,48.330000,50.020000,42.050000,36.470000,0,38.660000,24.160000,34.800000,36.830000,0.000000,22.230000,85.930000,0.000000,0.630000,8.490000,0.000000,63.020000,106.820000,62.830000,0.000000,0,5.050000,100.040000,19.610000,198.150000,984.12

11,02:30-02:45,48.330000,50.020000,42.050000,36.470000,0,38.660000,24.160000,34.800000,36.830000,0.000000,22.230000,85.930000,0.000000,0.630000,8.490000,0.000000,63.020000,106.820000,62.830000,0.000000,0,5.050000,100.040000,19.610000,173.020000,958.99

12,02:45-03:00,48.330000,50.020000,42.050000,36.470000,0,38.660000,24.160000,34.800000,36.830000,0.000000,22.230000,85.930000,0.000000,0.630000,8.490000,0.000000,63.020000,106.820000,62.830000,0.000000,0,5.050000,100.040000,19.610000,152.720000,938.69

13,03:00-03:15,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,36.830000,0.000000,22.230000,85.930000,0.000000,0.630000,8.400000,0.000000,63.020000,106.820000,62.830000,0.000000,0,5.050000,100.040000,19.610000,114.060000,863.47

14,03:15-03:30,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,36.830000,0.000000,22.230000,85.930000,0.000000,0.630000,8.400000,0.000000,63.020000,106.820000,62.830000,0.000000,0,5.050000,100.040000,19.610000,0.000000,749.41

15,03:30-03:45,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,36.830000,0.000000,22.230000,85.930000,0.000000,0.630000,8.400000,0.000000,63.020000,106.820000,62.830000,0.000000,0,5.050000,100.040000,19.610000,0.000000,749.41

16,03:45-04:00,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,36.830000,0.000000,22.230000,85.930000,0.000000,0.630000,8.400000,0.000000,63.020000,106.820000,62.830000,0.000000,0,5.050000,100.040000,19.610000,0.000000,749.41

17,04:00-04:15,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,36.830000,0.000000,22.230000,85.930000,0.000000,0.580000,8.300000,0.000000,63.020000,106.820000,62.830000,0.000000,0,5.050000,100.040000,19.610000,0.000000,749.26

18,04:15-04:30,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,36.830000,0.000000,22.230000,85.930000,0.000000,0.580000,8.300000,0.000000,63.020000,106.820000,62.830000,0.000000,0,5.050000,100.040000,19.610000,0.000000,749.26

19,04:30-04:45,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,36.830000,0.000000,22.230000,85.930000,0.000000,0.580000,8.300000,0.000000,63.020000,106.820000,62.830000,0.000000,0,5.050000,100.040000,19.610000,0.000000,749.26

20,04:45-05:00,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,36.830000,0.000000,22.230000,85.930000,0.000000,0.580000,8.300000,0.000000,63.020000,106.820000,62.830000,0.000000,0,5.050000,100.040000,19.610000,0.000000,749.26

21,05:00-05:15,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,36.830000,0.000000,22.230000,85.930000,0.000000,0.580000,8.300000,0.000000,63.020000,106.820000,62.830000,0.000000,0,5.050000,100.040000,19.610000,0.000000,749.26

22,05:15-05:30,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,36.830000,0.000000,22.230000,85.930000,0.000000,0.580000,8.300000,0.000000,63.020000,106.820000,62.830000,0.000000,0,5.050000,100.040000,19.610000,0.000000,749.26

23,05:30-05:45,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,36.830000,0.000000,22.230000,85.930000,0.000000,0.580000,8.300000,0.000000,63.020000,106.820000,62.830000,0.000000,0,5.050000,100.040000,19.610000,0.000000,749.26

24,05:45-06:00,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,36.830000,0.000000,22.230000,85.930000,0.000000,0.580000,8.300000,0.000000,63.020000,106.820000,62.830000,0.000000,0,5.050000,100.040000,19.610000,0.000000,749.26

25,06:00-06:15,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,0.000000,0.680000,8.220000,0.000000,63.020000,106.820000,62.830000,0.000000,0,5.050000,100.040000,19.610000,0.000000,626.52

26,06:15-06:30,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,0.000000,0.680000,8.220000,0.000000,63.020000,106.820000,62.830000,0.000000,0,5.050000,100.040000,19.610000,0.000000,626.52

27,06:30-06:45,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,0.000000,0.680000,8.220000,0.000000,63.020000,106.820000,62.830000,0.000000,0,4.030000,100.040000,19.610000,0.000000,625.5

28,06:45-07:00,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,0.000000,0.680000,8.220000,0.000000,63.020000,106.820000,62.830000,0.000000,0,4.030000,100.040000,19.610000,0.000000,625.5

29,07:00-07:15,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,0.000000,0.680000,8.220000,0.000000,63.020000,106.820000,62.830000,0.000000,0.42,4.030000,100.040000,19.610000,0.000000,625.92

30,07:15-07:30,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,0.000000,0.680000,8.220000,0.000000,63.020000,106.820000,62.830000,0.000000,0.64,4.030000,100.040000,19.610000,0.000000,626.14

31,07:30-07:45,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,0.000000,0.680000,8.220000,0.000000,63.020000,106.820000,62.830000,0.000000,0.82,4.030000,100.040000,19.610000,0.000000,626.32

32,07:45:08:00,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,0.000000,0.680000,8.220000,0.000000,63.020000,106.820000,62.830000,0.000000,1.12,4.030000,100.040000,19.610000,0.000000,626.62

33,08:00-08:15,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,0.000000,0.970000,8.120000,0.000000,63.020000,106.820000,62.830000,0.000000,1.51,4.030000,100.040000,19.610000,0.000000,627.2

34,08:15-08:30,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,0.000000,0.970000,8.120000,0.000000,63.020000,106.820000,62.830000,0.000000,1.69,4.030000,100.040000,19.610000,0.000000,627.38

35,08:30-08:45,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,0.000000,0.970000,8.120000,0.000000,63.020000,106.820000,62.830000,0.000000,1.63,5.050000,100.040000,19.610000,0.000000,628.34

36,08:45:09:00,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,0.000000,0.970000,8.120000,0.000000,63.020000,106.820000,62.830000,0.000000,1.72,5.050000,100.040000,19.610000,0.000000,628.43

37,09:00:09:15,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.970000,8.120000,0.000000,63.020000,106.820000,62.830000,8.220000,2.21,6.050000,100.040000,19.610000,0.000000,682.98

38,09:15-09:30,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.970000,8.120000,0.000000,63.020000,106.820000,62.830000,8.220000,2.61,6.050000,100.040000,19.610000,0.000000,683.38

39,09:30-09:45,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.970000,8.120000,0.000000,63.020000,106.820000,62.830000,8.220000,3.57,6.050000,100.040000,19.610000,0.000000,684.34

40,09:45-10:00,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.970000,8.120000,0.000000,63.020000,106.820000,62.830000,8.220000,4.78,7.070000,100.040000,19.610000,0.000000,686.57

41,10:00-10:15,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.970000,8.120000,0.000000,63.020000,106.820000,62.830000,8.220000,4.7,7.070000,100.040000,19.610000,0.000000,686.49

42,10:15-10:30,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.970000,8.120000,0.000000,63.020000,106.820000,62.830000,8.220000,3.97,7.070000,100.040000,19.610000,0.000000,685.76

43,10:30-10:45,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.970000,8.120000,0.000000,63.020000,106.820000,62.830000,8.220000,4.79,7.070000,100.040000,19.610000,0.000000,686.58

44,10:45-11:00,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.970000,8.120000,0.000000,63.020000,106.820000,62.830000,8.220000,5.5,7.070000,100.040000,19.610000,0.000000,687.29

45,11:00-11:15,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.970000,8.030000,0.000000,63.020000,106.820000,62.830000,8.220000,6.78,9.080000,100.040000,19.610000,0.000000,690.49

46,11:15-11:30,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.970000,8.030000,0.000000,63.020000,106.820000,62.830000,8.220000,6.02,9.080000,100.040000,19.610000,0.000000,689.73

47,11:30-11:45,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.970000,8.030000,0.000000,63.020000,106.820000,62.830000,8.220000,5.45,9.080000,100.040000,19.610000,0.000000,689.16

48,11:45-12:00,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.970000,8.030000,0.000000,63.020000,106.820000,62.830000,8.220000,6.84,9.080000,100.040000,19.610000,0.000000,690.55

49,12:00-12:15,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.970000,8.030000,0.000000,63.020000,106.820000,62.830000,8.220000,5.38,8.070000,100.040000,19.610000,0.000000,688.08

50,12:15-12:30,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.970000,8.030000,0.000000,63.020000,106.820000,62.830000,8.220000,8.19,8.070000,100.040000,19.610000,0.000000,690.89

51,12:30-12:45,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.970000,8.030000,0.000000,63.020000,106.820000,62.830000,8.220000,6.93,8.070000,100.040000,19.610000,0.000000,689.63

52,12:45-13:00,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.970000,8.030000,0.000000,63.020000,106.820000,62.830000,8.220000,7.82,8.070000,100.040000,19.610000,0.000000,690.52

53,13:00-13:15,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.970000,8.120000,0.000000,63.020000,106.820000,62.830000,8.220000,5.86,8.070000,100.040000,19.610000,0.000000,688.65

54,13:15-13:30,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.970000,8.120000,0.000000,63.020000,106.820000,62.830000,8.220000,6.24,8.070000,100.040000,19.610000,0.000000,689.03

55,13:30-13:45,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.970000,8.120000,0.000000,63.020000,106.820000,62.830000,8.220000,7.09,8.070000,100.040000,19.610000,0.000000,689.88

56,13:45-14:00,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.970000,8.120000,0.000000,63.020000,106.820000,62.830000,8.220000,8.42,8.070000,100.040000,19.610000,0.000000,691.21

57,14:00-14:15,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.970000,8.220000,0.000000,63.020000,106.820000,62.830000,8.220000,7.01,8.070000,100.040000,19.610000,0.000000,689.9

58,14:15-14:30,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.970000,8.220000,0.000000,63.020000,106.820000,62.830000,8.220000,6.49,8.070000,100.040000,19.610000,0.000000,689.38

59,14:30-14:45,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.970000,8.220000,0.000000,63.020000,106.820000,62.830000,8.220000,5.22,8.070000,100.040000,19.610000,0.000000,688.11

60,14:45-15:00,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.970000,8.220000,0.000000,63.020000,106.820000,62.830000,8.220000,5.51,8.070000,100.040000,19.610000,38.660000,727.06

61,15:00-15:15,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.870000,8.220000,0.000000,63.020000,106.820000,62.830000,8.220000,4.38,8.070000,100.040000,19.610000,100.530000,787.7

62,15:15-15:30,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.870000,8.220000,0.000000,63.020000,106.820000,62.830000,8.220000,4.03,8.070000,100.040000,19.610000,160.460000,847.28

63,15:30-15:45,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.870000,8.220000,0.000000,63.020000,106.820000,62.830000,8.220000,3.42,8.070000,100.040000,19.610000,207.820000,894.03

64,15:45-16:00,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.870000,8.220000,0.000000,63.020000,106.820000,62.830000,8.220000,3.62,8.070000,100.040000,19.610000,233.920000,920.33

65,16:00-16:15,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.820000,8.300000,0.000000,63.020000,106.820000,62.830000,8.220000,4.34,8.070000,100.040000,19.610000,274.510000,961.67

66,16:15-16:30,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.820000,8.300000,0.000000,63.020000,106.820000,62.830000,8.220000,3.85,8.070000,100.040000,19.610000,303.510000,990.18

67,16:30-16:45,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.820000,8.300000,0.000000,63.020000,106.820000,62.830000,8.220000,2.65,8.070000,100.040000,19.610000,297.710000,983.18

68,16:45-17:00,48.330000,50.020000,42.050000,0.000000,15.84,38.660000,24.160000,34.800000,0.000000,0.000000,22.230000,0.000000,29.000000,0.820000,8.300000,0.000000,63.020000,106.820000,62.830000,8.220000,1.94,8.070000,100.040000,19.610000,316.080000,1000.84

69,17:00-17:15,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,0.000000,48.330000,22.230000,0.000000,0.000000,0.820000,8.490000,96.660000,63.020000,106.820000,62.830000,0.000000,1.33,8.070000,100.040000,19.610000,203.950000,980.22

70,17:15-17:30,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,0.000000,48.330000,22.230000,0.000000,0.000000,0.820000,8.490000,96.660000,63.020000,106.820000,62.830000,0.000000,1.14,8.070000,100.040000,19.610000,237.780000,1013.86

71,17:30-17:45,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,0.000000,48.330000,22.230000,0.000000,0.000000,0.820000,8.490000,96.660000,63.020000,106.820000,62.830000,0.000000,0.77,8.070000,100.040000,19.610000,270.650000,1046.36

72,17:45-18:00,48.330000,50.020000,42.050000,0.000000,0,38.660000,24.160000,34.800000,0.000000,48.330000,22.230000,0.000000,0.000000,0.820000,8.490000,96.660000,63.020000,106.820000,62.830000,0.000000,0.36,8.070000,100.040000,19.610000,263.880000,1039.18

73,18:00-18:15,48.330000,50.020000,42.050000,36.470000,0,38.660000,0.000000,34.800000,0.000000,96.660000,22.230000,0.000000,0.000000,0.820000,8.670000,144.990000,63.020000,106.820000,62.830000,0.000000,0,8.070000,100.040000,19.610000,280.310000,1164.4

74,18:15-18:30,48.330000,50.020000,42.050000,36.470000,0,38.660000,0.000000,34.800000,0.000000,96.660000,22.230000,0.000000,0.000000,0.820000,8.670000,144.990000,63.020000,106.820000,62.830000,0.000000,0,8.070000,100.040000,19.610000,291.910000,1176

75,18:30-18:45,48.330000,50.020000,42.050000,36.470000,0,38.660000,0.000000,34.800000,0.000000,96.660000,22.230000,0.000000,0.000000,0.820000,8.670000,144.990000,63.020000,106.820000,62.830000,0.000000,0,8.070000,100.040000,19.610000,308.350000,1192.44

