Block,Time,BRBCL,CHAMERA2,KKNP,NJPC,NLCTS2EXP,SINGRAULI,TelanganaSTPP,VALLURNTECL,DHAULIGNGA,KKNPPU2,RAPPB,UNCHAHAR3,ANTA_CRF,KGSU1AND2,KUDGI,NLCEXP,RAPPD,SALAL,SEWA2,TANDA2,TEHRI,URI,ANTA_RF,AURY_GF,DADRI_LF,DADRI_RF,CHAMERA3,DULHASTI,KGSU3AND4,NNTPP,RIHAND2,RIHAND3,AURY_RF,DADRI_CRF,CHAMERA1,KISHANGANGA,MAPS,RAMPUR,RSTPSU1TO6,SASAN,SINGRAULI_HYDRO,TALST2,TANAKPUR,AURY_LF,DADRI_GF,KHSTPP-II,KOTESHWR,NLCIIST1,RSTPSU7,UNCHAHAR1,BSIUL,DADRT2,KHSTPP-I,NAPP,NLCIIST2,NTPL,PARBATI3,SIMHST2,UNCHAHAR4,URI2,AURY_CRF,FSTPP I & II,JHAJJAR,KOLDAM,PARBATI2,RAPPC,RIHAND1,SIMHST1,TALA,UNCHAHAR2,ANTA_GF,ANTA_LF
1,00:00-00:15,20,48.81,0,180.89,0,135.57,0,0,32.83,0,0,27.68,0,0,0,0,19.57,0,12.61,5.7,29.61,50.79,49.86,0,0,101.83,35.03,58.69,0,0,124.58,95.79,80.77,0,42.22,0,0,6.98,0,402.19,1.11,0,8.33,0,0,148.3,10.43,0,0,21.64,13.04,573.92,45.53,25.11,0,0,59.07,0,2.3,40.16,0,20.8,605.67,9.59,48.84,68.56,97.23,0,14.11,44.49,0,0

2,00:15-00:30,20,48.81,0,180.89,0,135.57,0,0,32.83,0,0,27.68,0,0,0,0,19.57,0,6.3,5.7,29.61,50.79,49.86,0,0,101.83,35.03,58.69,0,0,124.58,95.79,80.77,0,42.22,0,0,6.98,0,402.19,1.11,0,8.33,0,0,148.3,10.43,0,0,21.64,13.04,573.92,45.53,25.11,0,0,59.07,0,2.3,40.16,0,20.8,605.67,9.59,48.84,68.56,97.23,0,14.11,44.5,0,0

3,00:30-00:45,20,48.81,0,180.89,0,135.57,0,0,32.83,0,0,27.68,0,0,0,0,19.57,0,6.3,5.7,29.61,50.79,49.86,0,0,101.83,35.03,58.69,0,0,124.58,95.79,80.77,0,42.22,0,0,6.98,0,402.19,1.11,0,11.53,0,0,148.3,10.43,0,0,21.64,6.52,573.92,45.53,25.11,0,0,59.07,0,2.3,40.16,0,20.8,605.67,9.59,48.84,68.56,97.23,0,14.11,44.5,0,0

4,00:45-01:00,20,48.81,0,180.89,0,135.57,0,0,32.83,0,0,27.68,0,0,0,0,19.57,0,6.3,5.7,29.61,50.79,49.86,0,0,101.83,35.03,58.69,0,0,124.58,95.79,80.77,0,42.22,0,0,6.98,0,402.19,1.11,0,11.53,0,0,148.3,10.43,0,0,21.64,6.52,573.92,45.53,25.11,0,0,59.07,0,2.3,40.16,0,20.8,605.67,9.59,48.84,68.56,97.23,0,14.11,44.5,0,0

5,01:00-01:15,20,48.81,0,180.89,0,135.57,0,0,32.83,0,0,27.68,0,0,0,0,19.57,0,6.3,5.7,29.61,50.79,51.17,0,0,101.83,35.03,58.69,0,0,124.58,95.79,80.77,0,42.22,0,0,6.98,0,402.19,1.11,0,11.53,0,0,148.3,10.43,0,0,21.64,6.52,573.92,45.53,25.11,0,0,59.07,0,3.2,40.16,0,20.8,605.67,9.59,48.84,68.56,97.23,0,14.11,45,0,0

