Column1,Time,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,NR/26072023/25122043/L_NR_2023_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/L_NR_2019_05,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/09/01/6566,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/3451,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/09/01/7908,NR/01102023/31052040/LT-31,GNA/NR/2024/09/01/7196,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/09/01/4802,NR/01082024/30092024/LT_MEJA_DELHI,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/09/01/9821,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/8090,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/7119
1,00:00-00:15,35.01,0,0,0,0,0,10.84,0,10.83,29.33,0,32.5,29.33,0,0,0,10.34,0,0,29.27,262.78,24.2,26.8708,48.4,5.12,0,21.78,0,48.4,87.3,100.84,96.79,0,134.15,0,32.91,70.55,26.87,0,14.78,96.79,0,0,0,17.5

2,00:15-00:30,34.81,0,0,0,0,0,10.66,0,10.67,29,0,32,29,0,0,0,10.34,0,0,29.27,262.78,24.2,26.8708,48.4,5.12,0,21.78,0,48.4,87.3,100.84,96.79,4.38,134.15,0,32.91,70.55,26.87,0,14.78,96.79,0,0,0,17.5

3,00:30-00:45,34.81,0,0,0,0,0,10.5,0,10.5,28.67,0,31.5,28.67,0,0,0,10.34,0,0,29.27,262.78,24.2,26.8708,48.4,5.12,0,21.78,0,48.4,87.3,100.84,96.79,4.38,134.15,0,32.91,70.55,26.87,0,14.78,96.79,0,0,0,17.5

4,00:45-01:00,34.81,0,0,0,0,0,10.34,0,10.33,29,0,31,29,0,0,0,10.34,0,0,29.27,262.78,24.2,26.8708,48.4,5.12,0,21.78,0,48.4,87.3,100.84,96.79,4.38,134.15,0,32.91,70.55,26.87,0,14.78,96.79,0,0,0,17.5

5,01:00-01:15,38.01,0,0,0,0,0,10.16,0,10.17,28.67,0,30.5,28.67,0,0,0,10.34,0,0,29.27,214.39,24.2,26.8708,48.4,5.12,0,21.78,0,48.4,63.11,71.8,96.79,4.38,116.15,0,32.91,70.55,26.87,0,14.78,96.79,0,0,0,17.5

6,01:15-01:30,38.01,0,0,0,0,0,10,0,10,19.67,0,30,19.67,0,0,0,10.34,0,0,29.27,170.97,24.2,26.8708,48.4,5.12,0,21.78,0,48.4,57.78,60.98,96.79,3.65,116.15,0,32.91,70.55,26.87,0,14.78,96.79,0,0,0,17.5

7,01:30-01:45,38.01,0,0,0,0,0,9.66,0,9.67,19.67,0,29,19.67,0,0,0,10.34,0,0,28.77,170.97,24.2,26.8708,48.4,5.12,0,21.78,0,48.4,57.78,60.98,96.79,3.59,96.79,0,32.91,70.55,26.87,0,14.78,96.79,0,0,0,17.5

8,01:45-02:00,37.61,0,0,0,0,0,9.34,0,9.33,19.67,0,28,19.67,0,0,0,10.34,0,0,28.77,170.97,24.2,26.8708,48.4,5.12,0,21.78,0,48.4,57.78,60.98,96.79,3.59,96.79,0,32.91,70.55,26.87,0,14.78,96.79,0,0,0,17.5

