Block,Time,CHAMERA2,BSIUL,RAPPC,DADRI_RF,CHAMERA3,KOLDAM,SEWA2,CHAMERA1,AURY_LF,TANAKPUR,ANTA_LF,DHAULIGNGA,NJPC,ANTA_CRF,DULHASTI,TEHRI,KHSTPP-I,DADRI_GF,BRBCL,FSTPP I & II,UNCHAHAR2,SASAN,ANTA_RF,SINGRAULI_HYDRO,DADRI_CRF,RAPPB,KHSTPP-II,TALA,UNCHAHAR4,URI,RIHAND1,KOTESHWR,DADRT2,URI2,DADRI_LF,RAMPUR,UNCHAHAR3,KISHANGANGA,RIHAND2,ANTA_GF,AURY_RF,PARBATI3,TANDA2,RIHAND3,NAPP,AURY_CRF,SINGRAULI,AURY_GF,UNCHAHAR1,SALAL,JHAJJAR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,12.591665,51.704263,0.000000,0.000000,0.000000,15.258808,0.000000,0.000000,5.441944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.798312,0.000000,17.750606,8.723292,36.325006,404.322435,0.000000,0.646451,0.000000,0.000000,142.426336,0.000000,0.000000,39.438744,88.826000,8.091856,420.958000,20.780650,0.000000,0.000000,22.869798,0.000000,114.049688,0.000000,0.000000,0.000000,0.000000,119.399161,41.658622,0.000000,121.254731,0.000000,10.493180,12.341021,306.921973,0,0,0,0,0

2,00:15-00:30,0.000000,12.591665,51.704263,0.000000,0.000000,0.000000,15.258808,0.000000,0.000000,5.441944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.798312,0.000000,17.798004,8.723292,36.325006,404.322435,0.000000,0.646451,0.000000,0.000000,142.426336,0.000000,0.000000,39.438744,88.826000,8.091856,399.717000,20.780650,0.000000,0.000000,22.869798,0.000000,114.049688,0.000000,0.000000,0.000000,0.000000,119.399161,41.658622,0.000000,121.254731,0.000000,10.533605,12.341021,280.268623,0,0,0,0,0

3,00:30-00:45,0.000000,12.591665,51.704263,0.000000,0.000000,0.000000,15.258808,0.000000,0.000000,5.441944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.798312,0.000000,16.898750,8.723292,36.325006,404.322435,0.000000,0.646451,0.000000,0.000000,142.426336,0.000000,0.000000,34.109184,88.826000,8.091856,361.145275,31.430733,0.000000,0.000000,22.869798,0.000000,114.049688,0.000000,0.000000,0.000000,0.000000,119.399161,41.658622,0.000000,121.254731,0.000000,10.533605,12.341021,279.995000,0,0,0,0,0

4,00:45-01:00,0.000000,12.591665,51.704263,0.000000,0.000000,0.000000,15.258808,0.000000,0.000000,5.441944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.798312,0.000000,13.986789,8.723292,35.709307,404.322435,0.000000,0.646451,0.000000,0.000000,142.426336,0.000000,0.000000,34.109184,88.826000,8.091856,361.145275,31.430733,0.000000,0.000000,17.887336,0.000000,114.049688,0.000000,0.000000,0.000000,0.000000,119.399161,41.658622,0.000000,121.254731,0.000000,8.602605,12.341021,269.596565,0,0,0,0,0

5,01:00-01:15,0.000000,12.591665,51.704263,0.000000,0.000000,0.000000,15.258808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.798312,0.000000,12.543768,8.723292,35.709307,404.322435,0.000000,0.646451,0.000000,0.000000,142.426336,0.000000,0.000000,34.109184,88.826000,8.091856,361.145275,31.430733,0.000000,0.000000,17.887336,0.000000,114.049688,0.000000,0.000000,0.000000,0.000000,119.399161,41.658622,0.000000,121.254731,0.000000,8.417519,12.341021,269.596565,0,0,0,0,0

