Time,Block,NR/2023/18105/A/2189,NR/2023/18074/A/2185,NR/2023/18197/C,NR/2023/17270/A,NR/2023/18062/A/2190,NR/2023/17525/A,WR/2023/19446/A,WR/2023/20256/A/2302,NER/2023/1789/C,WR/2023/20577/A/2305,NR/2023/18196/C,Total
,,IEXL,ITCLH,TPDDL,GMRETL,IEXL,APPCPL,MANIKARAN,MANIKARAN,PXIL,APPCPL,NVVNL,Total

,,HIMACHAL PRADESH,ANDHRA PRADESH,HIMACHAL PRADESH,DELHI,ANDHRA PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,NA,
,,BSHP,ITCWIND,CHANJUII,BYPL,SNJSUGARLTDAP,BYPL,BYPL,BRPL,BYPL,BRPL,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,RAJASTHAN,DELHI,HIMACHAL PRADESH,MAHARASHTRA,GOA,ARUNACHAL PRADESH,GOA,DELHI,
,,MES (Delhi),ITCLH,TPDDL,RUVNL,MES (Delhi),HP,AEML,GOA_Beneficiary,Arunachal_Ben,GOA_Beneficiary,MES (Delhi),
,,North-North,South-West-North,North-North,North-North,South-East-North,North-North,North-West,North-West,North-East-North East,North-West,West-North,
1,00:00-00:15,0.960000,0.430000,1.780000,0.000000,4.820000,51.110000,75.000000,0.000000,40.000000,0.000000,0,174.1

2,00:15-00:30,0.960000,0.430000,1.780000,0.000000,4.820000,51.110000,75.000000,0.000000,40.000000,0.000000,0,174.1

3,00:30-00:45,0.960000,0.430000,1.780000,0.000000,4.820000,51.110000,75.000000,0.000000,40.000000,0.000000,0,174.1

4,00:45-01:00,0.960000,0.430000,1.780000,0.000000,4.820000,51.110000,75.000000,0.000000,40.000000,0.000000,0,174.1

5,01:00-01:15,0.960000,0.390000,1.780000,0.000000,4.820000,51.110000,75.000000,0.000000,40.000000,0.000000,0,174.06

6,01:15-01:30,0.960000,0.390000,1.780000,0.000000,4.820000,51.110000,75.000000,0.000000,40.000000,0.000000,0,174.06

7,01:30-01:45,0.960000,0.390000,1.780000,0.000000,4.820000,51.110000,75.000000,0.000000,40.000000,0.000000,0,174.06

8,01:45-02:00,0.960000,0.390000,1.780000,0.000000,4.820000,51.110000,75.000000,0.000000,40.000000,0.000000,0,174.06

9,02:00-02:15,0.960000,0.340000,1.780000,0.000000,4.820000,51.110000,75.000000,0.000000,40.000000,0.000000,0,174.01

10,02:15-02:30,0.960000,0.340000,1.780000,0.000000,4.820000,51.110000,75.000000,0.000000,40.000000,0.000000,0,174.01

11,02:30-02:45,0.960000,0.340000,1.780000,0.000000,4.820000,51.110000,75.000000,0.000000,40.000000,0.000000,0,174.01

12,02:45-03:00,0.960000,0.340000,1.780000,0.000000,4.820000,51.110000,75.000000,0.000000,40.000000,0.000000,0,174.01

13,03:00-03:15,0.960000,0.340000,1.780000,0.000000,4.820000,51.110000,75.000000,0.000000,40.000000,0.000000,0,174.01

14,03:15-03:30,0.960000,0.340000,1.780000,0.000000,4.820000,51.110000,75.000000,0.000000,40.000000,0.000000,0,174.01

15,03:30-03:45,0.960000,0.340000,1.780000,0.000000,4.820000,51.110000,75.000000,0.000000,40.000000,0.000000,0,174.01

16,03:45-04:00,0.960000,0.340000,1.780000,0.000000,4.820000,51.110000,75.000000,0.000000,40.000000,0.000000,0,174.01

17,04:00-04:15,0.960000,0.390000,1.780000,0.000000,4.820000,51.110000,75.000000,0.000000,40.000000,0.000000,0,174.06

18,04:15-04:30,0.960000,0.390000,1.780000,0.000000,4.820000,51.110000,75.000000,0.000000,40.000000,0.000000,0,174.06

19,04:30-04:45,0.960000,0.390000,1.780000,0.000000,4.820000,51.110000,75.000000,0.000000,40.000000,0.000000,0,174.06

20,04:45-05:00,0.960000,0.390000,1.780000,0.000000,4.820000,51.110000,75.000000,0.000000,40.000000,0.000000,0,174.06

21,05:00-05:15,0.960000,0.390000,1.780000,0.000000,4.820000,51.110000,75.000000,0.000000,0.000000,0.000000,0,134.06

22,05:15-05:30,0.960000,0.390000,1.780000,0.000000,4.820000,51.110000,75.000000,0.000000,0.000000,0.000000,0,134.06

23,05:30-05:45,0.960000,0.390000,1.780000,0.000000,4.820000,51.110000,75.000000,0.000000,0.000000,0.000000,0,134.06

24,05:45-06:00,0.960000,0.390000,1.780000,0.000000,4.820000,51.110000,75.000000,0.000000,0.000000,0.000000,0,134.06

25,06:00-06:15,0.960000,0.390000,1.780000,100.000000,4.820000,0.000000,75.000000,0.000000,0.000000,0.000000,0,182.95

26,06:15-06:30,0.960000,0.390000,1.780000,100.000000,4.820000,0.000000,75.000000,0.000000,0.000000,0.000000,0,182.95

27,06:30-06:45,0.960000,0.390000,1.780000,100.000000,4.820000,0.000000,75.000000,0.000000,0.000000,0.000000,0,182.95

28,06:45-07:00,0.960000,0.390000,1.780000,100.000000,4.820000,0.000000,75.000000,0.000000,0.000000,0.000000,0,182.95

29,07:00-07:15,0.960000,0.530000,1.780000,100.000000,4.820000,0.000000,75.000000,0.000000,0.000000,0.000000,0,183.09

30,07:15-07:30,0.960000,0.530000,1.780000,100.000000,4.820000,0.000000,75.000000,0.000000,0.000000,0.000000,0.27,183.36

31,07:30-07:45,0.960000,0.530000,1.780000,100.000000,4.820000,0.000000,75.000000,0.000000,0.000000,0.000000,0.56,183.65

32,07:45:08:00,0.960000,0.530000,1.780000,100.000000,4.820000,0.000000,75.000000,0.000000,0.000000,0.000000,0.93,184.02

33,08:00-08:15,0.960000,0.770000,1.780000,50.000000,4.820000,0.000000,75.000000,0.000000,0.000000,0.000000,1.38,134.71

34,08:15-08:30,0.960000,0.770000,1.780000,50.000000,4.820000,0.000000,75.000000,0.000000,0.000000,0.000000,1.76,135.09

35,08:30-08:45,0.960000,0.770000,1.780000,50.000000,4.820000,0.000000,75.000000,0.000000,0.000000,0.000000,2.19,135.52

36,08:45:09:00,0.960000,0.770000,1.780000,50.000000,4.820000,0.000000,75.000000,0.000000,0.000000,0.000000,2.65,135.98

37,09:00:09:15,0.960000,0.770000,1.780000,50.000000,4.820000,0.000000,75.000000,0.000000,0.000000,0.000000,3.11,136.44

38,09:15-09:30,0.960000,0.770000,1.780000,50.000000,4.820000,0.000000,75.000000,0.000000,0.000000,0.000000,3.56,136.89

39,09:30-09:45,0.960000,0.770000,1.780000,50.000000,4.820000,0.000000,75.000000,0.000000,0.000000,0.000000,4.04,137.37

40,09:45-10:00,0.960000,0.770000,1.780000,50.000000,4.820000,0.000000,75.000000,0.000000,0.000000,0.000000,4.47,137.8

41,10:00-10:15,0.960000,0.770000,1.780000,50.000000,4.820000,0.000000,75.000000,0.000000,0.000000,0.000000,4.86,138.19

42,10:15-10:30,0.960000,0.770000,1.780000,50.000000,4.820000,0.000000,75.000000,0.000000,0.000000,0.000000,5.19,138.52

43,10:30-10:45,0.960000,0.770000,1.780000,50.000000,4.820000,0.000000,75.000000,0.000000,0.000000,0.000000,5.5,138.83

44,10:45-11:00,0.960000,0.770000,1.780000,50.000000,4.820000,0.000000,75.000000,0.000000,0.000000,0.000000,5.74,139.07

45,11:00-11:15,0.960000,0.770000,1.780000,100.000000,4.820000,0.000000,75.000000,0.000000,0.000000,0.000000,5.99,189.32

46,11:15-11:30,0.960000,0.770000,1.780000,100.000000,4.820000,0.000000,75.000000,0.000000,0.000000,0.000000,6.19,189.52

47,11:30-11:45,0.960000,0.770000,1.780000,100.000000,4.820000,0.000000,75.000000,0.000000,0.000000,0.000000,6.32,189.65

48,11:45-12:00,0.960000,0.770000,1.780000,100.000000,4.820000,0.000000,75.000000,0.000000,0.000000,0.000000,6.41,189.74

49,12:00-12:15,0.960000,0.770000,1.780000,100.000000,4.820000,0.000000,75.000000,0.000000,0.000000,0.000000,6.41,189.74

50,12:15-12:30,0.960000,0.770000,1.780000,100.000000,4.820000,0.000000,75.000000,0.000000,0.000000,0.000000,6.55,189.88

