Time,Block,NR/2023/17402/F,WR/2023/17681/A,NR/2023/14875/A,WR/2023/17681/A/II,WR/2023/19090/A,NR/2023/17496/F,NR/2023/17344/F,NR/2023/17858/C,NR/2023/17165/A,NR/2023/17263/F,NR/2023/17862/C,NR/2023/17404/F,NR/2023/17857/C,Total
,,MANIKARAN,MANIKARAN,APPCPL,MANIKARAN,TPTCL,IEXL,ITCLH,NVVNL,NVVNL,APPCPL,SJVNL,MANIKARAN,TPDDL,Total

,,DELHI,DELHI,DELHI,DELHI,DELHI,KARNATAKA,ANDHRA PRADESH,NA,NA,DELHI,NA,DELHI,HIMACHAL PRADESH,
,,BRPL,BYPL,BYPL,BYPL,BYPL,NSLSUGAR,ITCWIND,SOLAPUR_SOLAR,SKS Raigarh,BRPL,RSRPL_BKN,BRPL,CHANJUII,
,,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,MAHARASHTRA,MAHARASHTRA,DELHI,DELHI,DELHI,DELHI,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,DELHI,
,,HP,AEML,HP,AEML,TPC MSEB,MES (Delhi),ITCLH,MES (Delhi),NDMC,HP,NDMC,HP,TPDDL,
,,North-North,North-West,North-North,North-East-West,North-West,South-East-North,South-West-North,West-North,West-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,0.580000,0,62.930000,179.140000,0,20.400000,4.800000,451.51

2,00:15-00:30,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,0.580000,0,62.930000,179.140000,0,20.400000,4.800000,451.51

3,00:30-00:45,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,0.580000,0,62.930000,179.140000,0,20.400000,4.800000,451.51

4,00:45-01:00,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,0.580000,0,62.930000,179.140000,0,20.400000,4.800000,451.51

5,01:00-01:15,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,0.530000,0,62.930000,179.140000,0,20.400000,4.800000,451.46

6,01:15-01:30,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,0.530000,0,62.930000,179.140000,0,20.400000,4.800000,451.46

7,01:30-01:45,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,0.530000,0,62.930000,179.140000,0,20.400000,4.800000,451.46

8,01:45-02:00,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,0.530000,0,62.930000,179.140000,0,20.400000,4.800000,451.46

