Block,Time,ANTA_GF,DADRI_CRF,KISHANGANGA,RAPPC,URI2,ANTA_LF,DADRI_GF,RAPPB,CHAMERA2,UNCHAHAR1,DHAULIGNGA,AURY_GF,AURY_CRF,TEHRI,RIHAND1,DADRI_LF,AURY_RF,SALAL,RIHAND2,UNCHAHAR4,RAMPUR,DULHASTI,PARBATI3,ANTA_CRF,CHAMERA3,AURY_LF,UNCHAHAR2,RIHAND3,SEWA2,KOLDAM,DADRI_RF,SINGRAULI_HYDRO,NJPC,TANDA2,UNCHAHAR3,ANTA_RF,KOTESHWR,CHAMERA1,NAPP,DADRT2,KHSTPP-II,SASAN,SINGRAULI,JHAJJAR,BRBCL,URI,FSTPP I & II,BSIUL,KHSTPP-I,TALA,TANAKPUR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,8.045392,65.422069,26.203454,0.000000,0.000000,0.000000,46.782935,21.470702,41.994958,0.000000,0.000000,60.873588,93.620163,0.000000,0.000000,73.977103,119.976948,2.980614,6.506724,57.080594,4.120860,0.000000,33.598227,0.000000,42.125722,125.957564,0.000000,9.850160,0.000000,1.169884,173.591783,5.168424,25.730319,0.000000,37.808120,27.104025,47.373781,664.335403,142.569423,336.621285,126.618698,180.207905,14.469000,39.934440,13.793780,12.579927,31.031278,9.386908,12.480091,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,8.045392,65.422069,26.203454,0.000000,0.000000,0.000000,46.782935,21.825811,41.994958,0.000000,0.000000,60.873588,93.620163,0.000000,0.000000,73.977103,119.976948,2.980614,6.506724,57.080594,4.120860,0.000000,33.598227,0.000000,42.125722,125.957564,0.000000,9.850160,0.000000,1.169884,173.591783,5.168424,25.730319,0.000000,37.808120,27.104025,47.373781,664.335403,142.569423,336.621285,126.618698,180.206668,14.469000,39.934440,13.793780,12.579927,31.031278,9.386908,12.480091,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,8.045392,65.422069,26.203454,0.000000,0.000000,0.000000,46.782935,21.825811,41.994958,0.000000,0.000000,60.873588,93.620163,0.000000,0.000000,73.977103,119.976948,2.980614,6.506724,57.080594,4.120860,0.000000,33.598227,0.000000,42.125722,125.957564,0.000000,9.850160,0.000000,1.169884,173.591783,5.168424,25.730319,0.000000,37.808120,27.104025,47.373781,664.335403,142.569423,336.621285,126.618698,180.206668,14.469000,39.934440,13.793780,12.579927,31.031278,9.528705,12.480091,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,8.045392,65.422069,26.203454,0.000000,0.000000,0.000000,46.782935,21.825811,41.994958,0.000000,0.000000,60.873588,93.620163,0.000000,0.000000,73.977103,119.976948,2.980614,6.506724,57.080594,4.120860,0.000000,33.598227,0.000000,42.125722,125.957564,0.000000,9.850160,0.000000,1.169884,173.591783,5.168424,25.730319,0.000000,37.808120,27.104025,47.373781,664.335403,142.569423,336.621285,126.618698,180.206668,14.469000,39.934440,13.793780,12.579927,31.031278,9.528705,12.480091,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,8.045392,65.422069,26.203454,0.000000,0.000000,0.000000,46.782935,21.825811,41.994958,0.000000,0.000000,60.873588,93.620163,0.000000,0.000000,73.977103,119.976948,2.980614,6.506724,57.080594,4.120860,0.000000,33.598227,0.000000,42.125722,125.957564,0.000000,9.850160,0.000000,1.169884,173.591783,5.168424,25.730319,0.000000,37.808120,27.104025,47.373781,664.335403,142.569423,336.621285,126.618698,180.206668,14.469000,39.934440,13.793780,12.579927,31.031278,9.528705,12.480091,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,8.045392,65.422069,26.203454,0.000000,0.000000,0.000000,46.782935,21.825811,41.994958,0.000000,0.000000,60.873588,93.620163,0.000000,0.000000,73.977103,119.976948,2.980614,6.506724,57.080594,4.120860,0.000000,33.598227,0.000000,42.125722,125.957564,0.000000,9.850160,0.000000,1.169884,173.591783,5.168424,25.730319,0.000000,37.808120,27.104025,47.373781,664.335403,142.569423,336.621285,126.618698,180.206668,14.469000,39.934440,13.793780,12.579927,31.031278,9.528705,12.480091,0,0,0,0,0

