Block,Time,KOTESHWR,TANDA2,NJPC,TANAKPUR,AURY_GF,URI,DHAULIGNGA,RAPPB,UNCHAHAR3,DADRI_CRF,RAMPUR,ANTA_LF,SINGRAULI,RIHAND1,ANTA_GF,AURY_LF,RIHAND3,KISHANGANGA,TEHRI,DADRI_GF,AURY_RF,CHAMERA3,DULHASTI,RIHAND2,UNCHAHAR1,RAPPC,URI2,JHAJJAR,DADRI_RF,NAPP,CHAMERA2,UNCHAHAR2,UNCHAHAR4,SEWA2,ANTA_RF,DADRT2,DADRI_LF,PARBATI3,BSIUL,SINGRAULI_HYDRO,AURY_CRF,CHAMERA1,ANTA_CRF,KOLDAM,SALAL,KHSTPP-II,BRBCL,TALA,KHSTPP-I,FSTPP I & II,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,5.175914,173.843731,4.949784,0.000000,35.193312,42.055908,0.000000,26.699256,0.000000,6.516168,0.000000,128.358329,93.756041,0.000000,0.000000,126.140377,8.057069,0.000000,0.000000,0.000000,33.646990,57.163439,120.151080,21.860580,65.192679,36.602241,408.077040,0.000000,45.793467,46.850834,43.379800,2.984940,18.161396,0.000000,664.720005,0.000000,0.000000,6.299093,1.066977,0.000000,40.715045,0.000000,8.959460,80.819424,142.776346,19.319988,0.000000,42.803460,20.092800,395.305312,0,0,0,0,0

2,00:15-00:30,0.000000,5.175914,173.843731,4.949784,0.000000,35.193312,42.055908,0.000000,26.699256,0.000000,6.516168,0.000000,128.358329,93.756041,0.000000,0.000000,126.140377,8.057069,0.000000,0.000000,0.000000,33.646990,57.163439,120.151080,21.860580,65.192679,36.602241,408.077040,0.000000,45.793467,46.850834,43.379800,2.984940,18.161396,0.000000,664.720005,0.000000,0.000000,6.299093,1.066977,0.000000,40.715045,0.000000,8.959460,80.819424,142.776346,19.319988,0.000000,42.803460,20.092800,401.991372,0,0,0,0,0

3,00:30-00:45,0.000000,5.175914,173.843731,7.424676,0.000000,35.193312,42.055908,0.000000,26.699256,0.000000,6.516168,0.000000,128.358329,93.756041,0.000000,0.000000,126.140377,8.057069,0.000000,0.000000,0.000000,33.646990,57.163439,120.151080,21.860580,65.192679,36.602241,408.077040,0.000000,45.793467,46.850834,43.379800,2.984940,18.161396,0.000000,664.720005,0.000000,0.000000,6.299093,1.066977,0.000000,40.715045,0.000000,8.959460,80.819424,142.776346,19.319988,0.000000,42.803460,20.092800,402.097500,0,0,0,0,0

4,00:45-01:00,0.000000,5.175914,173.843731,7.424676,0.000000,35.193312,42.055908,0.000000,26.699256,0.000000,6.516168,0.000000,128.358329,93.756041,0.000000,0.000000,126.140377,8.057069,0.000000,0.000000,0.000000,33.646990,57.163439,120.151080,21.860580,65.192679,36.602241,408.077040,0.000000,45.793467,46.850834,43.379800,2.984940,18.161396,0.000000,664.720005,0.000000,0.000000,6.299093,1.066977,0.000000,40.715045,0.000000,8.959460,80.819424,142.776346,18.396833,0.000000,42.803460,20.092800,402.097500,0,0,0,0,0

5,01:00-01:15,0.000000,5.175914,173.843731,7.424676,0.000000,35.193312,42.055908,0.000000,26.699256,0.000000,6.516168,0.000000,128.358329,93.756041,0.000000,0.000000,126.140377,8.057069,0.000000,0.000000,0.000000,33.646990,57.163439,120.151080,21.860580,65.192679,36.602241,408.077040,0.000000,45.793467,46.850834,43.379800,2.984940,18.161396,0.000000,664.720005,0.000000,0.000000,6.299093,1.108819,0.000000,40.715045,0.000000,8.959460,80.819424,142.776346,15.453308,0.000000,42.803460,20.092800,402.097500,0,0,0,0,0

