Time,Block,NR/2023/13519/A,NR/2023/16291/F,NR/2023/16437/F,NR/2023/16747/D,NR/2023/13253/A,NR/2023/13376/A,NR/2023/13165/A,NR/2023/16073/A,NR/2023/15770/A,NR/2023/13242/A,NR/2023/13385/A,NR/2023/16291/F/II,NR/2023/16780/C,NR/2023/16185/A,NR/2023/16077/A,NR/2023/13387/A,NR/2023/16772/C,NR/2023/16768/C,NR/2023/16748/D,NR/2023/13636/A,NR/2023/13908/A,NR/2023/16520/F,NR/2023/13150/A,NR/2023/16191/A,NR/2023/13254/A,NR/2023/16626/F,NR/2023/13148/A,NR/2023/13383/A,NR/2023/16627/F,NR/2023/16757/D,Total
,,STATKRAFT,ITCLH,NVVNL,IEXL,APPCPL,APPCPL,GMRETL,APPCPL,NVVNL,APPCPL,NVVNL,ITCLH,IEXL,MANIKARAN,APPCPL,NVVNL,TPDDL,GBHHPL,IEXL,NVVNL,TPTCL,IEXL,KEIPL,MANIKARAN,APPCPL,NVVNL,KEIPL,APPCPL,NVVNL,NVVNL,Total

,,HIMACHAL PRADESH,ANDHRA PRADESH,NA,TAMIL NADU,UTTARAKHAND,MEGHALAYA,MEGHALAYA,GOA,NA,SIKKIM,MP,ANDHRA PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,NA,NA,UTTAR PRADESH,MEGHALAYA,HIMACHAL PRADESH,MEGHALAYA,NA,MEGHALAYA,HIMACHAL PRADESH,NA,NA,
,,HP,ITCWIND,KAMENG,OPGPGUNIT1TN,UTTARAKHAND,Meghalaya_Ben,Meghalaya_Ben,GOA_Beneficiary,SKS Raigarh,SIKKIM,JP BINA,ITCWIND,Teesta_III,HP,HP,JPNIGRIE_JNSTPP,CHANJUII,GBHHPL,OPGPGPLU4TN,KAMENG,JPL,PPGCL,Meghalaya_Ben,HP,Meghalaya_Ben,KAMENG,Meghalaya_Ben,HP,KAMENG,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,ITCLH,TPDDL,BRPL,BYPL,BYPL,BYPL,BRPL,NDMC,BYPL,BRPL,ITCLH,BRPL,BRPL,BRPL,BRPL,TPDDL,DIAPL,BRPL,BRPL,BRPL,BRPL,BYPL,BRPL,BYPL,TPDDL,BYPL,BYPL,BRPL,MES (Delhi),
,,North-North,South-East-North,North East-East-North,South-East-North,North-North,North East-East-North,North East-East-North,West-North,West-North,East-North,West-North,South-West-North,East-North,North-North,North-North,West-North,North-North,North-North,South-East-North,North East-East-North,West-North,North-North,North East-East-North,North-North,North East-East-North,North East-East-North,North East-East-North,North-North,North East-East-North,West-North,
1,00:00-00:15,58.430000,0.060000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,29.580000,50.030000,0.810000,145.000000,56.550000,70.040000,100.050000,11.080000,8.070000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,36.470000,30.020000,2.460000,0,1517.07

2,00:15-00:30,58.430000,0.060000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,29.580000,50.030000,0.810000,145.000000,56.550000,70.040000,100.050000,11.080000,8.070000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,36.470000,30.020000,2.460000,0,1517.07

3,00:30-00:45,58.430000,0.060000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,29.580000,50.030000,0.810000,145.000000,56.550000,70.040000,100.050000,11.080000,8.070000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,36.470000,30.020000,2.460000,0,1517.07

4,00:45-01:00,58.430000,0.060000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,29.580000,50.030000,0.810000,145.000000,56.550000,70.040000,100.050000,11.080000,8.070000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,36.470000,30.020000,2.460000,0,1517.07

5,01:00-01:15,58.430000,0.160000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,29.580000,50.030000,0.460000,145.000000,56.550000,70.040000,100.050000,10.980000,8.070000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,36.470000,30.020000,2.460000,0,1516.72

6,01:15-01:30,58.430000,0.160000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,29.580000,50.030000,0.460000,145.000000,56.550000,70.040000,100.050000,10.980000,8.070000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,36.470000,30.020000,2.460000,0,1516.72

7,01:30-01:45,58.430000,0.160000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,29.580000,50.030000,0.460000,145.000000,56.550000,70.040000,100.050000,10.980000,8.070000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,36.470000,30.020000,2.460000,0,1516.72

8,01:45-02:00,58.430000,0.160000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,29.580000,50.030000,0.460000,145.000000,56.550000,70.040000,100.050000,10.980000,8.070000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,36.470000,30.020000,2.460000,0,1516.72

9,02:00-02:15,58.430000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,29.580000,50.030000,0.630000,145.000000,56.550000,70.040000,100.050000,10.890000,8.070000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,36.470000,30.020000,2.460000,0,1516.64

10,02:15-02:30,58.430000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,29.580000,50.030000,0.630000,145.000000,56.550000,70.040000,100.050000,10.890000,8.070000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,36.470000,30.020000,2.460000,0,1516.64

11,02:30-02:45,58.430000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,29.580000,50.030000,0.630000,145.000000,56.550000,70.040000,100.050000,10.890000,8.070000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,36.470000,30.020000,2.460000,0,1516.64

12,02:45-03:00,58.430000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,29.580000,50.030000,0.630000,145.000000,56.550000,70.040000,100.050000,10.890000,8.070000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,36.470000,30.020000,2.460000,0,1516.64

13,03:00-03:15,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,29.580000,50.030000,0.630000,0.000000,56.550000,70.040000,100.050000,10.700000,8.070000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,30.020000,2.460000,0,1276.55

