Block,Time,UNCHAHAR4,KISHANGANGA,SEWA2,KOTESHWR,ANTA_LF,UNCHAHAR3,DADRI_CRF,RIHAND2,DADRI_RF,URI,AURY_LF,RAPPC,RAMPUR,UNCHAHAR2,TANDA2,JHAJJAR,CHAMERA1,SALAL,DHAULIGNGA,NJPC,AURY_GF,TANAKPUR,AURY_RF,NAPP,SINGRAULI_HYDRO,BSIUL,DADRI_GF,KOLDAM,ANTA_CRF,DADRI_LF,DADRT2,TEHRI,DULHASTI,RIHAND1,RAPPB,ANTA_RF,SINGRAULI,CHAMERA2,CHAMERA3,PARBATI3,RIHAND3,KHSTPP-I,KKNP,MOUDA_II,ANTA_GF,AURY_CRF,UNCHAHAR1,TALST2,GANDHAR-ComGas,SOLAPUR,SIPAT II,VALLURNTECL,VSTPS I,NNTPP,SASAN,TAPS-II,SIPAT I,KHSTPP-II,FSTPP I & II,RSTPSU7,VSTPS III,RSTPSU1TO6,KSTPS7,KSTPS I&II,KHARGONE-I,KGSU3AND4,KAWAS-RLNG,NLCEXP,KAWAS-zLIQ,KAWAS-ComGas,VSTPS IV,TALA,KUDGI,VSTPS V,MAPS,KAWAS-NAPM,NLCIIST1,GANDHAR-RLNG,URI2,NLCIIST2,NTPL,GADARWARA-I,SIMHST2,BRBCL,NLCTS2EXP,KGSU1AND2,KAWAS-APM,VSTPS II,GANDHAR-NAPM,KAPS,MOUDA,GANDHAR-APM,LARA-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,2.301331,4.068498,17.436898,17.596491,0.000000,20.466632,0.000000,117.887847,0.000000,46.773830,0.000000,62.541305,1.573941,38.305705,3.938161,542.855797,41.077314,80.560066,0.000000,51.167436,0.000000,5.427290,0.000000,44.767769,1.014603,0.000000,0.000000,5.151506,0.000000,0.000000,572.754568,49.651177,54.814796,92.331090,0.000000,0.000000,128.969983,44.701835,32.256539,0.000000,123.684601,40.024157,0.00,3.358207,0.000000,0.000000,17.086660,2.92,0.000000,1.693819,1.788485,3.44,2.270088,0.19,191.737462,1.311170,4.786233,141.797521,19.860198,1.87,1.874035,7.53,1.283197,2.839546,1.866966,2.10,0.000000,1.76,0.000000,0.000000,2.566393,0.000000,8.98,1.269510,0.23,0.000000,0.88,0.000000,35.282808,0.87,3.64,4.106229,1.78,14.443459,0.76,1.94,0.000000,0.929022,0.000000,1.092423,1.853390,0.000000,4.072013,0,0,0,0,0

2,00:15-00:30,2.301331,4.068498,17.436898,8.798246,0.000000,20.466632,0.000000,117.887847,0.000000,46.773830,0.000000,62.541305,1.573941,33.799151,3.938161,577.001126,41.077314,80.560066,0.000000,51.167436,0.000000,5.427290,0.000000,44.767769,1.014603,0.000000,0.000000,5.151506,0.000000,0.000000,658.326256,49.651177,54.814796,92.331090,0.000000,0.000000,128.969983,44.701835,32.256539,0.000000,123.684601,40.036901,0.00,3.358207,0.000000,0.000000,17.086660,2.92,0.000000,1.693819,1.788485,3.44,2.270088,0.19,191.737462,1.311170,4.790601,141.797521,19.860198,1.87,1.874035,7.53,1.283197,2.839546,1.866966,2.10,0.000000,1.76,0.000000,0.000000,2.566393,0.000000,8.98,1.269510,0.23,0.000000,0.88,0.000000,35.282808,0.87,3.64,4.106229,1.78,14.443459,0.76,1.94,0.000000,0.929022,0.000000,1.092423,1.853390,0.000000,4.072013,0,0,0,0,0

3,00:30-00:45,2.301331,4.068498,17.436898,8.798246,0.000000,20.466632,0.000000,117.887847,0.000000,46.773830,0.000000,62.541305,1.311617,33.799151,3.938161,581.559653,41.077314,80.560066,0.000000,42.674055,0.000000,5.427290,0.000000,44.767769,1.014603,0.000000,0.000000,5.151506,0.000000,0.000000,658.326256,49.651177,54.814796,92.331090,0.000000,0.000000,128.969983,44.701835,32.256539,0.000000,123.684601,40.036901,0.00,3.358207,0.000000,0.000000,17.086660,2.92,0.000000,1.693819,1.788485,3.44,2.270088,0.19,191.737462,1.311170,4.790601,141.797521,19.860198,1.87,1.874035,7.53,1.283197,2.839546,1.866966,2.10,0.000000,1.76,0.000000,0.000000,2.566393,0.000000,8.98,1.269510,0.23,0.000000,0.88,0.000000,30.390654,0.87,3.64,4.106229,1.78,14.443459,0.76,1.94,0.000000,0.929022,0.000000,1.092423,1.853390,0.000000,4.072013,0,0,0,0,0

4,00:45-01:00,2.301331,4.068498,17.436898,8.798246,0.000000,20.466632,0.000000,117.887847,0.000000,46.773830,0.000000,62.541305,1.277401,33.799151,3.938161,581.559653,41.077314,80.560066,0.000000,41.431122,0.000000,5.427290,0.000000,44.767769,1.014603,0.000000,0.000000,5.151506,0.000000,0.000000,658.326256,49.651177,54.814796,92.331090,0.000000,0.000000,128.969983,44.701835,32.256539,0.000000,123.684601,40.036901,0.00,3.358207,0.000000,0.000000,17.086660,2.92,0.000000,1.693819,1.788485,3.44,2.270088,0.19,191.737462,1.311170,4.790601,141.797521,19.860198,1.87,1.874035,7.53,1.283197,2.839546,1.866966,2.10,0.000000,1.76,0.000000,0.000000,2.566393,0.000000,8.98,1.269510,0.23,0.000000,0.88,0.000000,30.390654,0.87,3.64,4.106229,1.78,14.443459,0.76,1.94,0.000000,0.929022,0.000000,1.092423,1.853390,0.000000,4.072013,0,0,0,0,0

5,01:00-01:15,2.301331,4.068498,17.436898,8.798246,0.000000,20.466632,0.000000,117.887847,0.000000,51.025997,0.000000,62.541305,0.638700,33.797790,3.938161,581.559653,41.077314,80.560066,0.000000,20.715561,0.000000,5.427290,0.000000,44.767769,1.014603,0.000000,0.000000,3.434338,0.000000,0.000000,599.675758,49.651177,54.814796,92.331090,0.000000,0.000000,128.969983,44.701835,32.256539,0.000000,123.684601,40.036901,0.00,3.358207,0.000000,0.000000,16.721721,2.92,0.000000,1.693819,1.788485,3.44,2.270088,0.19,191.737462,1.311170,4.843409,141.797521,19.860198,1.87,1.874035,7.53,1.283197,2.839546,1.866966,2.10,0.000000,1.76,0.000000,0.000000,2.566393,0.000000,8.98,1.269510,0.23,0.000000,0.88,0.000000,30.390654,0.87,3.64,4.106229,1.78,14.443459,0.76,1.94,0.000000,0.929022,0.000000,1.092423,1.853390,0.000000,4.072013,0,0,0,0,0

