Block,Time,DHAULIGNGA,JHAJJAR,KISHANGANGA,RAPPB,TEHRI,ANTA_CRF,AURY_CRF,AURY_GF,DADRI_GF,CHAMERA2,DADRT2,KKNPPU2,NAPP,SASAN,UNCHAHAR1,UNCHAHAR3,URI2,DULHASTI,KHSTPP-I,KHSTPP-II,NLCIIST1,SIMHST1,SINGRAULI,TALST2,ANTA_RF,AURY_RF,KUDGI,PARBATI3,RIHAND2,UNCHAHAR2,UNCHAHAR4,CHAMERA3,KKNP,RIHAND1,SEWA2,TANAKPUR,URI,VALLURNTECL,ANTA_GF,AURY_LF,DADRI_LF,DADRI_RF,BSIUL,KGSU1AND2,KOLDAM,MAPS,NJPC,RSTPSU7,TALA,TelanganaSTPP,BRBCL,KOTESHWR,NTPL,RAMPUR,RIHAND3,RSTPSU1TO6,SALAL,SIMHST2,SINGRAULI_HYDRO,ANTA_LF,CHAMERA1,FSTPP I & II,KGSU3AND4,NLCEXP,NLCIIST2,NLCTS2EXP,NNTPP,RAPPC,TANDA2,DADRI_CRF
1,00:00-00:15,0,654.31,0,0,0,0,0,0,0,0,683.14,0,43.57,405,20.56,26.39,4.44,16.48,45.22,98.87,0,0,123,0,29.93,70.59,0,0,118.76,27.97,0,0,0,92,0,8.33,26.49,0,0,0,22.47,67.95,0,0,0,0,0,0,0,0,20,8.87,0,0,124.32,0,1.4,0,0,0,0,18.2,0,0,0,0,0,54.06,0,0

2,00:15-00:30,0,654.31,0,0,0,0,0,0,0,0,683.14,0,43.57,405,20.56,26.39,18.83,16.48,45.22,98.87,0,0,123,0,29.93,70.59,0,0,118.76,24.62,0,0,0,92,0,8.33,26.49,0,0,0,22.47,67.95,0,0,0,0,0,0,0,0,20,8.87,0,0,124.32,0,1.4,0,0,0,0,18.2,0,0,0,0,0,54.06,0,0

3,00:30-00:45,0,654.31,0,0,0,0,0,0,0,0,683.14,0,43.57,405,20.56,26.39,18.83,16.48,45.22,98.87,0,0,123.75,0,29.93,70.59,0,0,118.76,21.19,0,0,0,92,0,8.33,26.49,0,0,0,22.47,67.95,0,0,0,0,0,0,0,0,20,8.87,0,0,124.32,0,1.4,0,0,0,0,18.2,0,0,0,0,0,54.06,0,0

4,00:45-01:00,0,654.31,0,0,0,0,0,0,0,0,683.14,0,43.57,405,20.56,26.39,18.83,16.48,45.22,98.87,0,0,123.75,0,29.93,70.59,0,0,118.76,21.19,0,0,0,92,0,2.56,3.31,0,0,0,22.47,67.95,0,0,0,0,0,0,0,0,20,8.87,0,0,124.32,0,1.4,0,0,0,0,18.2,0,0,0,0,0,54.06,0,0

5,01:00-01:15,0,654.31,0,0,0,0,0,0,0,0,683.14,0,43.57,405,20.56,26.39,18.83,16.48,45.22,98.87,0,0,123.75,0,29.93,70.59,0,0,118.76,21.19,0,0,0,92,0,2.56,1.66,0,0,0,22.47,67.95,0,0,0,0,0,0,0,0,20,8.87,0,0,124.32,0,1.4,0,0,0,0,18.2,0,0,0,0,0,54.06,0,0

6,01:15-01:30,0,654.31,0,0,0,0,0,0,0,0,683.14,0,43.57,405,20.56,26.39,18.83,16.48,45.22,98.87,0,0,123.75,0,29.93,70.59,0,0,118.76,21.19,0,0,0,92,0,2.56,1.66,0,0,0,22.47,67.95,0,0,0,0,0,0,0,0,20,8.87,0,0,124.32,0,1.4,0,0,0,0,18.2,0,0,0,0,0,54.06,0,0

7,01:30-01:45,0,654.31,0,0,0,0,0,0,0,0,683.14,0,43.57,405,20.56,26.39,18.83,0,45.22,98.87,0,0,123.75,0,29.93,70.59,0,0,118.76,21.19,0,0,0,92,0,2.56,1.66,0,0,0,22.47,67.95,0,0,0,0,0,0,0,0,20,8.87,0,0,124.32,0,1.4,0,0,0,0,18.2,0,0,0,0,0,54.06,0,0

8,01:45-02:00,0,654.31,0,0,0,0,0,0,0,0,683.14,0,43.57,405,20.56,26.39,4.44,0,45.22,98.87,0,0,123.75,0,29.93,70.59,0,0,118.76,21.19,0,0,0,92,0,2.56,1.66,0,0,0,22.47,67.95,0,0,0,0,0,0,0,0,20,8.87,0,0,124.32,0,1.4,0,0,0,0,18.2,0,0,0,0,0,54.06,0,0

9,02:00-02:15,0,654.31,0,0,0,0,0,0,0,0,683.14,0,43.57,405,20.56,26.39,4.44,0,45.22,98.87,0,0,123.75,0,29.93,70.59,0,0,118.76,21.19,0,0,0,92,0,0.51,1.33,0,0,0,22.47,67.95,0,0,0,0,0,0,0,0,20,8.87,0,0,124.32,0,1.4,0,0,0,0,18.2,0,0,0,0,0,54.06,0,0

10,02:15-02:30,0,654.31,0,0,0,0,0,0,0,0,683.14,0,43.57,405,20.56,26.39,4.44,0,45.22,98.87,0,0,123.75,0,29.93,70.59,0,0,118.76,21.19,0,0,0,92,0,0.51,1.33,0,0,0,22.47,67.95,0,0,0,0,0,0,0,0,20,8.87,0,0,124.32,0,1.4,0,0,0,0,18.2,0,0,0,0,0,54.06,0,0

11,02:30-02:45,0,654.31,0,0,0,0,0,0,0,0,683.14,0,43.57,405,20.56,26.39,4.44,0,45.22,98.87,0,0,123.75,0,29.93,70.59,0,0,118.76,21.19,0,0,0,92,0,0.51,1.33,0,0,0,22.47,67.95,0,0,0,0,0,0,0,0,20,8.87,0,0,124.32,0,1.4,0,0,0,0,18.2,0,0,0,0,0,54.06,0,0

12,02:45-03:00,0,654.31,0,0,0,0,0,0,0,0,683.14,0,43.57,405,20.56,26.39,4.44,0,45.22,98.87,0,0,123.75,0,29.93,70.59,0,0,118.76,21.19,0,0,0,92,0,0.51,1.33,0,0,0,22.47,67.95,0,0,0,0,0,0,0,0,20,8.87,0,0,124.32,0,1.4,0,0,0,0,18.2,0,0,0,0,0,54.06,0,0

