Column1,Block,GNA/SR/2025/02/01/7432,GNA/WR/2025/01/01/9606,GNA/SR/2025/02/01/6460,GNA/WR/2024/11/01/4200,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/01/9969,GNA/NR/2025/02/01/4863,NR/30092023/31122025/SH-07,GNA/WR/2025/01/01/8625,ER/2025/15683/A/51791,NER/2025/2918/A/51793,WR/2025/26047/A/51796,NR/2024/24418/A/51567,NR/2025/25070/A/51790,NR/2025/24882/A/51576,NR/2025/24992/A/51575,NR/2025/25106/C,NR/2025/25107/C,Total
,,APPCPL,APPCPL,APPCPL,MANIKARAN,DELHI,PUNJAB,NDMC,NDMC,NDMC,NDMC,NDMC,BAWANA_GAS,TPTCL,APPCPL,APPCPL,APPCPL,ITCLH,NVVNL,IEXL,IEXL,SJVNL,SJVNL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,NA,NA,NA,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,NA,TELANGANA_State,KARNATAKA_STATE,NA,NA,
,,BYPL,BYPL,BYPL,BRPL,CHANJUII,BAWANA_GAS,RKM_POWER,RKM_POWER,TRN_ENERGY,JPL2,SKS_Raigarh,BAWANA_GAS,BYPL,BYPL,BYPL,BRPL,ITCWIND,JIPL,NSLKSLWPRTY,NSLSUGARALAND,RSRPL_BKN,TPSL_BKN2,
,,KERALA_State,MSEB_State,KERALA_State,MSEB_State,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,MSEB_State,SIKKIM_STATE,Manipur_State,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,KSEB,AEML,KSEB,AEML,TPDDL,PUNJAB,NDMC,NDMC,NDMC,NDMC,NDMC,HARYANA,TPC_MSEB,SIKKIM,Manipur_Ben,GOA_Beneficiary,ITCLH,NDMC,MES_Delhi,MES_Delhi,NDMC,NDMC,
,,North-West-South,North-West,North-West-South,North-West,North-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,North-West,North-East,North-East-North East,North-West,South-West-North,East-North,South-West-North,South-West-North,North-North,North-North,
1,00:00-00:15,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.38,17.31,2.88,6.73,0,0,260.62

2,00:15-00:30,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.38,17.31,2.88,6.73,0,0,260.62

3,00:30-00:45,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.38,17.31,2.88,6.73,0,0,260.62

4,00:45-01:00,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.38,17.31,2.88,6.73,0,0,260.62

