Column1,Block,NR/2025/25667/C,NR/2025/25668/C,NR/2025/25518/A/58983,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/1906,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/9482,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/3469,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2025/03/01/7500,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/6891,GNA/WR/2025/03/01/6406,NR/30092023/26122029/SH-06,WR/2025/26499/A/59203,GNA/NR/2025/03/01/2563,NR/2025/25159/A/58843,WR/2025/26426/A/58939,WR/2025/26427/A/58940,WR/2025/26582/A/59201,NR/2025/25516/A/58979,NR/2025/25517/A/58987,GNARE/NR/2024/12/20/3668,Total
,,SJVNL,SJVNL,OIDLWM3_AEROCITY,PTC,NDMC,BAWANA_GAS,NDMC,TPTCL,NDMC,NDMC,NDMC,DELHI,APPCPL,APPCPL,PTC,APPCPL,PUNJAB,APPCPL,NDMC,ITCLH,KEIPL,KEIPL,APPCPL,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,SECI_Trader,
,,NA,NA,NA,DELHI_UT,NA,DELHI_UT,NA,DELHI_UT,NA,NA,NA,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,ANDHRA_PRADESH_STATE,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,NA,
,,TPSL_BKN2,RSRPL_BKN,TCSPL_BKN2,BRPL,JPL2,BAWANA_GAS,JIPL,BYPL,SKS_Raigarh,RKM_POWER,TRN_ENERGY,CHANJUII,BYPL,BYPL,BYPL,BRPL,BAWANA_GAS,BRPL,RKM_POWER,ITCWIND,BYPL,BRPL,BRPL,TCSPL_BKN2,TCSPL_BKN2,APSEPL_FTG,
,,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,MSEB_State,HIMACHAL_STATE,MSEB_State,PUNJAB_STATE,MSEB_State,DELHI_UT,DELHI_UT,CSEB_State,CSEB_State,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,OIDLWM3_AEROCITY,HP,NDMC,HARYANA,NDMC,TPC_MSEB,NDMC,NDMC,NDMC,TPDDL,KSEB,AEML,HP,AEML,PUNJAB,AEML,NDMC,ITCLH,CSEB_Beneficiary,CSEB_Beneficiary,CSEB_Beneficiary,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,TPDDL,
,,North-North,North-North,North-North,North-North,West-North,North-North,East-North,North-West,West-North,West-North,West-North,North-North,North-West-South,North-West,North-North,North-West,North-North,North-West,West-North,South-West-North,North-West,North-West,North-West,North-North,North-North,North-North,
1,00:00-00:15,0,0,0,190.26,23.31,32,17.28,0,6.72,23.31,8.64,3.68,200,0,63.42,42,32,0,23.31,0.43,167.53,24,24,0,0,0,881.8899999999999

2,00:15-00:30,0,0,0,190.26,23.31,32,17.28,0,6.72,23.31,8.64,3.68,200,0,63.42,42,32,0,23.31,0.43,167.53,24,24,0,0,0,881.8899999999999

3,00:30-00:45,0,0,0,190.26,23.31,32,17.28,0,6.72,23.31,8.64,3.68,200,0,63.42,42,32,0,23.31,0.43,167.53,24,24,0,0,0,881.8899999999999

4,00:45-01:00,0,0,0,190.26,23.31,32,17.28,0,6.72,23.31,8.64,3.68,200,0,63.42,42,32,0,23.31,0.43,167.53,24,24,0,0,0,881.8899999999999

5,01:00-01:15,0,0,0,190.26,23.31,32,17.28,0,6.72,23.31,8.64,3.68,200,0,63.42,42,32,0,23.31,0.43,167.53,24,24,0,0,0,881.8899999999999

6,01:15-01:30,0,0,0,190.26,23.31,32,17.28,0,6.72,23.31,8.64,3.68,200,0,63.42,42,32,0,23.31,0.43,167.53,24,24,0,0,0,881.8899999999999

7,01:30-01:45,0,0,0,190.26,23.31,32,17.28,0,6.72,23.31,8.64,3.68,200,0,63.42,42,25.71,0,23.31,0.43,167.53,24,24,0,0,0,875.5999999999999

8,01:45-02:00,0,0,0,190.26,23.31,32,17.28,0,6.72,23.31,8.64,3.68,200,0,63.42,42,25.71,0,23.31,0.43,167.53,24,24,0,0,0,875.5999999999999

9,02:00-02:15,0,0,0,190.26,23.31,32,17.28,0,6.72,23.31,8.64,3.68,0,0,63.42,42,25.71,0,23.31,0.43,167.53,24,24,0,0,0,675.6

10,02:15-02:30,0,0,0,190.26,23.31,32,17.28,0,6.72,23.31,8.64,3.68,0,0,63.42,42,25.71,0,23.31,0.43,167.53,24,24,0,0,0,675.6

11,02:30-02:45,0,0,0,190.26,23.31,32,17.28,0,6.72,23.31,8.64,3.68,0,0,63.42,42,25.71,0,23.31,0.43,167.53,24,24,0,0,0,675.6

12,02:45-03:00,0,0,0,190.26,23.31,32,17.28,0,6.72,23.31,8.64,3.68,0,0,63.42,42,25.71,0,23.31,0.43,167.53,24,24,0,0,0,675.6

13,03:00-03:15,0,0,0,190.26,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,63.42,42,25.71,0,23.31,0.43,167.53,24,24,0,0,0,675.5

14,03:15-03:30,0,0,0,190.26,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,63.42,42,25.71,0,23.31,0.43,167.53,24,24,0,0,0,675.5

15,03:30-03:45,0,0,0,190.26,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,63.42,42,25.71,0,23.31,0.43,167.53,24,24,0,0,0,675.5

16,03:45-04:00,0,0,0,190.26,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,63.42,42,25.71,0,23.31,0.43,167.53,24,24,0,0,0,675.5

17,04:00-04:15,0,0,0,190.26,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,63.42,42,25.71,0,23.31,0.43,167.53,24,24,0,0,0,675.5

18,04:15-04:30,0,0,0,190.26,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,63.42,42,25.71,0,23.31,0.43,167.53,24,24,0,0,0,675.5

19,04:30-04:45,0,0,0,190.26,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,63.42,42,32,0,23.31,0.43,167.53,24,24,0,0,0,681.7900000000001

