Block,Time,L_NR_2019_11,L_NR_2012_04,L_NR_2012_07,L_NR_2019_06,L_NR_2019_07,L_NR_2020_02,SH-06,L_NR_2018_61,LT-31,L_NR_2022_09,L_NR_2022_08,L_NR_2023_04,LT-35,L_NR_2012_02,LT-59,LT-05,LT-36,L_NR_2012_01,SH-07,L_NR_2020_06,L_NR_2019_05,L_NR_2022_10,L_NR_2020_05,L_NR_2019_19,L_NR_2020_07,L_NR_2023_07,L_NR_2021_14,L_NR_2021_12,L_NR_2021_17,L_NR_2021_13,L_NR_2023_10,L_NR_2021_16,L_NR_2021_15
1,00:00-00:15,10.780000,272.050000,74.170000,0,0,10.700000,30.950000,23.6,0.000000,53.1,15.22,29.660000,0.000000,223.450000,10.390000,116.090000,0.000000,81.700000,30.950000,23.72,0,53.1,71.16,0,23.72,0,0,0,0,0,0,0,0

2,00:15-00:30,10.780000,272.050000,74.170000,0,0,10.700000,30.950000,23.52,0.000000,53.4,15.55,29.660000,0.000000,223.450000,10.390000,116.090000,0.000000,81.700000,30.950000,23.55,0,53.4,70.66,0,23.56,0,0,0,0,0,0,0,0

3,00:30-00:45,10.780000,272.050000,74.170000,0,0,10.700000,30.950000,23.16,0.000000,49.11,14.88,29.660000,0.000000,223.450000,10.390000,116.090000,0.000000,81.700000,30.950000,17.05,0,49.11,51.16,0,17.06,0,0,0,0,0,0,0,0

4,00:45-01:00,10.780000,272.050000,74.170000,0,0,10.700000,30.950000,23,0.000000,49.6,15.2,29.660000,0.000000,223.450000,10.390000,116.090000,0.000000,81.700000,30.950000,17.94,0,49.6,53.83,0,17.94,0,0,0,0,0,0,0,0

5,01:00-01:15,10.780000,272.050000,74.170000,0,0,10.510000,30.950000,23.05,0.000000,50.29,15.17,29.660000,0.000000,223.450000,10.390000,116.090000,0.000000,81.700000,30.950000,18.27,0,50.29,54.83,0,18.28,0,0,0,0,0,0,0,0

6,01:15-01:30,10.780000,272.050000,74.170000,0,0,10.510000,30.950000,23.38,0.000000,50.92,15.62,29.660000,0.000000,223.450000,10.390000,116.090000,0.000000,81.700000,30.950000,17.94,0,50.92,53.83,0,17.94,0,0,0,0,0,0,0,0

7,01:30-01:45,10.780000,272.050000,74.170000,0,0,10.510000,30.950000,23.27,0.000000,51.02,16.26,29.660000,0.000000,223.450000,10.390000,116.090000,0.000000,81.700000,30.950000,17.66,0,51.02,52.99,0,17.66,0,0,0,0,0,0,0,0

