Column1,Time,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,GNA/NR/2024/10/04/7808,NR/01102023/30042040/GNA_LT_35,NR/01102023/22052037/LT-59,GNA/NR/2024/10/04/5483,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/08032047/L_NR_2021_14,WR/01102023/30052048/L_NR_2022_10,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2022_09,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/01/3642,NR/01102023/19072037/LT-05,GNA/NR/2024/10/01/6101,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/10/04/6455,GNA/NR/2024/10/04/3394,NR/01102023/31102037/L_NR_2019_11,NR/30092023/26122029/SH-06,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/10/01/4083,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/8106
1,00:00-00:15,15.81,0,0,0,31.67,95,0,0,4.98,218.41,0,88.06,0,76.67,0,76.67,0,0,0,0,30.34,0,31.66,0,0,6.74,12.45,39.62,115.54,39.62,31.29,0,0,4.61,32,273.25,87.17,0,4.46,54.36,262.38,32,39.62,12.45

2,00:15-00:30,15.41,0,0,0,31.33,94,0,0,4.98,221.31,0,88.06,0,76.67,0,76.67,0,0,0,0,30,0,31.34,0,0,6.74,12.45,39.62,115.54,39.62,31.29,0,0,4.61,32,273.25,87.17,0,4.46,54.36,262.38,32,39.62,12.45

3,00:30-00:45,14.61,0,0,0,31,93,0,0,4.98,222.27,0,88.06,0,76.67,0,76.67,0,0,0,0,30,0,31,0,0,6.74,12.45,39.62,115.54,39.62,31.29,0,0,4.61,14.68,273.25,87.17,0,4.46,54.36,262.38,14.68,39.62,12.45

4,00:45-01:00,14.01,0,0,0,30.67,92,0,0,4.98,225.17,0,88.06,0,76.67,0,76.67,0,0,0,0,29.66,0,30.66,0,0,6.74,12.45,39.62,115.54,39.62,31.29,0,0,4.61,14.68,273.25,87.17,0,4.46,54.36,262.38,14.68,39.62,12.45

5,01:00-01:15,13.41,0,0,0,30.33,91,0,0,4.98,0,0,88.06,0,76.67,0,76.67,0,0,0,0,29.34,0,30.34,0,0,6.64,12.45,37.33,115.54,37.33,31.29,0,0,4.61,16.78,273.25,87.17,0,4.32,54.36,262.38,16.78,37.33,12.45

6,01:15-01:30,13.01,0,0,0,30,90,0,0,4.98,0,0,88.06,0,76.67,0,76.67,0,0,0,0,29,0,30,0,0,6.64,12.45,37.33,115.54,37.33,31.29,0,0,4.61,16.78,273.25,87.17,0,4.32,54.36,262.38,16.78,37.33,12.45

7,01:30-01:45,12.21,0,0,0,30,90,0,0,4.98,0,0,88.06,0,76.33,0,76.33,0,0,0,0,26.34,0,30,0,0,6.64,12.45,37.33,115.54,37.33,31.29,0,0,4.61,16.78,273.25,87.17,0,4.32,54.36,262.38,16.78,37.33,12.45

8,01:45-02:00,11.61,0,0,0,30,90,0,0,4.98,0,0,88.06,0,76,0,76,0,0,0,0,26.34,0,30,0,0,6.64,12.45,37.33,107.02,37.33,31.29,0,0,4.61,16.78,273.25,87.17,0,4.32,54.36,262.38,16.78,37.33,12.45

9,02:00-02:15,10.4,0,0,0,30,90,0,0,4.98,0,0,88.06,0,67,0,67,0,0,0,0,26.34,0,30,0,0,6.64,12.45,37.33,98.5,37.33,31.29,0,0,4.61,16.78,273.25,87.17,0,4.32,54.36,262.38,16.78,37.33,12.45

10,02:15-02:30,9.4,0,0,0,30,90,0,0,4.98,0,0,88.06,0,66,0,66,0,0,0,0,26.34,0,30,0,0,6.64,12.45,37.33,70.46,37.33,31.29,0,0,4.61,16.78,273.25,87.17,0,4.32,54.36,262.38,16.78,37.33,12.45

11,02:30-02:45,9.4,0,0,0,25.67,77,0,0,4.98,0,0,88.06,0,67.67,0,67.67,0,0,0,0,23.66,0,25.66,0,0,6.64,12.45,37.33,70.46,37.33,31.29,0,0,4.61,16.78,273.25,87.17,0,4.32,54.36,262.38,16.78,37.33,12.45

12,02:45-03:00,8.8,0,0,0,25.5,76.5,0,0,4.98,0,0,88.06,0,67.33,0,67.33,0,0,0,0,23,0,25.5,0,0,6.64,12.45,37.33,70.46,37.33,31.29,0,0,4.61,16.78,273.25,87.17,0,4.32,54.36,262.38,16.78,37.33,12.45

13,03:00-03:15,8.6,0,0,0,25.67,77,0,0,4.82,0,0,88.06,0,60.67,0,60.67,0,0,0,0,18.34,0,25.66,0,0,6.6,12.45,37.33,70.46,37.33,31.29,0,0,4.46,16.78,273.25,87.17,0,4.18,54.36,262.38,16.78,37.33,12.45

14,03:15-03:30,8.4,0,0,0,25.83,77.5,0,0,4.82,0,0,88.06,0,60.67,0,60.67,0,0,0,0,18,0,25.84,0,0,6.6,12.45,37.33,70.46,37.33,31.29,0,0,4.46,16.78,273.25,87.17,0,4.18,54.36,262.38,16.78,37.33,12.45

15,03:30-03:45,7.4,0,0,0,25.83,77.5,0,0,4.82,0,0,88.06,0,60.67,0,60.67,0,0,0,0,17.66,0,25.84,0,0,6.6,12.45,37.33,70.46,37.33,31.29,0,0,4.46,16.78,273.25,87.17,0,4.18,54.36,262.38,16.78,37.33,12.45

16,03:45-04:00,7,0,0,0,26.17,78.5,0,0,4.82,0,0,88.06,0,60.67,0,60.67,0,0,0,0,17.66,0,26.16,0,0,6.6,12.45,37.33,70.46,37.33,31.29,0,0,4.46,16.78,273.25,87.17,0,4.18,54.36,244.09,16.78,37.33,12.45

17,04:00-04:15,7,0,0,0,26.33,79,0,0,4.82,0,0,72.48,0,61,0,61,0,0,0,0,17.66,0,26.34,0,0,6.6,12.45,37.33,70.46,37.33,31.29,0,0,4.46,16.78,273.25,87.17,0,4.18,54.36,227.66,16.78,37.33,12.45

18,04:15-04:30,7,0,0,0,26.33,79,0,0,4.82,0,0,75.38,0,61.33,0,61.33,0,0,0,0,17.34,0,26.34,0,0,6.6,12.45,37.33,70.46,37.33,31.29,0,0,4.46,16.78,273.25,75.66,0,4.18,54.36,227.66,16.78,37.33,12.45

19,04:30-04:45,7,0,0,0,26.67,80,0,0,4.82,0,0,65.72,0,65.33,0,65.33,0,0,0,0,20.66,0,26.66,0,0,6.6,12.45,37.33,70.46,37.33,31.29,0,0,4.46,16.78,273.25,75.66,0,4.18,54.36,227.66,16.78,37.33,12.45

20,04:45-05:00,7,0,0,0,26.83,80.5,0,0,4.82,0,0,61.85,0,65.33,0,65.33,0,0,0,0,20.66,0,26.84,0,0,6.6,12.45,37.33,70.46,37.33,31.29,0,0,4.46,16.78,273.25,75.66,0,4.18,54.36,227.66,16.78,37.33,12.45

21,05:00-05:15,7,0,0,0,26.83,80.5,0,0,4.67,0,0,56.05,0,65,0,65,0,0,0,0,20.66,0,26.84,0,0,6.6,12.45,37.33,70.46,37.33,31.29,0,0,4.3,16.78,273.25,75.66,0,4.04,54.36,227.66,16.78,37.33,12.45

22,05:15-05:30,7,0,0,0,26.83,80.5,0,0,4.67,0,0,65.72,0,64.67,0,64.67,0,0,0,0,20.66,0,26.84,0,0,6.6,12.45,37.33,70.46,37.33,31.29,0,0,4.3,16.78,273.25,75.66,0,4.04,54.36,227.66,16.78,37.33,12.45

23,05:30-05:45,7,0,0,0,26.83,80.5,0,0,4.67,0,0,53.15,0,64.33,0,64.33,0,0,0,0,23.66,0,26.84,0,0,6.6,12.45,37.33,70.46,37.33,31.29,0,0,4.3,16.78,273.25,75.66,0,4.04,54.36,227.66,16.78,37.33,12.45

24,05:45-06:00,7,0,0,0,26.67,80,0,0,4.67,0,0,53.15,0,63.67,0,63.67,0,0,0,0,24,0,26.66,0,0,6.6,12.45,37.33,70.46,37.33,31.29,0,0,4.3,16.78,273.25,75.66,0,4.04,54.36,227.66,16.78,37.33,12.45

