Block,Time Block,BRBCL,CHAMERA1,BSIUL,CHAMERA2,CHAMERA3,NTPL,PARBATI3,PARBATI2,UNCHAHAR3,UNCHAHAR2,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,ANTA_LF,ANTA_GF,ANTA_CRF,DHAULIGNGA,DADRT2,DULHASTI,FSTPP I & II,JHAJJAR,KGSU1AND2,KGSU3AND4,KHSTPP-II,KHSTPP-I,KKNP,KKNPPU2,KISHANGANGA,KOLDAM,KOTESHWR,KUDGI,MAPS,NLCEXP,NJPC,NAPP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,RAPPC,RAPPB,RAPPD,RAMPUR,RSTPSU7,RIHAND3,RIHAND2,RIHAND1,RSTPSU1TO6,SIMHST2,SALAL,SEWA2,SASAN,SIMHST1,AURY_GF,DADRI_CRF,AURY_CRF,AURY_RF,ANTA_RF,AURY_LF,DADRI_RF,DADRI_LF,DADRI_GF,SINGRAULI_HYDRO,SINGRAULI,TALA,TALST2,TANDA2,TANAKPUR,TelanganaSTPP,TEHRI,URI2,URI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,18.25,40.68,6.29,47.11,22.52,0,37.03,27.57,19.01,33.27,14.76,0.82,0,0,0,0,10.57,6.97,56.65,12.82,113.87,0,0,113.58,28.98,0,0,8.33,4.62,20.12,0,0,0,139.46,0,0,0,0,0,66.17,0,25.64,5.54,0,84.99,88.77,53.81,0,0,81.31,12.17,399.59,0,0,0,0,0,0,0,0,0,0,1.14,140.7,13.99,0,2.93,2.36,0,28.12,36.77,49.02,0,0,0,0,0

2,00:15-00:30,14.9,40.68,6.29,47.11,22.52,0,37.03,27.57,19.01,33.27,14.76,0.82,0,0,0,0,10.57,6.97,56.65,12.82,113.87,0,0,113.58,28.98,0,0,8.33,4.62,20.12,0,0,0,139.46,0,0,0,0,0,66.17,0,25.64,5.54,0,84.99,88.77,53.81,0,0,81.31,6.08,399.59,0,0,0,0,0,0,0,0,0,0,1.14,140.7,13.99,0,2.93,2.36,0,28.12,36.77,49.02,0,0,0,0,0

3,00:30-00:45,12.32,40.68,6.29,47.11,22.52,0,37.91,27.57,19.01,33.27,14.76,0.82,0,0,0,0,10.57,6.97,56.65,12.82,113.87,0,0,113.58,28.98,0,0,8.33,4.62,20.12,0,0,0,139.46,0,0,0,0,0,66.17,0,25.64,5.54,0,84.99,88.77,53.81,0,0,81.31,6.08,399.59,0,0,0,0,0,0,0,0,0,0,1.14,140.7,16.75,0,2.93,2.36,0,28.12,36.77,49.02,0,0,0,0,0

4,00:45-01:00,11.62,40.68,6.29,47.11,22.52,0,37.91,27.57,19.01,33.5,14.76,0.82,0,0,0,0,10.57,6.97,56.65,12.82,113.87,0,0,113.58,28.98,0,0,8.33,4.62,20.12,0,0,0,139.46,0,0,0,0,0,66.17,0,25.64,5.54,0,84.99,88.77,53.81,0,0,81.31,6.08,399.59,0,0,0,0,0,0,0,0,0,0,1.14,140.7,16.75,0,2.93,2.36,0,28.12,36.77,49.02,0,0,0,0,0

5,01:00-01:15,10.85,40.68,6.29,47.11,22.52,0,37.91,27.57,19.01,33.5,14.76,0.82,0,0,0,0,10.57,6.97,56.65,12.82,113.87,0,0,113.58,29.47,0,0,8.33,4.62,20.12,0,0,0,139.46,0,0,0,0,0,66.17,0,25.64,5.54,0,84.99,88.77,53.81,0,0,81.31,6.08,399.59,0,0,0,0,0,0,0,0,0,0,1.14,140.7,16.75,0,2.93,2.36,0,28.12,36.77,49.02,0,0,0,0,0

6,01:15-01:30,11.16,40.68,6.29,47.11,22.52,0,37.91,27.57,15.01,26.59,10.95,0.82,0,0,0,0,10.57,6.97,56.65,12.82,113.87,0,0,113.58,29.47,0,0,8.33,4.62,20.12,0,0,0,139.46,0,0,0,0,0,66.17,0,25.64,5.54,0,84.99,88.77,53.81,0,0,81.31,6.08,399.59,0,0,0,0,0,0,0,0,0,0,1.14,140.7,16.75,0,2.93,2.36,0,28.12,36.77,49.02,0,0,0,0,0

7,01:30-01:45,12.73,40.68,6.29,47.11,22.52,0,32.59,27.57,13.17,23.76,10.37,0.97,0,0,0,0,10.57,6.97,56.65,10.89,113.87,0,0,113.58,29.47,0,0,8.33,4.62,20.12,0,0,0,139.46,0,0,0,0,0,66.17,0,25.64,5.54,0,84.99,88.77,39.11,0,0,81.31,6.08,399.59,0,0,0,0,0,0,0,0,0,0,1.14,123.62,16.75,0,2.93,2.36,0,28.12,36.77,49.02,0,0,0,0,0

8,01:45-02:00,12.4,40.68,6.29,47.11,22.52,0,32.59,27.57,13.17,23.76,10.37,0.97,0,0,0,0,10.57,6.97,56.65,10.89,113.87,0,0,113.58,29.47,0,0,8.33,4.62,20.12,0,0,0,106.82,0,0,0,0,0,66.17,0,25.64,4.25,0,84.99,88.77,39.11,0,0,81.31,5.39,399.59,0,0,0,0,0,0,0,0,0,0,1.14,123.62,16.75,0,2.93,2.36,0,28.12,36.77,49.02,0,0,0,0,0

9,02:00-02:15,11.63,24.4,12.59,47.11,22.52,0,32.59,27.57,13.17,23.76,10.37,0.97,0,0,0,0,10.57,6.97,56.65,10.02,113.87,0,0,113.58,27.21,0,0,8.33,4.62,20.12,0,0,0,80.1,0,0,0,0,0,66.17,0,25.64,3.19,0,84.99,88.77,39.11,0,0,81.31,5.03,399.59,0,0,0,0,0,0,0,0,0,0,1.14,123.62,17.31,0,2.93,2.36,0,28.12,36.77,50.08,0,0,0,0,0

10,02:15-02:30,11.28,24.4,12.59,47.11,22.52,0,22.22,27.57,13.17,23.76,10.37,0.97,0,0,0,0,10.57,6.97,56.65,10.02,113.87,0,0,113.58,27.21,0,0,8.33,4.62,20.12,0,0,0,80.1,0,0,0,0,0,66.17,0,25.64,3.19,0,84.99,88.77,39.11,0,0,81.31,0,399.59,0,0,0,0,0,0,0,0,0,0,1.14,123.62,17.31,0,2.93,2.36,0,28.12,36.77,50.08,0,0,0,0,0

11,02:30-02:45,11.2,24.4,12.59,47.11,22.52,0,22.22,27.57,17.25,26.6,15.14,0.97,0,0,0,0,10.57,6.97,56.65,13.18,113.87,0,0,113.58,26.43,0,0,8.33,4.62,20.12,0,0,0,80.1,0,0,0,0,0,66.17,0,25.64,3.19,0,84.99,88.77,39.11,0,0,81.31,0,399.59,0,0,0,0,0,0,0,0,0,0,1.14,123.62,18.17,0,2.93,2.36,0,28.12,36.77,50.08,0,0,0,0,0

12,02:45-03:00,13.8,24.4,12.59,47.11,22.52,0,22.22,27.57,19.11,33.51,15.14,0.97,0,0,0,0,10.57,6.97,56.65,13.18,113.87,0,0,113.58,26.43,0,0,8.33,4.62,20.12,0,0,0,80.1,0,0,0,0,0,66.17,0,25.64,3.19,0,84.99,63.62,22.79,0,0,81.31,0,399.59,0,0,0,0,0,0,0,0,0,0,1.14,123.62,18.17,0,2.93,2.36,0,28.12,36.77,50.08,0,0,0,0,0

