Block,Time,DADRT2,KGSU1AND2,NAPP,NJPC,NLCEXP,NLCTS2EXP,AURY_CRF,AURY_RF,KHSTPP-I,KKNP,KUDGI,MAPS,PARBATI3,SALAL,SEWA2,TANDA2,AURY_LF,DHAULIGNGA,DULHASTI,JHAJJAR,KHSTPP-II,NNTPP,RAPPC,SINGRAULI,UNCHAHAR4,ANTA_CRF,ANTA_RF,KOLDAM,RIHAND2,SIMHST1,SIMHST2,TALA,TALST2,TelanganaSTPP,ANTA_LF,DADRI_RF,CHAMERA3,KGSU3AND4,RAMPUR,RAPPB,UNCHAHAR1,UNCHAHAR2,ANTA_GF,RIHAND1,RSTPSU1TO6,URI2,DADRI_CRF,CHAMERA2,FSTPP I & II,KISHANGANGA,KOTESHWR,NLCIIST1,NLCIIST2,RSTPSU7,SINGRAULI_HYDRO,URI,BRBCL,BSIUL,CHAMERA1,KKNPPU2,NTPL,RIHAND3,SASAN,TANAKPUR,TEHRI,UNCHAHAR3,VALLURNTECL,AURY_GF,DADRI_GF,DADRI_LF
1,00:00-00:15,683.14,0,43.68,0,0,0,0,53.76,33.69,0,0,0,0,1.4,0,0,0,0,16.48,654.3,98.87,0,53.3,125.96,0,0,44.83,0,118.75,0,0,0,0,0,0,69.05,0,0,0,0,10.27,42.39,0,92,0,4.31,0,0,20.8,0,8.88,0,0,0,0,1.11,20,0,0,0,0,124.32,348.98,5.76,0,26.39,0,0,0,23.57

2,00:15-00:30,683.14,0,43.68,0,0,0,0,53.76,33.69,0,0,0,0,1.4,0,0,0,0,16.48,654.3,98.87,0,53.3,125.96,0,0,44.83,0,118.75,0,0,0,0,0,0,69.05,0,0,0,0,10.27,42.39,0,92,0,4.31,0,0,20.8,0,8.88,0,0,0,0,1.11,20,0,0,0,0,124.32,348.98,5.76,0,26.39,0,0,0,23.57

3,00:30-00:45,683.14,0,43.68,0,0,0,0,53.76,33.69,0,0,0,0,1.4,0,0,0,0,16.48,654.3,98.87,0,53.3,125.96,0,0,44.83,0,118.75,0,0,0,0,0,0,69.05,0,0,0,0,10.27,42.39,0,92,0,4.31,0,0,20.8,0,8.88,0,0,0,0,1.11,20,0,0,0,0,124.32,348.98,5.76,0,26.39,0,0,0,23.57

4,00:45-01:00,683.14,0,43.68,0,0,0,0,53.76,33.69,0,0,0,0,1.4,0,0,0,0,16.48,654.3,98.87,0,53.3,125.96,0,0,44.83,0,118.75,0,0,0,0,0,0,69.05,0,0,0,0,10.27,42.39,0,92,0,4.31,0,0,20.8,0,8.88,0,0,0,0,1.11,20,0,0,0,0,124.32,348.98,5.76,0,26.39,0,0,0,23.57

5,01:00-01:15,683.14,0,43.68,0,0,0,0,53.76,33.69,0,0,0,0,1.4,0,0,0,0,16.48,654.3,98.87,0,53.3,125.96,0,0,44.83,0,118.75,0,0,0,0,0,0,69.05,0,0,0,0,10.27,42.39,0,92,0,4.31,0,0,20.8,0,8.88,0,0,0,0,1.11,20,0,0,0,0,124.32,348.98,5.76,0,26.39,0,0,0,23.57

