Column1,Time,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/6957,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/9154,NR/01102023/19072037/LT-05,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/5800,GNA/NR/2025/04/01/8964,GNA/ER/2025/05/14/4547,GNA/NR/2025/05/01/9320,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/6160,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/8954,NR/01102023/31052040/LT-31,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/05/01/2069,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/8510,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/05/01/6363,GNA/NR/2025/04/01/8456,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/9395,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,GNARE/NR/2024/12/20/3668,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,GNARE/SR/2025/01/13/4532,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08
1,00:00-00:15,28.89,192.6,9.5,0,0,144.45,115.16,28.89,13.48,67.41,5.78,0,192.6,4.04,32,14.44,0,0,0,5.78,0,4.02,100.33,0,27.24,260.59,272.29,7.79,86.86,14.44,10.43,4.6,28.94,10.59,0,0,0,0,0,0,0,0,0,0,20.21,51.33,0,19.17,19.17,0,57.49,51.33,0,0,16.67

2,00:15-00:30,28.89,192.6,9.5,0,0,144.45,115.16,28.89,13.48,67.41,5.78,0,192.6,4.04,32,14.44,0,0,0,5.78,0,4.02,100.33,0,27.75,260.59,272.29,7.79,86.86,14.44,10.43,4.6,28.94,10.59,0,0,0,0,0,0,0,0,0,0,21.21,52,0,19.17,19.17,0,57.49,52,0,0,16.67

3,00:30-00:45,28.89,192.6,9.5,0,0,144.45,115.16,28.89,13.48,67.41,5.78,75,192.6,4.04,30,14.44,0,0,30,5.78,0,4.02,100.33,0,28.25,260.59,272.29,7.79,86.86,14.44,10.43,4.6,28.94,10.59,0,0,0,0,0,0,0,0,0,0,20.21,54,0,19.17,19.17,0,57.49,54,0,0,16.67

4,00:45-01:00,28.89,192.6,9.5,0,0,144.45,115.16,28.89,13.48,67.41,5.78,75,192.6,4.04,30,14.44,0,0,30,5.78,0,4.02,100.33,0,28.25,260.59,272.29,7.79,86.86,14.44,10.43,4.6,28.94,10.59,0,0,0,0,0,0,0,0,0,0,19.01,53.67,0,19.17,19.17,0,57.49,53.67,0,0,16.67

5,01:00-01:15,28.89,192.6,9.4,0,0,144.45,115.16,28.89,13.48,67.41,5.78,100,192.6,4.04,30,14.44,0,0,30,5.78,0,4.02,100.33,0,27.24,260.59,272.29,7.79,86.86,14.44,10.43,4.45,28.94,10.59,0,0,0,0,0,0,0,0,0,0,21.61,52,0,19.17,19.17,0,57.49,52,0,0,17

6,01:15-01:30,28.89,192.6,9.4,0,0,144.45,115.16,28.89,13.48,67.41,5.78,100,192.6,4.04,30,14.44,0,0,30,5.78,0,4.02,100.33,0,27.24,260.59,272.29,7.79,86.86,14.44,10.43,4.45,28.94,10.59,0,0,0,0,0,0,0,0,0,0,20.2,52,0,19.17,19.17,0,57.49,52,0,0,18

