Block,Time Block,NLCEXP,NLCIIST1,KUDGI,NJPC,MAPS,NLCIIST2,NAPP,KOTESHWR,KHSTPP-II,KKNP,KGSU3AND4,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-I,JHAJJAR,KGSU1AND2,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,BRBCL,BSIUL,CHAMERA3,CHAMERA2,CHAMERA1,ANTA_GF,AURY_CRF,VALLURNTECL,AURY_RF,UNCHAHAR4,ANTA_CRF,ANTA_RF,URI2,AURY_LF,DADRI_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,URI,DADRI_RF,TEHRI,SEWA2,SINGRAULI,UNCHAHAR1,UNCHAHAR3,TANDA2,TALST2,TANAKPUR,TelanganaSTPP,SIMHST1,SINGRAULI_HYDRO,UNCHAHAR2,SIMHST2,TALA,SALAL,RAPPB,RIHAND3,RIHAND2,SASAN,RIHAND1,NLCTS2EXP,RAMPUR,NNTPP,RAPPC,NTPL,RSTPSU1TO6,PARBATI3,RSTPSU7,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,0,0,42.37,8.49,77.97,0,0,0,0,0,18.3,344,0,0,8.2,15.75,358.61,18.96,0,0,0,0,0,0,0,0,0,0,0,4.12,0,0,0,0,0,0,7.39,0,0,0,120.41,11.02,13.87,0,0,5.51,0,0,0,22.28,0,0,1.34,0,58,113.51,376.39,87.94,0,0,0,51.44,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,0,42.37,8.49,77.97,0,0,0,0,0,18.3,344,0,0,6.33,15.75,358.61,19.12,0,0,0,0,0,0,0,0,0,0,0,4.12,0,0,0,0,0,0,2.64,0,0,0,120.41,11.02,13.87,0,0,5.51,0,0,0,22.28,0,0,1.34,0,58,113.51,381.77,87.94,0,0,0,51.44,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,0,42.37,8.49,77.97,0,0,0,0,0,18.3,344,0,0,6.16,15.75,358.61,17.45,0,0,0,0,0,0,0,0,0,0,0,4.12,0,0,0,0,0,0,2.11,0,0,0,120.41,11.02,13.87,0,0,5.51,0,0,0,22.28,0,0,1.34,0,58,113.51,387.14,87.94,0,0,0,51.44,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,0,42.37,8.49,77.97,0,0,0,0,0,18.3,344,0,0,6.16,15.75,358.61,16.12,0,0,0,0,0,0,0,0,0,0,0,4.12,0,0,0,0,0,0,2.11,0,0,0,120.41,11.02,13.87,0,0,5.51,0,0,0,22.28,0,0,1.34,0,58,113.51,392.51,87.94,0,0,0,51.44,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,0,42.37,8.49,77.97,0,0,0,0,0,18.3,344,0,0,6.16,15.75,358.61,15.76,0,0,0,0,0,0,0,0,0,0,0,4.12,0,0,0,0,0,0,2.11,0,0,0,120.41,11.02,13.87,0,0,5.51,0,0,0,22.28,0,0,1.34,0,58,113.51,392.51,87.94,0,0,0,51.44,0,0,0,0,0,0,0,0,0

