Column1,Time,GNA/NR/2025/04/01/8964,NR/01102023/22052037/LT-59,WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668,NR/26072023/25122043/L_NR_2023_10,GNARE/SR/2025/01/13/4532,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/9257,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7782,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/20/3628,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/04/01/8510,GNA/NR/2025/04/01/8456,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/7663,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/16/6051,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/06/01/4973,NR/01102023/31052040/LT-31,GNA/NR/2025/06/01/2868,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/07/5932,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/06/01/5280
1,00:00-00:15,7.06,10.48,0,26,0,0,26,0,78,27.67,0,0,0,0,0,0,0,0,0,0,0,37.02,0,112.57,52.94,15.26,20.45,0,70.18,40.91,11.86,272.15,0,20.76,76.32,13.59,10.3,53.18,20.45,40.91,27.89,27.89,20.45,19.25,6.54,21.56,0,14.18,25.24,15.94,-0,10.66,11.67

2,00:15-00:30,7.06,10.48,0,26.67,0,0,26.67,0,79.99,28.33,0,0,0,0,0,0,0,0,0,0,0,37.22,0,112.57,52.94,15.26,20.45,0,70.18,40.91,11.86,272.15,0,20.76,76.32,13.59,10.3,53.18,20.45,40.91,27.89,27.89,20.45,19.25,6.54,21.56,0,14.18,25.74,15.94,-0,10.66,11.67

3,00:30-00:45,7.06,10.48,0,24.67,0,0,24.67,0,73.99,29.33,0,0,0,0,0,0,0,0,0,0,0,37.62,0,112.57,52.94,15.26,20.45,0,70.18,40.91,11.86,272.15,0,20.76,76.32,13.59,10.3,53.18,20.45,40.91,27.89,27.89,20.45,19.25,6.54,21.56,0,14.18,26.25,15.94,-0,10.66,11.67

4,00:45-01:00,7.06,10.48,0,24.83,0,0,24.83,0,74.51,30.33,0,0,0,0,0,0,0,0,0,0,0,38.22,0,112.57,52.94,15.26,20.45,0,70.18,40.91,11.86,272.15,0,20.76,74.69,13.59,10.3,53.18,20.45,40.91,27.89,27.89,20.45,19.25,6.54,21.56,0,14.18,26.25,15.94,-0,10.66,11.67

5,01:00-01:15,7.06,10.48,0,21.5,0,0,21.5,0,64.5,25.67,0,0,0,0,0,0,0,0,0,0,0,38.82,0,112.57,52.94,15.26,20.45,0,70.18,40.91,11.86,272.15,0,20.76,63.59,13.59,10.3,53.18,20.45,40.91,27.89,27.89,20.45,19.25,6.34,21.56,0,14.18,25.74,15.84,-0,10.66,11.67

6,01:15-01:30,7.06,10.48,0,21,0,0,21,0,63,26,0,0,0,0,0,0,0,0,0,0,0,39.42,0,100.44,52.94,15.26,20.45,0,70.18,40.91,11.86,272.15,0,20.76,56.42,13.59,10.3,53.18,20.45,40.91,27.89,27.89,20.45,19.25,6.34,21.56,0,14.18,25.74,15.84,-0,10.66,11.67

7,01:30-01:45,7.06,10.48,0,15,0,0,15,0,45,23,0,0,0,0,0,0,0,0,0,0,0,33.02,0,84.82,52.94,15.26,20.45,0,70.18,40.91,11.86,231,0,20.76,56.42,13.59,10.3,53.18,20.45,40.91,27.89,27.89,20.45,19.25,6.34,21.56,0,14.18,25.24,15.84,-0,10.66,11.67

8,01:45-02:00,7.06,10.48,0,15,0,0,15,0,45,23.33,0,0,0,0,0,0,0,0,0,0,0,33.02,0,84.82,52.94,15.26,20.45,0,70.18,40.91,11.86,231,0,20.76,56.42,13.59,10.3,53.18,20.45,40.91,27.89,27.89,20.45,19.25,6.34,21.56,0,14.18,25.24,15.84,-0,10.66,11.67

9,02:00-02:15,5.28,10.48,0,15,0,0,15,0,45,26.67,0,0,0,0,0,0,0,0,0,0,0,33.01,0,52.94,52.94,15.26,20.45,0,70.18,40.91,11.86,231,163.62,20.76,38.5,10.15,7.74,53.18,20.45,40.91,26.93,26.93,20.45,19.25,6.16,21.56,0,14.18,25.24,15.76,-0,10.66,11.67

10,02:15-02:30,5.28,10.48,0,15,0,0,15,0,45,26.67,0,0,0,0,0,0,0,0,0,0,0,32.81,0,52.94,52.94,15.26,20.45,0,70.18,40.91,11.86,192.5,163.62,20.76,38.5,10.15,7.74,53.18,20.45,40.91,26.93,26.93,20.45,19.25,6.16,21.56,0,14.18,25.24,15.76,-0,10.66,11.67

11,02:30-02:45,5.28,10.48,0,20.5,0,0,20.5,0,61.5,26.67,0,0,0,0,0,0,0,0,0,0,0,29.21,0,52.94,52.94,15.26,20.45,0,70.18,40.91,11.86,192.5,163.62,20.76,38.5,10.15,7.74,53.18,20.45,40.91,26.93,26.93,20.45,19.25,6.16,21.56,0,14.18,25.24,15.76,-0,10.66,11.67

12,02:45-03:00,5.28,10.48,0,20.67,0,0,20.67,0,61.99,26.67,0,0,0,0,0,0,0,0,0,0,0,28.61,0,52.94,52.94,15.26,20.45,0,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,7.74,53.18,20.45,40.91,26.93,26.93,20.45,19.25,6.16,21.56,0,14.18,25.24,15.76,-0,10.66,11.67

13,03:00-03:15,5.28,10.48,0,26.33,0,0,26.33,0,79.01,26,0,0,0,0,0,0,0,0,0,0,0,28.41,0,52.94,52.94,15.26,20.45,0,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,7.74,53.18,20.45,40.91,26.93,26.93,20.45,19.25,5.97,21.56,0,14.18,25.24,15.56,-0,10.66,11.67

14,03:15-03:30,5.28,10.48,0,25.83,0,0,25.83,0,77.51,26,0,0,0,0,0,0,0,0,0,0,0,28.01,0,52.94,52.94,15.26,20.45,0,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,7.74,53.18,20.45,40.91,26.93,26.93,20.45,19.25,5.97,21.56,0,14.18,25.74,15.56,-0,10.66,11.67

15,03:30-03:45,5.28,10.48,0,25.17,0,0,25.17,0,75.49,26,0,0,0,0,0,0,0,0,0,0,0,27.81,0,52.94,52.94,15.26,20.45,0,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,7.74,53.18,20.45,40.91,26.93,26.93,20.45,19.25,5.97,21.56,0,14.18,25.74,15.56,-0,10.66,11.67

16,03:45-04:00,5.28,10.48,0,26,0,0,26,0,78,26,0,0,0,0,0,0,0,0,0,0,0,27.41,0,52.94,52.94,15.26,20.45,0,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,7.74,53.18,20.45,40.91,26.93,26.93,20.45,19.25,5.97,21.56,0,14.18,25.74,15.56,-0,10.66,11.67

17,04:00-04:15,5.28,10.48,0,23,0,0,23,0,69,24.33,0,0,0,0,0,0,0,0,0,0,0,27.01,0,52.94,52.94,15.26,20.45,0,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,7.74,53.18,20.45,40.91,26.93,26.93,20.45,19.25,5.78,21.56,0,14.18,25.74,15.38,-0,10.66,11.67

18,04:15-04:30,5.28,10.48,0,22.5,0,0,22.5,0,67.5,24.33,0,0,0,0,0,0,0,0,0,0,0,26.81,0,52.94,52.94,15.26,20.45,0,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,7.74,53.18,20.45,40.91,26.93,26.93,20.45,19.25,5.78,21.56,0,14.18,25.74,15.38,-0,10.66,11.67

19,04:30-04:45,5.28,10.4,0,22.17,0,0,22.17,0,66.49,28.67,0,0,0,0,0,0,0,0,0,0,0,26.41,0,52.94,52.94,15.26,20.45,0,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,7.74,53.18,20.45,40.91,26.93,26.93,20.45,19.25,5.78,21.56,0,14.18,25.74,15.38,-0,10.66,11.67

20,04:45-05:00,5.28,10.4,0,21.83,0,0,21.83,0,65.51,27.33,0,0,0,0,0,0,0,0,0,0,0,26.01,0,52.94,52.94,15.26,20.45,0,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,7.74,53.18,20.45,40.91,26.93,26.93,20.45,19.25,5.78,21.56,0,14.18,25.74,15.38,-0,10.66,11.67

21,05:00-05:15,5.28,10.4,0,25.5,0,0,25.5,0,76.5,26,0,0,0,0,0,0,0,0,0,0,0,30.21,0,52.94,52.94,15.26,20.45,0,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,7.74,53.18,20.45,40.91,26.93,26.93,20.45,19.25,5.6,22.49,0,14.18,25.74,15.11,-0,10.66,11.67

22,05:15-05:30,5.28,10.4,0,24.83,0,0,24.83,0,74.51,24.33,0,0,0,0,0,0,0,0,0,0,0,29.61,0,52.94,52.94,15.26,20.45,0,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,7.74,53.18,20.45,40.91,26.93,26.93,20.45,19.25,5.6,22.49,0,14.18,25.74,15.11,-0,10.66,11.67

23,05:30-05:45,5.28,10.4,0,24.17,0,0.58,24.17,0,72.49,23.33,0,0,0,0,0,0,0,0,0,0,0,28.61,0,52.94,52.94,15.26,20.45,0,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,7.74,53.18,20.45,40.91,26.93,26.93,20.45,19.25,5.6,22.49,0,14.18,26.25,15.11,-0,10.66,11.67

24,05:45-06:00,5.28,10.4,0,23.5,0,2.13,23.5,0,70.5,22,0,0,0,0,0,0,0,0,0,0,1,27.41,0,52.94,52.94,15.26,20.45,0,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,7.74,53.18,20.45,40.91,26.93,26.93,20.45,19.25,5.6,22.49,0,14.18,25.74,15.11,-0,10.66,11.67

25,06:00-06:15,5.28,9.7,0,21.67,0,3.69,21.67,10.26,64.99,21,6.12,0,0.65,0,1,1,1,0.13,0,0.77,1,22.41,0,52.94,52.94,15.26,20.45,0,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,7.74,53.18,20.45,40.91,26.93,26.93,20.45,19.25,5.6,22.49,0,14.18,25.24,14.92,-0,10.66,11.67

26,06:15-06:30,5.28,9.7,0,21.17,0,5.19,21.17,14.29,63.49,20.33,9.41,0,4.11,0,2,2,2,0.82,1,2.7,3,21.41,0,52.94,52.94,15.26,20.45,0,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,7.74,53.18,20.45,40.91,26.93,26.93,20.45,19.25,5.6,22.49,0,14.18,25.24,14.92,-0,10.66,11.67

27,06:30-06:45,5.28,9.7,0,20.67,3,7.22,20.67,18.92,61.99,20,13.88,0,6.28,0,3,3,3,1.26,2,5.73,4,20.61,0.22,52.94,52.94,15.26,20.45,0.29,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,7.74,53.18,20.45,40.91,26.93,26.93,20.45,19.25,5.6,22.49,0.29,14.18,26.25,14.92,-0,10.66,11.67

28,06:45-07:00,5.28,9.7,0,20.83,6,9.92,20.83,24.15,62.51,20,19.52,0,13,0,4,7,6,2.6,3,8.87,6,19.81,0.88,52.94,52.94,15.26,20.45,1.14,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,7.74,53.18,20.45,40.91,26.93,26.93,20.45,19.25,5.6,22.49,1.14,14.18,27.26,14.92,-0,10.66,11.67

29,07:00-07:15,5.28,9.7,0,22.67,10,13.01,22.67,29.59,67.99,20.33,25.87,0,24.1,0,5,13,11,4.82,7,12.24,10,19.61,1.46,52.94,52.94,15.26,20.45,1.89,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,7.74,53.18,20.45,40.91,26.93,26.93,20.45,19.25,5.41,22.49,1.89,14.18,27.76,14.83,-0,10.66,11.67

30,07:15-07:30,5.28,9.7,0,22.67,16,16.4,22.67,33,67.99,21,33,0,30.92,0,6,17,14,6.19,8,15.79,13,19.01,2.2,52.94,52.94,15.26,20.45,2.84,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,7.74,53.18,20.45,40.91,26.93,26.93,20.45,19.25,5.41,22.49,2.84,14.18,28.27,14.83,-0,10.66,11.67

31,07:30-07:45,5.28,9.7,0,22.33,22,20.94,22.33,33,67.01,22.33,33,0,38.34,0,8,23,19,7.67,12,22.75,15,25.21,2.92,52.94,52.94,15.26,20.45,3.78,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,7.74,53.18,20.45,40.91,26.93,26.93,20.45,19.25,5.41,22.49,3.78,14.18,28.77,14.83,-0,10.36,11.67

32,07:45-08:00,5.28,9.7,0,22.17,30,23.18,22.17,33,66.49,22.33,33,0,46.49,0,12,30,25,9.3,15,26.78,18,24.61,3.66,52.94,52.94,15.26,20.45,4.73,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,7.74,53.18,20.45,40.91,26.93,26.93,20.45,19.25,5.41,22.49,4.73,14.18,29.27,14.83,-0,10.36,11.67

33,08:00-08:15,5.28,9.7,0,22,33,25.56,22,33,66,22,33,0,75.94,0,16,30,29,15.19,15,31.98,24,24.01,4.38,52.94,52.94,15.26,20.45,5.67,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,0,53.18,20.45,40.91,26.93,26.93,20.45,19.25,5.41,22.49,5.67,14.18,28.77,14.74,-86.42,10.36,11.67

34,08:15-08:30,5.28,9.7,0,21.67,33,28.59,21.67,33,64.99,21.33,33,0,87.08,0,19,35,33,17.42,18,37.18,30,23.21,5.12,52.94,52.94,15.26,20.45,6.62,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,0,53.18,20.45,40.91,26.93,26.93,20.45,19.25,5.41,22.49,6.62,14.18,29.27,14.74,-86.42,10.36,11.67

35,08:30-08:45,5.28,9.7,0,21.5,33,31.93,21.5,33,64.5,20.67,33,0,100.04,0,21,41,39,20.01,21,42.38,37,22.41,5.84,52.94,52.94,15.26,20.45,7.56,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,0,53.18,20.45,40.91,26.93,26.93,20.45,19.25,5.41,22.49,7.56,14.18,29.27,14.74,-86.42,10.36,11.67

36,08:45-09:00,5.28,9.7,0,21.17,33,61.79,21.17,33,63.49,20,33,0,112.71,0,23,47,47,22.54,23,47.58,42,21.61,6.43,52.94,52.94,15.26,20.45,8.32,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,0,53.18,20.45,40.91,26.93,26.93,20.45,19.25,5.41,22.49,8.32,14.18,29.78,14.74,-86.42,10.36,11.67

37,09:00-09:15,5.28,9.55,0,16.67,33,69.39,16.67,33,49.99,18.67,33,0,138.31,0,25,51,48,27.66,26,51.97,46,20.81,7.01,52.94,52.94,15.26,20.45,9.08,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,0,53.18,20.45,40.91,26.95,26.95,20.45,19.25,5.41,22.49,9.08,14.18,30.28,14.65,-86.42,10.36,11.67

38,09:15-09:30,5.28,9.55,0,18.33,33,71.69,18.33,33,55.01,17.67,33,0,149.4,0,27,55,52,29.88,27,56.37,49,20.21,7.6,52.94,52.94,15.26,20.45,9.83,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,0,53.18,20.45,40.91,26.95,26.95,20.45,19.25,5.41,22.49,9.83,14.18,30.28,14.65,-86.42,10.36,11.67

39,09:30-09:45,5.28,10.09,0,16.17,33,73.29,16.17,33,48.49,13.33,33,0,160.49,0,28,65,55,32.1,33,68.07,57,19.21,8.18,52.94,52.94,15.26,20.45,10.59,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,0,53.18,20.45,40.91,26.95,26.95,20.45,19.25,5.41,22.49,10.59,14.18,29.27,14.65,-86.42,10.36,11.67

40,09:45-10:00,5.28,10.09,0,16,33,75.26,16,33,48,12.67,33,0,171.58,0,29,71,57,34.32,36,72.17,63,18.81,8.47,52.94,52.94,15.26,20.45,10.97,70.18,40.91,11.86,149.68,163.62,20.76,38.5,10.15,0,53.18,20.45,40.91,26.95,26.95,20.45,19.25,5.41,22.49,10.97,14.18,29.27,14.65,-86.42,10.36,11.67

41,10:00-10:15,5.28,10.09,0,15.83,33,78.98,15.83,33,47.51,12,33,0,168.02,0,30,73,58,33.61,37,75.97,67,15.41,8.77,52.94,52.94,15.26,20.45,11.35,70.18,40.91,11.86,192.5,163.62,20.76,38.5,10.15,2.05,53.18,20.45,40.91,26.95,26.95,20.45,19.25,5.41,22.49,11.35,14.18,27.25,14.55,-86.42,10.66,11.67

