Block,Time Block,RAMPUR,RAPPB,SASAN,RIHAND1,SIMHST1,RSTPSU1TO6,RAPPC,RSTPSU7,SALAL,SEWA2,RIHAND3,SIMHST2,RIHAND2,NTPL,PARBATI3,NLCTS2EXP,NNTPP,NJPC,NAPP,NLCIIST1,MAPS,NLCIIST2,NLCEXP,KOLDAM,KUDGI,KOTESHWR,KGSU1AND2,KGSU3AND4,KKNP,KHSTPP-I,KISHANGANGA,KHSTPP-II,KKNPPU2,DULHASTI,DHAULIGNGA,DADRT2,FSTPP I & II,JHAJJAR,CHAMERA2,BRBCL,CHAMERA1,BSIUL,CHAMERA3,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,SINGRAULI,TelanganaSTPP,TEHRI,TANDA2,TALST2,SINGRAULI_HYDRO,TANAKPUR,TALA,URI2,UNCHAHAR2,UNCHAHAR1,URI,VALLURNTECL,UNCHAHAR4,UNCHAHAR3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,325.89,69.06,0,0,24.47,0,66.88,15.16,59.62,0,113.91,0,0,0,0,0,22.84,0,0,0,0,0,0,8.51,0,0,0,43.67,0,142.25,0,15.81,0,543.05,17.46,251,0,19.18,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,133.99,0,0,0,0,0.72,0,0,23.22,35.05,17,34.94,0,0,21.82,0,0,0,0,0

2,00:15-00:30,0,0,325.89,69.06,0,0,24.47,0,66.88,15.16,59.62,0,113.91,0,0,0,0,0,22.84,0,0,0,0,0,0,8.51,0,0,0,43.67,0,142.25,0,15.81,0,514.28,17.46,251,0,19.18,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,133.99,0,0,0,0,0.72,0,0,23.22,35.05,17,34.94,0,0,21.82,0,0,0,0,0

3,00:30-00:45,0,0,325.89,69.06,0,0,24.47,0,66.88,15.16,59.62,0,113.91,0,0,0,0,0,22.84,0,0,0,0,0,0,8.51,0,0,0,43.67,0,142.25,0,15.81,0,466.32,17.46,250.34,0,19.18,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,133.99,0,0,0,0,0.72,5.52,0,23.22,35.05,17,34.94,0,0,21.82,0,0,0,0,0

4,00:45-01:00,0,0,325.89,69.06,0,0,24.47,0,66.88,15.16,59.62,0,113.91,0,0,0,0,0,22.84,0,0,0,0,0,0,8.51,0,0,0,43.67,0,142.25,0,15.81,0,447.13,17.46,250.34,0,19.18,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,133.99,0,0,0,0,0.72,5.52,0,23.22,35.05,17,34.94,0,0,21.82,0,0,0,0,0

5,01:00-01:15,0,0,325.89,69.06,0,0,24.47,0,66.88,15.16,59.62,0,113.91,0,0,0,0,0,22.84,0,0,0,0,0,0,8.51,0,0,0,43.67,0,142.25,0,15.81,0,419.72,17.46,250.34,0,19.18,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,133.99,0,0,0,0,0.72,5.52,0,23.22,29.97,12.31,34.94,0,0,17.61,0,0,0,0,0

