Column1,Block,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6209,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/4125,NR/2025/32559/A/101699,NR/2025/32610/A/101698,NR/2025/29992/A/101362,NR/2025/32004/A/101703,NR/2025/32397/A/101227,NR/30092023/31122025/SH-07,NR/2025/34827/C,NR/2025/34808/C,NR/2025/34809/C,NR/2025/34810/C,NR/2025/34807/C,NR/2025/34826/C,NR/2025/34828/C,NR/2025/31045/A/101657,NR/2025/31048/A/101658,NR/2025/29440/A/101243,NR/2025/31043/A/101656,NR/2025/34078/A/101345,NR/2025/31049/A/101659,NR/2025/32262/A/101289,NR/2025/32455/A/101799,NR/2025/34263/A/101407,NR/2025/34792/C,NR/2025/34247/A/101660,NR/2025/32556/A/101700,NR/2025/34789/C,NR/2025/31421/A/101711,NR/2025/32375/A/101708,NR/2025/34791/C,NR/2025/33637/A/101413,NR/2025/33632/A/101409,NR/2025/33633/A/101411,NR/2025/32535/A/101642,NR/2025/32534/A/101640,NR/2025/32599/A/101374,NR/2025/32535/A/101641,NR/2025/32532/A/101635,NR/2025/34835/C,GNARE/NR/2024/12/20/3668,NR/2025/32534/A/101639,NR/2025/32532/A/101636,Total
,,APPCPL,MANIKARAN,NVVNL,PowerPulse,NDMC,MANIKARAN,MANIKARAN,MANIKARAN,PUNJAB,DELHI,NDMC,APPCPL,NDMC,APPCPL,APPCPL,BYPL,APPCPL,IEXL,BAWANA_GAS,NVVNL,APPCPL,APPCPL,APPCPL,APPCPL,NVVNL,NVVNL,PowerPulse,PowerPulse,ITCLH,PowerPulse,DIAPL,PowerPulse,TPTCL,MANIKARAN,PTC,PowerPulse,PowerPulse,APPCPL,PowerPulse,NVVNL,NVVNL,PowerPulse,GMRETL,GMRETL,GMRETL,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,BRPL,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,MES_Delhi,SECI_Trader,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,
,,GOA_State,MSEB_State,NA,MSEB_State,NA,MP_State,NA,NA,DELHI_UT,HIMACHAL_STATE,NA,GOA_State,NA,NA,NA,KERALA_State,MSEB_State,MSEB_State,DELHI_UT,MP_State,NA,NA,MSEB_State,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,HIMACHAL_STATE,NA,MSEB_State,NA,GoHP_NJPC_STATE,NA,NA,NA,NA,NA,MP_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,GOA_Beneficiary,AEML,JHABUA_IPP,Vidarbha_Industry_MH,JIPL,BLAPOWER_MP,DBPL,MBMP,BAWANA_GAS,CHANJUII,TRN_ENERGY,GOA_Beneficiary,SKS_Raigarh,RKM_POWER,RKM_POWER,KSEB,AEML,A_A_Energy_MH_Bio,BAWANA_GAS,JP_BINA,JPL2,RKM_POWER,AEML,RKM_POWER,JPNIGRIE_JNSTPP,Kameng,MAHAN_ENERGEN,APL_Raigarh_TPP,ITCWIND,MAHAN_ENERGEN,GBHHPL,APL_Raigarh_TPP,TPC_MSEB,MBMP,GoHP_NJPC,APL_Raipur_TPP,APL_Raipur_TPP,JPL2,MAHAN_ENERGEN,JPNIGRIE_JNSTPP,JP_BINA,APL_Raigarh_TPP,JGCPL_BKN2,JGCPL_BKN2,JGCPL_BKN2,TCSPL_BKN2,TCSPL_BKN2,TS1PL_BKN,TESPL_BKN2,TESPL_BKN2,NTPCREL_PSS2_KPS2_S,APSEPL_FTG,TESPL_BKN2,TCSPL_BKN2,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,PUNJAB,TPDDL,NDMC,BRPL,NDMC,NDMC,NDMC,BYPL,BYPL,MES_Delhi,HARYANA,TPDDL,NDMC,NDMC,BYPL,NDMC,TPDDL,TPDDL,TPDDL,TPDDL,ITCLH,TPDDL,DIAPL,TPDDL,BYPL,BRPL,BRPL,BRPL,BRPL,NDMC,TPDDL,TPDDL,TPDDL,TPDDL,BLKMH,MAX_HPTL,DTCP,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,BRPL,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,MES_Delhi,TPDDL,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,
,,West-North,West-North,West-North,West-North,East-North,West-North,West-North,West-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,North East-East-North,West-North,West-North,South-West-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,North-North,
1,00:00-00:15,15.25,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,0,8.66,19.24,8.66,24.05,24.05,44.26,105.83,8.66,0,0,0,0,0,0,0,163.8,0,96.21,0.87,96.21,12.51,0,54.12,48.1,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1210.25

2,00:15-00:30,15.25,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,0,8.66,19.24,8.66,24.05,24.05,44.26,105.83,8.66,0,0,0,0,0,0,0,163.8,0,96.21,0.87,96.21,12.51,0,54.12,48.1,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1210.25

