Block,Time Block,KOTESHWR,KOLDAM,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,BSIUL,BRBCL,CHAMERA2,CHAMERA1,KKNPPU2,KKNP,VALLURNTECL,ANTA_LF,ANTA_GF,ANTA_CRF,TALST2,TANAKPUR,TALA,UNCHAHAR3,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,UNCHAHAR1,UNCHAHAR4,TANDA2,URI2,SASAN,SIMHST1,SINGRAULI_HYDRO,SIMHST2,SALAL,SEWA2,SINGRAULI,KHSTPP-II,KGSU3AND4,KISHANGANGA,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,KHSTPP-I,JHAJJAR,KGSU1AND2,RSTPSU7,CHAMERA3,RAMPUR,RIHAND2,RAPPC,RIHAND3,PARBATI3,RAPPB,RSTPSU1TO6,RIHAND1,NAPP,NNTPP,NTPL,NLCEXP,NLCIIST1,KUDGI,NJPC,NLCIIST2,MAPS,NLCTS2EXP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,8.53,0,0,0,0,0,0,0,0,0,0,0,19.24,0,0,0,0,0,0,0,0,0,0.99,0,18.84,0,29.45,25.48,0,15.42,0,0,4.27,346.25,0,0,0,1.35,0,121.16,82.48,0,0,0,8.79,0,293.48,38.21,232.76,0,0,0,0,114.22,51.99,119.57,0,0,0,88.49,42.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,8.53,0,0,0,0,0,0,0,0,0,0,0,19.24,0,0,0,0,0,0,0,0,0,0.99,0,18.84,0,29.45,25.48,0,15.42,0,0,18.11,346.25,0,0,0,1.35,0,121.16,82.48,0,0,0,8.79,0,245.39,38.21,232.76,0,0,0,0,114.22,51.99,119.57,0,0,0,88.49,42.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,8.53,0,0,0,0,0,0,0,0,0,0,0,18.23,0,0,0,0,0,0,0,0,0,1.72,0,18.84,0,29.45,25.48,0,15.42,0,0,18.11,346.25,0,0,0,1.35,0,121.16,95.09,0,0,0,8.79,0,187.69,38.21,232.76,0,0,0,0,114.22,51.99,119.57,0,0,0,88.49,42.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,8.53,0,0,0,0,0,0,0,0,0,0,0,16.26,0,0,0,0,0,0,0,0,0,1.72,0,18.84,0,29.45,1.7,0,15.42,0,0,18.11,346.25,0,0,0,1.35,0,121.16,95.09,0,0,0,8.79,0,187.69,38.21,232.76,0,0,0,0,114.22,51.99,119.57,0,0,0,88.49,42.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,8.53,0,0,0,0,0,0,0,0,0,0,0,15.22,0,0,0,0,0,0,0,0,0,8.01,0,18.84,0,29.45,1.28,0,15.42,0,0,18.11,346.25,0,0,0,1.35,0,121.16,78.43,0,0,0,8.79,0,187.69,31.6,232.76,0,0,0,0,114.22,51.99,119.57,0,0,0,88.49,42.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0

