Block,Time,BRBCL,KHSTPP-I,KISHANGANGA,RIHAND1,SINGRAULI,TALA,TALST2,TANAKPUR,DADRT2,FSTPP I & II,JHAJJAR,KGSU3AND4,KOTESHWR,NLCIIST1,NLCIIST2,PARBATI3,SEWA2,SIMHST1,TANDA2,CHAMERA2,KGSU1AND2,KHSTPP-II,KKNP,NNTPP,RAPPB,RIHAND3,RSTPSU1TO6,SALAL,SASAN,UNCHAHAR3,URI2,VALLURNTECL,CHAMERA1,KOLDAM,KUDGI,NJPC,NLCEXP,RAMPUR,UNCHAHAR1,ANTA_CRF,AURY_CRF,KKNPPU2,MAPS,NLCTS2EXP,UNCHAHAR4,ANTA_LF,AURY_GF,RAPPC,SINGRAULI_HYDRO,URI,ANTA_GF,AURY_RF,DADRI_RF,BSIUL,CHAMERA3,DULHASTI,RSTPSU7,TEHRI,ANTA_RF,AURY_LF,DADRI_CRF,DADRI_GF,DHAULIGNGA,NAPP,NTPL,RIHAND2,SIMHST2,TelanganaSTPP,UNCHAHAR2,DADRI_LF
1,00:00-00:15,20,45.22,0,92,139.68,0,0,8.33,683.14,14.87,436.2,0,8.87,0,0,0,0,0,0,1.87,0,98.87,0,0,0,124.32,0,1.4,418.77,26.39,4.57,0,0,0,0,0,0,0,20.56,0,0,0,0,0,0,0,0,52.41,0,39.75,0,70.59,66.85,0,0,32.96,0,0,28.88,0,0,0,0,43.04,0,118.76,0,0,21.19,22.47

2,00:15-00:30,20,45.22,0,92,139.68,0,0,8.33,683.14,14.87,436.2,0,8.87,0,0,0,0,0,0,1.87,0,98.87,0,0,0,124.32,0,1.4,418.77,26.39,4.57,0,0,0,0,0,0,0,20.56,0,0,0,0,0,0,0,0,52.41,0,39.75,0,70.59,66.85,0,0,32.96,0,0,28.88,0,0,0,0,43.04,0,118.76,0,0,21.19,22.47

3,00:30-00:45,20,45.22,0,92,139.68,0,0,3.2,683.14,14.87,436.2,0,8.87,0,0,0,0,0,0,1.87,0,98.87,0,0,0,124.32,0,1.4,418.77,26.39,4.57,0,0,0,0,0,0,0,20.56,0,0,0,0,0,0,0,0,52.41,0,3.31,0,70.59,66.85,0,0,32.96,0,0,28.88,0,0,0,0,43.04,0,118.76,0,0,21.19,22.47

4,00:45-01:00,20,45.22,0,92,139.68,0,0,3.2,683.14,14.87,436.2,0,8.87,0,0,0,0,0,0,1.87,0,98.87,0,0,0,124.32,0,1.4,418.77,26.39,4.57,0,0,0,0,0,0,0,20.56,0,0,0,0,0,0,0,0,52.41,0,1.44,0,70.59,66.85,0,0,32.96,0,0,28.88,0,0,0,0,43.04,0,118.76,0,0,21.19,22.47

5,01:00-01:15,20,45.22,0,92,139.68,0,0,3.2,683.14,14.87,436.2,0,8.87,0,0,0,0,0,0,1.87,0,98.87,0,0,0,124.32,0,1.4,418.77,26.39,4.57,0,0,0,0,0,0,0,20.56,0,0,0,0,0,0,0,0,52.41,0,1.44,0,70.59,66.85,0,0,32.96,0,0,28.88,0,0,0,0,43.04,0,118.76,0,0,21.19,22.47

6,01:15-01:30,20,45.22,0,92,139.68,0,0,3.2,683.14,14.87,436.2,0,8.87,0,0,0,0,0,0,1.87,0,98.87,0,0,0,124.32,0,1.4,418.77,26.39,4.57,0,0,0,0,0,0,0,20.56,0,0,0,0,0,0,0,0,52.41,0,1.44,0,70.59,66.85,0,0,32.96,0,0,28.88,0,0,0,0,43.04,0,118.76,0,0,21.19,22.47

7,01:30-01:45,20,45.22,0,92,139.68,0,0,3.2,683.14,14.87,436.2,0,8.87,0,0,0,0,0,0,1.87,0,98.87,0,0,0,124.32,0,1.4,418.77,26.39,4.57,0,0,0,0,0,0,0,20.56,0,0,0,0,0,0,0,0,52.41,0,1.44,0,70.59,66.85,0,0,16.48,0,0,28.88,0,0,0,0,43.04,0,118.76,0,0,21.19,22.47

8,01:45-02:00,20,45.22,0,92,139.68,0,0,3.2,683.14,14.87,436.2,0,8.87,0,0,0,0,0,0,1.87,0,98.87,0,0,0,124.32,0,1.4,418.77,26.39,4.57,0,0,0,0,0,0,0,20.56,0,0,0,0,0,0,0,0,52.41,0,1.44,0,70.59,66.85,0,0,16.48,0,0,28.88,0,0,0,0,43.04,0,118.76,0,0,21.19,22.47

9,02:00-02:15,20,45.22,0,92,139.68,0,0,8.33,683.14,14.87,436.2,0,8.87,0,0,0,0,0,0,1.87,0,98.87,0,0,0,124.32,0,1.4,418.77,26.39,4.57,0,0,0,0,0,0,0,20.56,0,0,0,0,0,0,0,0,52.41,0,1.44,0,70.59,66.85,0,0,16.48,0,0,29.09,0,0,0,0,43.04,0,118.76,0,0,21.19,22.47

