Block,Time,L_NR_2019_19,LT-35,LT-05,LT-59,L_NR_2012_07,LT-31,L_NR_2020_02,L_NR_2012_04,SH-06,L_NR_2012_02,LT_MEJA_Delhi,LT-36,L_NR_2019_11,SH-07,L_NR_2012_01,L_NR_2022_10,L_NR_2020_05,L_NR_2022_09,L_NR_2019_07,L_NR_2019_06,L_NR_2020_07,L_NR_2022_08,L_NR_2020_06,L_NR_2019_05,L_NR_2018_61,L_NR_2021_17,L_NR_2021_14,L_NR_2021_16,L_NR_2021_15,L_NR_2021_12,L_NR_2021_13
1,00:00-00:15,0.000000,0.000000,115.290000,6.200000,86.890000,0.000000,7.500000,270.930000,30.830000,130.330000,6.450000,0.000000,6.510000,30.830000,100.910000,73.31,115.48,73.31,0,0,38.5,26.64,38.49,0,6.89,0,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,115.290000,6.200000,86.890000,0.000000,7.500000,270.930000,30.830000,130.330000,6.450000,0.000000,6.510000,30.830000,100.910000,73.12,115.9,73.12,0,0,38.63,26.37,38.64,0,6.88,0,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,115.290000,6.200000,86.890000,0.000000,7.500000,270.930000,30.830000,130.330000,6.450000,0.000000,6.510000,30.830000,100.910000,73.12,115.68,73.12,0,0,38.55,25.06,38.56,0,6.99,0,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,115.290000,6.200000,86.890000,0.000000,7.500000,270.930000,30.830000,130.330000,6.450000,0.000000,6.510000,30.830000,100.910000,73.06,115.81,73.06,0,0,38.61,25.03,38.6,0,6.88,0,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,115.290000,6.200000,86.890000,0.000000,7.360000,270.930000,30.830000,130.330000,6.450000,0.000000,6.510000,30.830000,100.910000,73.01,115.9,73.01,0,0,38.64,25.12,38.63,0,6.89,0,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,115.290000,6.200000,86.890000,0.000000,7.360000,270.930000,30.830000,130.330000,6.450000,0.000000,6.510000,30.830000,100.910000,73.1,115.68,73.1,0,0,38.57,25.06,38.56,0,6.87,0,0,0,0,0,0

7,01:30-01:45,0.000000,0.000000,115.290000,6.200000,86.890000,0.000000,7.360000,270.930000,30.830000,130.330000,6.450000,0.000000,6.510000,30.830000,100.910000,73.21,115.57,73.21,0,0,38.52,24.89,38.53,0,6.98,0,0,0,0,0,0

8,01:45-02:00,0.000000,0.000000,115.290000,6.200000,86.890000,0.000000,7.360000,270.930000,30.830000,130.330000,6.450000,0.000000,6.510000,30.830000,100.910000,73.01,115.84,73.01,0,0,38.62,24.91,38.61,0,6.97,0,0,0,0,0,0

9,02:00-02:15,0.000000,0.000000,115.290000,6.200000,86.890000,0.000000,7.220000,270.930000,0.000000,130.330000,6.450000,0.000000,6.510000,30.830000,100.910000,73.33,110.17,73.33,0,0,36.74,23.05,36.72,0,6.82,0,0,0,0,0,0

10,02:15-02:30,0.000000,0.000000,115.290000,6.200000,86.890000,0.000000,7.220000,270.930000,0.000000,130.330000,6.450000,0.000000,6.510000,30.830000,100.910000,73.23,111.47,73.23,0,0,37.15,23.33,37.16,0,6.83,0,0,0,0,0,0

