Block,Time,L_NR_2012_02,L_NR_2019_11,LT-59,LT-36,L_NR_2012_04,LT-05,SH-07,SH-06,LT_MEJA_Delhi,L_NR_2012_07,LT-31,L_NR_2020_02,L_NR_2019_19,LT-35,L_NR_2012_01,L_NR_2021_17,L_NR_2020_07,L_NR_2021_13,L_NR_2022_10,L_NR_2021_14,L_NR_2019_06,L_NR_2019_05,L_NR_2019_07,L_NR_2021_16,L_NR_2020_06,L_NR_2018_61,L_NR_2021_15,L_NR_2022_09,L_NR_2022_08,L_NR_2021_12,L_NR_2020_05
1,00:00-00:15,260.720000,5.600000,5.350000,0.000000,270.980000,57.850000,30.830000,30.830000,6.370000,86.910000,0.000000,4.910000,0.000000,0.000000,100.930000,0,26.28,0,55.88,0,0,0,0,0,26.28,17.13,0,55.88,17.58,0,78.83

2,00:15-00:30,260.720000,5.600000,5.350000,0.000000,270.980000,57.850000,30.830000,30.830000,6.370000,86.910000,0.000000,4.910000,0.000000,0.000000,100.930000,0,26.54,0,55.74,0,0,0,0,0,26.54,7.32,0,55.74,17.44,0,79.61

3,00:30-00:45,260.720000,5.600000,5.350000,0.000000,270.980000,57.850000,30.830000,30.830000,6.370000,86.910000,0.000000,4.910000,0.000000,0.000000,100.930000,0,30.09,0,58.27,0,0,0,0,0,30.09,7.38,0,58.27,17.47,0,90.27

4,00:45-01:00,260.720000,5.600000,5.350000,0.000000,270.980000,57.850000,30.830000,30.830000,6.370000,86.910000,0.000000,4.910000,0.000000,0.000000,100.930000,0,30.35,0,58.13,0,0,0,0,0,30.35,7.27,0,58.13,17.5,0,91.06

5,01:00-01:15,260.720000,5.600000,4.740000,0.000000,270.980000,57.850000,30.830000,30.830000,6.370000,86.910000,0.000000,4.820000,0.000000,0.000000,100.930000,0,30.5,0,58,0,0,0,0,0,30.51,7.34,0,58,17.68,0,91.52

6,01:15-01:30,260.720000,5.600000,4.740000,0.000000,270.980000,57.850000,30.830000,30.830000,6.370000,86.910000,0.000000,4.820000,0.000000,0.000000,100.930000,0,30.65,0,57.86,0,0,0,0,0,30.64,7.28,0,57.86,17.77,0,91.93

7,01:30-01:45,260.720000,5.600000,4.740000,0.000000,270.980000,57.850000,30.830000,30.830000,6.370000,86.910000,0.000000,4.820000,0.000000,0.000000,100.930000,0,30.75,0,57.06,0,0,0,0,0,30.74,7.22,0,57.06,17.77,0,92.23

