Column1,Time,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,GNARE/SR/2025/01/13/4532,WR/01102023/31032046/L_NR_2020_05,GNARE/NR/2024/12/20/3668,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,GNA/NR/2025/08/01/4452,GNA/NR/2025/06/07/5932,NR/01102023/31052040/LT-31,GNA/NR/2025/07/01/8128,GNA/NR/2025/08/01/6209,GNA/NR/2025/07/01/1044,GNA/NR/2025/08/01/6475,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/08/01/4125,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/5784,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/2952,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/2414,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/6452,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/3698
1,00:00-00:15,17.82,14.39,43.33,9,43.14,0,0,14.39,43.34,0,0,0,0,0,0,0,0,0,0,0,15.21,-0,0,12.62,33.59,1.94,20.71,85.7,8.72,269.94,17.31,81.58,129.86,10.71,0,115.17,0,18.65,3.99,19.2,40.79,26.54,20.4,27.25,10.46,32,99.99,9.31,20.4,8.72

2,00:15-00:30,17.91,14.85,43.33,9.2,44.52,0,0,14.85,43.34,0,0,0,0,0,0,0,0,0,0,0,15.21,-0,0,12.62,33.59,3.19,20.71,85.7,8.72,269.94,17.31,81.58,129.86,10.71,0,115.17,0,18.65,3.99,19.2,40.79,26.54,20.4,27.25,10.46,32,99.99,9.31,20.4,8.72

3,00:30-00:45,17.97,15.37,43.33,9.2,46.1,0,0,15.37,43.34,0,0,0,0,0,0,0,0,0,0,0,15.21,-0,0,12.62,33.59,3.22,20.71,85.7,8.72,269.94,17.31,81.58,129.86,10.71,0,106.7,0,18.65,3.99,19.2,40.79,26.54,20.4,27.25,10.46,26.94,99.99,9.31,20.4,8.72

4,00:45-01:00,18.01,15.92,43.33,9.4,47.75,0,0,15.92,43.34,0,0,0,0,0,0,0,0,0,0,0,15.21,-0,0,12.62,33.59,3.22,20.71,85.7,8.72,269.94,17.31,81.58,129.86,10.71,0,98.23,0,18.65,3.99,19.2,40.79,26.54,20.4,27.76,10.46,26.94,99.99,9.31,20.4,8.72

5,01:00-01:15,17.93,16.27,43.33,15.81,48.81,0,0,16.27,43.34,0,0,0,0,0,0,0,0,0,0,0,15.21,-0,0,12.62,33.59,3.22,20.71,85.7,8.72,269.94,17.31,81.58,129.86,10.71,0,89.76,0,14.05,3.99,19.2,40.79,26.54,20.4,25.73,10.46,26.94,99.99,8.84,20.4,8.72

6,01:15-01:30,17.81,16.72,43.33,15.61,50.18,0,0,16.72,43.34,0,0,0,0,0,0,0,0,0,0,0,15.21,-0,0,12.62,33.59,3.22,20.71,85.7,8.72,269.94,17.31,81.58,129.86,10.71,0,70,0,14.05,3.99,19.2,40.79,26.54,20.4,25.73,10.46,26.94,99.99,8.84,20.4,8.72

7,01:30-01:45,17.68,17.17,43.33,15.41,51.51,0,0,17.17,43.34,0,0,0,0,0,0,0,0,0,0,0,15.21,-0,0,12.62,33.59,3.22,20.71,85.7,8.72,269.94,17.31,81.58,129.86,10.71,0,70,0,14.05,3.99,19.2,40.79,26.54,20.4,25.73,10.46,26.94,99.99,8.84,20.4,8.72

8,01:45-02:00,17.53,17.65,41.33,15.01,52.93,0,0,17.65,41.34,0,0,0,0,0,0,0,0,0,0,0,15.21,-0,0,12.62,33.59,3.22,20.71,85.7,8.72,269.94,17.31,81.58,129.86,10.71,0,70,0,14.05,3.99,19.2,40.79,26.54,20.4,25.73,10.46,26.94,99.99,8.84,20.4,8.72

9,02:00-02:15,17.75,17.77,41.67,10.8,53.31,0,0,17.77,41.66,0,0,0,0,0,0,0,0,0,0,0,15.21,-0,0,12.62,81.58,3.22,20.71,65.86,8.72,269.94,17.31,81.58,129.86,10.71,0,70,0,14.05,3.99,19.2,40.79,26.94,20.4,25.73,10.46,26.94,99.99,8.38,20.4,8.72

10,02:15-02:30,18.12,18.43,41.67,10.8,55.31,0,0,18.43,41.66,0,0,0,0,0,0,0,0,0,0,0,15.21,-0,0,12.62,81.58,3.22,20.71,65.86,8.72,269.94,17.31,81.58,129.86,10.71,0,70,0,14.05,3.99,19.2,40.79,26.94,20.4,25.73,10.46,26.94,99.99,8.38,20.4,8.72

11,02:30-02:45,18.55,19.07,45,10.4,57.18,0,0,19.07,45,0,0,0,0,0,0,0,0,0,0,0,15.21,-0,0,12.62,81.58,3.22,20.71,65.86,8.72,269.94,17.31,81.58,120.26,10.71,0,70,0,14.05,3.99,19.2,40.79,26.94,20.4,25.73,10.46,26.94,99.99,8.38,20.4,8.72

12,02:45-03:00,19.02,19.78,46.33,10.2,59.35,0,0,19.78,46.34,0,0,0,0,0,0,0,0,0,0,0,15.21,-0,0,12.62,81.58,3.22,20.71,65.86,8.72,269.94,17.31,81.58,119.48,10.71,0,70,0,14.05,3.99,19.2,40.79,26.94,20.4,25.73,10.46,26.94,99.99,8.38,20.4,8.72

13,03:00-03:15,19.51,20.01,48.67,9.8,60,0,0,20.01,48.66,0,0,0,0,0,0,0,0,0,0,0,15.21,-0,0,12.62,81.58,3.22,20.71,86.57,8.72,269.94,17.31,81.58,129.86,10.71,0,70,0,14.05,3.99,19.2,40.79,26.94,20.4,25.73,10.46,26.94,99.99,7.45,20.4,8.72

14,03:15-03:30,20.02,20.19,50.33,9.8,60.55,0,0,20.19,50.34,0,0,0,0,0,0,0,0,0,0,0,15.21,-0,0,9.56,81.58,3.12,20.71,86.57,8.72,269.94,17.31,81.58,129.86,10.71,0,70,0,14.05,3.99,19.2,40.79,26.94,20.4,25.73,10.46,26.94,99.99,7.45,20.4,8.72

15,03:30-03:45,20.55,20.31,52.33,9.6,60.9,0,0,20.31,52.34,0,0,0,0,0,0,0,0,0,0,0,15.21,-0,0,12.62,81.58,3.22,20.71,86.57,8.72,269.94,17.31,81.58,129.86,10.71,0,70,0,14.05,3.99,19.2,40.79,26.94,20.4,25.73,10.46,26.94,99.99,7.45,20.4,8.72

16,03:45-04:00,21.05,19.92,54,9.2,59.73,0,0,19.92,54,0,0,0,0,0,0,0,0,0,0,0,15.21,-0,0,12.62,81.58,3.22,20.71,86.57,8.72,269.94,17.31,81.58,129.86,10.71,0,70,0,14.05,3.99,19.2,40.79,26.94,20.4,25.73,10.46,26.94,99.99,7.45,20.4,8.72

17,04:00-04:15,20.85,21.05,53.33,9,63.15,0,0,21.05,53.34,0,0,0,0,0,0,0,0,0,0,0,15.21,-0,0,12.62,81.58,3.22,20.71,66.73,8.72,269.94,17.31,81.58,123.93,10.71,0,70,0,14.05,3.99,19.2,40.79,26.94,20.4,25.73,10.46,26.94,99.99,6.98,20.4,8.72

18,04:15-04:30,20.31,21.35,53.33,8.8,64.04,0,0,21.35,53.34,0,0,0,0,0,0,0,0,0,0,0,15.21,-0,0,12.62,81.58,3.22,20.71,66.73,8.72,269.94,17.31,81.58,123.53,10.71,0,70,0,14.05,3.99,19.2,40.79,26.94,20.4,25.73,10.46,26.94,99.99,6.98,20.4,8.72

19,04:30-04:45,19.65,21.68,52.84,8.6,65.03,0,0,21.68,52.85,0,0,0,0,0,0,0,0,0,0,0,15.21,-0,0,12.62,81.58,3.22,20.71,66.73,8.72,269.94,17.31,81.58,122.94,10.71,0,70,0,14.05,3.99,19.2,40.79,26.94,20.4,25.73,10.46,26.94,99.99,6.98,20.4,8.72

20,04:45-05:00,18.96,21.98,52.36,8.4,65.96,0,0,21.98,52.35,0,0,0,0,0,0,0,0,0,0,0,15.21,-0,0,12.62,81.58,3.22,20.71,66.73,8.72,269.94,17.31,81.58,122.55,10.71,0,70,0,14.05,3.99,19.2,40.79,26.94,20.4,25.73,10.46,26.94,99.99,6.98,20.4,8.72

21,05:00-05:15,14.74,18.83,46.35,8.2,56.5,0,0,18.83,46.35,0,0,0,0,0,0,0,0,0,0,0,15.21,-0,0,12.62,81.58,3.22,20.71,66.73,8.72,269.94,17.31,81.58,122.28,10.71,0,70,0,14.05,3.99,19.2,40.79,26.94,20.4,25.73,10.46,26.94,99.99,6.52,20.4,8.72

22,05:15-05:30,13.88,17.93,45.39,8,53.81,0,0,17.93,45.4,0,0,0,0,0,0,0,0,0,0,0,15.21,-0,0,12.62,81.58,3.22,20.71,66.73,8.72,269.94,17.31,81.58,129.86,10.71,0,70,0,14.05,3.99,19.2,40.79,26.94,20.4,25.73,10.46,26.94,99.99,6.52,20.4,8.72

23,05:30-05:45,13,16.97,44.25,8,50.92,0,0,16.97,44.24,0,0,0,0,0,0,0,0,0,0,0,15.21,-0,0,12.62,81.58,3.22,20.71,66.73,8.72,269.94,17.31,81.58,129.86,10.71,0,70,0,14.05,3.99,19.2,40.79,26.94,20.4,26.24,10.46,26.94,99.99,6.52,20.4,8.72

24,05:45-06:00,12.15,15.94,43.19,8,47.79,0.24,0.04,15.94,43.19,0,0,0,0,0,0,0.16,0.79,0,0,0,15.21,-0,0,12.62,81.58,3.22,20.71,66.73,8.72,269.94,17.31,81.58,129.86,10.71,0,70,0,14.05,3.99,19.2,40.79,26.94,20.4,25.23,10.46,26.94,99.99,6.52,20.4,8.72

25,06:00-06:15,11.46,14.6,41.87,8,43.77,1.79,0.79,14.6,41.86,1,3.1,2,1,0,2.7,0.8,4.02,0,1,1,15.21,-0,0,12.62,81.58,2.76,20.71,86.57,8.72,269.94,17.31,81.58,129.86,10.71,0,70,0,14.05,3.99,19.2,40.79,26.94,20.4,25.23,10.46,26.94,99.99,6.52,20.4,8.72

26,06:15-06:30,10.87,13.51,40.36,8,40.54,3.49,2.45,13.51,40.36,2,5.3,5,3,0,4.9,1.1,5.52,0,2,2,15.21,-0,0,12.62,81.58,2.76,20.71,86.57,8.72,269.94,17.31,81.58,129.86,10.71,0,115.17,0,14.05,3.99,19.2,40.79,26.94,20.4,26.24,10.46,26.94,99.99,6.52,20.4,8.72

27,06:30-06:45,10.32,12.41,38.83,8,37.25,5.4,4.68,12.41,38.84,4,8.5,7,3,3,7.9,1.6,7.98,0,4,3,15.21,-0,1.03,12.62,81.58,3.23,20.71,86.57,8.72,269.94,17.31,81.58,129.86,10.71,0.79,115.17,1.03,14.05,3.99,19.2,40.79,25.74,20.4,26.24,10.46,25.74,99.99,6.52,20.4,8.72

28,06:45-07:00,9.79,11.68,37.31,8,35.01,7.62,7.52,11.68,37.31,7,13.2,10,5,5,12.3,3.05,15.27,0,6,4,15.21,-0,1.73,12.62,81.58,3.22,20.71,86.57,8.72,269.94,17.31,81.58,129.86,10.71,1.34,115.17,1.73,14.05,3.99,19.2,40.79,26.94,20.4,27.25,10.46,26.94,99.99,6.52,20.4,8.72

29,07:00-07:15,10.73,13.83,38.82,8,41.51,11.96,10.63,13.83,38.81,11,18.8,13,7,8,17.7,4.62,23.09,0,10,5,15.21,-0,1.78,12.62,81.58,3.22,20.71,66.73,8.72,269.94,17.31,81.58,129.86,10.71,1.38,70,1.78,14.05,4.67,19.2,40.79,26.94,20.4,27.25,10.46,26.94,99.99,6.52,20.4,8.72

30,07:15-07:30,12.35,16.25,41.63,7.8,48.73,16.57,13.81,16.25,41.63,13,25.6,19,9,13,24.3,6.3,31.47,0,13,7,15.21,-0,2.62,12.62,81.58,3.22,20.71,86.57,8.72,269.94,17.31,81.58,129.86,10.71,2.03,70,2.62,14.05,4.66,19.2,40.79,26.94,20.4,27.25,10.46,26.94,99.99,6.52,20.4,8.72

31,07:30-07:45,14.42,16.07,51.67,7.6,48.19,21.67,17.54,16.07,51.66,19,32.9,24,12,20,31.2,8.23,41.17,0,19,12,15.21,-0,3.28,12.62,81.58,3.15,20.71,68.7,8.72,269.94,17.31,81.58,100,10.71,2.53,70,3.28,14.05,4.39,19.2,40.79,26.94,20.4,28.77,10.46,26.94,99.99,6.52,20.4,8.72

32,07:45-08:00,16.78,18.07,52.33,7.4,54.2,26.67,22.25,18.07,52.34,23,33,30,15,26,33,10.43,52.12,0,25,16,15.21,-0,4.2,12.62,81.58,3.17,20.71,48.86,8.72,231.55,17.31,81.58,72.31,10.71,3.25,70,4.2,14.05,4.39,19.2,40.79,26.94,20.4,29.26,10.46,26.94,99.99,6.52,20.4,8.72

33,08:00-08:15,18.22,16.91,53.33,7.4,50.72,30.67,27.21,16.91,53.34,33,33,37,18,33,33,15.25,76.24,0,31,20,15.21,-0,5.32,12.62,81.58,3.17,20.71,48.86,8.72,193.16,17.31,81.58,72.31,10.71,4.11,70,5.32,14.05,4.39,19.2,40.79,26.94,20.4,29.26,10.46,26.94,99.99,6.05,20.4,8.72

34,08:15-08:30,19.22,17.98,54.42,7,53.92,34.76,32.4,17.98,54.41,37,33,43,22,33,33,16.98,84.91,0,37,23,15.21,-0,6.41,12.62,81.58,3.17,20.71,48.86,8.72,154.77,17.31,81.58,72.31,10.71,4.95,70,6.41,14.05,4.39,19.2,40.79,26.94,20.4,29.26,10.46,26.94,99.99,6.05,20.4,8.72

35,08:30-08:45,20.08,18.59,57.01,7,55.77,40.84,37,18.59,57,44,33,50,25,33,33,18.71,93.57,0,40,26,15.21,-0,7.51,12.62,81.58,3.17,20.71,48.86,8.72,149.26,17.31,81.58,72.31,10.71,5.81,70,7.51,14.05,4.39,19.2,40.79,26.94,20.4,27.25,10.46,26.94,99.99,6.05,20.4,8.72

36,08:45-09:00,20.88,19.37,59.21,7,58.12,46.84,41.64,19.37,59.22,51,33,57,28,33,33,20.45,102.23,0,46,29,15.21,-0,8.59,12.62,81.58,3.17,20.71,48.86,8.72,149.26,17.31,81.58,72.31,10.71,6.65,70,8.59,14.05,4.39,19.2,40.79,26.94,20.4,28.27,10.46,26.94,99.99,6.05,20.4,8.72

37,09:00-09:15,21.47,20.14,60.73,7,60.42,55.2,46.22,20.14,60.73,58,33,63,32,33,33,25.61,128.05,0,55,31,15.21,-108.33,9.71,6.81,81.58,3.22,20.71,66.73,14.54,150.57,28.86,81.58,101.11,10.71,7.5,70,9.71,13.59,4.39,19.2,40.79,26.95,20.4,28.27,10.46,26.95,99.99,6.05,20.4,14.54

38,09:15-09:30,22.03,21.12,62.22,7,63.38,61.04,50.75,21.12,62.21,65,33,70,35,33,33,29.11,145.52,0,61,34,15.21,-216.67,10.71,6.81,81.58,3.22,20.71,66.73,14.54,154.34,28.86,81.58,101.11,10.71,8.28,70,10.71,13.59,4.39,19.2,40.79,26.95,20.4,28.27,10.46,26.95,99.99,6.05,20.4,14.54

39,09:30-09:45,22.58,18.36,53.33,7,55.06,66.54,53.78,18.36,53.34,70,33,73,37,33,33,32.6,163,0,66,37,15.21,-216.67,11.47,6.81,81.58,3.22,20.71,66.73,14.54,181.92,28.86,81.58,101.11,10.71,8.86,70,11.47,13.59,4.39,19.2,40.79,26.95,20.4,28.27,10.46,26.95,99.99,6.98,20.4,14.54

40,09:45-10:00,23.07,19.25,55,7,57.74,71.57,56.71,19.25,55,73,33,79,39,33,33,36.1,180.47,0,70,38,15.21,-216.67,12.2,6.81,81.58,3.22,20.71,66.73,14.54,166.61,28.86,81.58,101.11,10.71,9.44,70,12.2,13.59,4.39,19.2,40.79,26.95,20.4,28.27,10.46,26.95,99.99,6.98,20.4,14.54

41,10:00-10:15,23.15,21.39,56.67,7,64.15,76.07,59.53,21.39,56.66,83,33,83,42,33,33,39.08,195.39,0,75,40,15.21,-216.67,12.87,6.83,81.58,3.22,20.71,55.8,14.54,193.3,28.86,81.58,101.11,10.71,9.94,70,12.87,13.59,4.39,19.2,40.79,26.95,20.4,28.27,10.46,26.95,99.99,6.98,20.4,14.54

42,10:15-10:30,23.05,21.97,58.33,7,65.88,80.27,79.9,21.97,58.34,88,33,87,43,33,33,41.44,207.22,0,78,41,15.21,-216.67,13.43,6.83,81.58,3.22,20.71,55.8,14.54,218.79,28.86,81.58,101.11,10.71,10.38,70,13.43,13.59,4.39,19.2,40.79,26.95,20.4,28.27,10.46,26.95,99.99,6.98,20.4,14.54

43,10:30-10:45,26.33,22.35,66.67,7,67.04,94.11,81.85,22.35,66.66,92,33,90,45,33,33,45.75,228.76,0,81,42,15.21,-216.67,14.02,6.83,81.58,3.22,20.71,55.8,14.54,236.8,28.86,81.58,101.11,10.71,10.83,70,14.02,13.59,4.39,19.2,40.79,26.95,20.4,28.27,10.46,26.95,99.99,6.98,20.4,14.54

44,10:45-11:00,26,23.85,66.67,7,71.53,96.54,84.82,23.85,66.66,95,33,93,47,33,33,47.54,237.71,0,82,43,15.21,-216.67,14.56,6.83,81.58,3.22,20.71,55.8,14.54,253.81,28.86,81.58,101.11,10.71,11.26,70,14.56,13.59,4.39,19.2,40.79,26.95,20.4,27.25,10.46,26.95,99.99,6.98,20.4,14.54

45,11:00-11:15,28.97,25.09,70,8,75.25,98.22,89.39,25.09,70,97,33,93,47,33,33,48.16,240.79,0,87,45,15.21,-216.67,14.9,6.49,81.58,3.17,20.71,37.93,14.54,269.16,28.86,81.58,54.06,10.71,11.52,70,14.9,11.3,4.42,19.2,40.79,26.95,20.4,27.25,10.46,26.95,50.67,6.05,20.4,14.54

