Column1,Time,WR/01102023/29112042/L_NR_2019_05,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,GNARE/NR/2024/12/20/3668,NR/01102023/25072045/L_NR_2021_15,L_NR_2019_19,NR/26072023/31072042/L_NR_2023_07,GNARE/SR/2025/01/13/4532,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/6160,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/4138,NR/01102023/31052040/LT-31,GNA/NR/2025/04/01/8510,GNA/NR/2025/05/01/6957,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/7902,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/22052037/LT-59,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/05/01/9395,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/05/01/3877,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/8964,GNA/NR/2025/04/01/8456,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/5800,NR/01102023/19072037/LT-05,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/8068,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/2474
1,00:00-00:15,0,0,0,0,0,0,0,30.81,0,0,0,0,14.44,12.26,5.78,0,0,6.45,163.71,30,13.48,0,28.89,23.17,0,0,23.17,53.33,69.49,53.34,16.67,0,4.82,272.29,0,100.33,3.92,0,86.86,28.89,28.25,6.14,10.17,23.51,260.59,0,122.78,67.41,0,14.44,10.59,5.53,163.71,28.94

2,00:15-00:30,0,0,0,0,0,0,0,29.81,0,0,0,0,14.44,12.26,5.78,0,0,15.49,163.71,30,13.48,0,28.89,22.83,0,0,22.83,52,68.51,52,16,0,4.82,272.29,0,100.33,3.92,0,86.86,28.89,28.76,5.2,10.17,23.51,260.59,0,122.78,67.41,0,14.44,10.59,5.53,163.71,28.94

3,00:30-00:45,0,0,0,0,0,0,0,28.81,0,0,0,0,14.44,12.26,5.78,0,0,15.49,163.71,30,13.48,0,28.89,0,0,0,0,0,0,0,0,0,4.82,272.29,0,100.33,3.92,0,86.86,28.89,29.27,5.2,10.17,23.51,260.59,0,122.78,67.41,0,14.44,10.59,5.53,163.71,28.94

4,00:45-01:00,0,0,0,0,0,0,0,27.21,0,0,0,0,14.44,12.26,5.78,0,0,15.49,163.71,30,13.48,0,28.89,0,0,0,0,0,0,0,0,0,4.82,272.29,0,100.33,3.92,0,86.86,28.89,29.27,5.2,10.17,23.51,260.59,0,122.78,67.41,0,14.44,10.59,5.53,163.71,28.94

5,01:00-01:15,0,0,0,0,0,0,0,32.81,0,0,0,0,14.44,12.26,5.78,0,0,15.49,163.71,30,13.48,0,28.89,0,0,0,0,0,0,0,0,0,4.82,272.29,0,100.33,3.92,0,86.86,28.89,28.25,5.2,10.17,23.51,260.59,0,122.78,67.41,0,14.44,10.59,5.37,163.71,28.94

6,01:15-01:30,0,0,0,0,0,0,0,30.81,0,0,0,0,14.44,12.26,5.78,0,0,15.49,163.71,30,13.48,0,28.89,0,0,0,0,0,0,0,0,0,4.82,272.29,0,100.33,3.92,0,86.86,28.89,28.25,5.2,10.17,23.51,260.59,0,122.78,67.41,0,14.44,10.59,5.37,163.71,28.94

7,01:30-01:45,0,0,0,0,0,0,0,28.61,0,0,0,0,14.44,12.26,5.78,0,0,15.49,163.71,30,13.48,0,28.89,0,0,0,0,0,0,0,0,0,4.82,272.29,0,100.33,3.92,0,86.86,28.89,28.25,5.2,10.17,23.51,260.59,0,122.78,67.41,0,14.44,10.59,5.37,163.71,28.94

8,01:45-02:00,0,0,0,0,0,0,0,26.41,0,0,0,0,14.44,12.26,5.78,0,0,15.49,163.71,30,13.48,0,28.89,0,0,0,0,0,0,0,0,0,4.82,272.29,0,100.33,3.92,0,86.86,28.89,28.25,5.2,10.17,23.51,260.59,0,122.78,67.41,0,14.44,10.59,5.37,163.71,28.94

9,02:00-02:15,0,0,0,0,0,0,0,30.01,0,0,0,0,14.44,12.08,0,0,0,13.35,163.71,30,13.48,96.3,0,0,0,0,0,0,0,0,0,0,4.66,272.29,0,100.33,3.78,0,86.86,28.89,27.24,5.2,10.17,23.51,260.59,0,122.78,0,0,0,10.59,5.3,163.71,28.94

10,02:15-02:30,0,0,0,0,0,0,0,28.01,0,0,0,0,14.44,12.08,0,0,0,13.97,163.71,30,13.48,96.3,0,0,0,0,0,0,0,0,0,0,4.66,272.29,0,100.33,3.78,0,86.86,28.89,27.24,5.2,10.17,23.51,260.59,0,122.78,0,0,0,10.59,5.3,163.71,28.94

11,02:30-02:45,0,0,0,0,0,0,0,31.61,0,0,0,0,14.44,12.08,0,0,0,14.6,163.71,30,13.48,96.3,0,0,0,0,0,0,0,0,0,0,4.66,272.29,0,88.02,3.78,0,86.86,28.89,27.24,5.2,10.17,23.51,260.59,0,122.78,0,0,0,10.59,5.3,163.71,28.94

12,02:45-03:00,0,0,0,0,0,0,0,29.01,0,0,0,0,14.44,12.08,0,0,0,15.23,163.71,30,13.48,96.3,0,0,0,0,0,0,0,0,0,0,4.66,272.29,0,88.02,3.78,0,86.86,28.89,27.24,5.2,10.17,25.4,260.59,0,122.78,0,0,0,10.59,5.3,163.71,28.94

13,03:00-03:15,0,0,0,0,0,0,0,26.61,0,0,0,0,14.44,11.8,0,0,0,15.49,163.71,30,13.48,96.3,0,0,0,0,0,0,0,0,0,0,4.66,272.29,0,88.02,3.78,0,86.86,28.89,27.24,5.2,10.17,25.4,260.59,0,122.78,0,0,0,10.59,5.3,163.71,28.94

14,03:15-03:30,0,0,0,0,0,0,0,24.21,0,0,0,0,14.44,11.8,0,0,0,15.49,163.71,30,13.48,96.3,0,0,0,0,0,0,0,0,0,0,4.66,272.29,0,88.02,3.78,0,86.86,28.89,27.24,5.2,10.17,25.4,260.59,0,122.78,0,0,0,10.59,5.3,163.71,28.94

15,03:30-03:45,0,0,0,0,0,0,0,21.81,0,0,0,0,14.44,11.8,0,0,0,15.49,163.71,30,13.48,96.3,0,0,0,0,0,0,0,0,0,0,4.66,272.29,0,88.02,3.78,0,86.86,28.89,27.24,5.2,10.17,25.4,260.59,0,122.78,0,4.25,0,10.59,5.3,163.71,28.94

16,03:45-04:00,0,0,0,0,0,0,0,19.61,0,0,0,0,14.44,11.8,0,0,0,15.49,163.71,30,13.48,96.3,0,0,0,0,0,0,0,0,0,0,4.66,272.29,0,88.02,3.78,0,86.86,28.89,27.24,5.2,10.17,25.4,260.59,0,122.78,0,8.49,0,10.59,5.3,163.71,28.94

17,04:00-04:15,0,0,0,0,0,0,0,32.61,0,0,0,0,14.44,11.61,0,0,0,15.49,163.71,30,13.48,96.3,0,0,0,0,0,0,0,0,0,0,4.51,272.29,0,88.02,3.64,0,86.86,28.89,27.24,5.2,10.17,30,260.59,0,122.78,0,8.49,0,10.59,5.14,163.71,28.94

18,04:15-04:30,0,0,0,0,0,0,0,30.41,0,0,0,0,14.44,11.61,0,0,0,15.49,163.71,30,13.48,96.3,0,0,0,0,0,0,0,0,0,0,4.51,272.29,0,88.02,3.64,0,86.86,28.89,27.24,5.2,10.17,30,260.59,0,122.78,0,12.74,0,10.59,5.14,163.71,28.94

