Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_16,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,WR/01102023/16072048/L_NR_2022_08,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,GNA/NR/2025/07/01/8128,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/06/07/5932,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/8230,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/07/01/8139,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/8154,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/1044,GNA/NR/2025/07/01/2236,NR/01102023/06022042/L_NR_2012_07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,NR/30092023/31122025/SH-07,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/07/01/2786,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/2952
1,00:00-00:15,0,0,0,0,0,43.02,0,0,0,20,0,18.67,0,0,0,0,0,18.67,55.99,0,6.33,100.2,-0,49.05,224.82,29.27,134.89,0,0,19.24,20.75,0,115.38,30,130.13,15.24,0,81.75,86.75,270.51,5.6,0,6,9.97,43.71,13.17,8.51

2,00:15-00:30,0,0,0,0,0,43.02,0,0,0,19.67,0,18.5,0,0,0,0,0,18.5,55.5,0,6.33,100.2,-0,49.05,224.82,29.27,134.89,0,0,19.24,20.75,0,115.38,30,130.13,15.24,0,81.75,86.75,270.51,5.6,0,6,9.97,43.71,13.17,8.51

3,00:30-00:45,0,0,0,0,0,43.02,0,0,0,19.33,0,18.5,0,0,0,0,0,18.5,55.5,0,6.33,100.2,-0,49.05,224.82,29.78,134.89,0,0,19.24,20.75,0,115.38,30,130.13,15.24,0,81.75,86.75,270.51,5.6,0,6,9.97,43.71,13.17,8.51

4,00:45-01:00,0,0,0,0,0,43.02,0,0,0,19,0,18.33,0,0,0,0,0,18.33,55.01,0,6.33,100.2,-0,49.05,224.82,29.78,134.89,0,0,19.24,20.75,0,115.38,30,130.13,15.24,0,81.75,86.75,270.51,5.6,0,6,9.97,43.71,13.17,8.51

5,01:00-01:15,0,0,0,0,0,38.02,0,0,0,19,0,18.17,0,0,0,0,0,18.17,54.49,0,6.33,100.2,-0,49.05,224.82,29.78,134.89,0,10.08,19.24,20.75,0,115.38,30,130.13,15.24,0,81.75,86.75,270.51,5.13,0,0,9.59,43.71,13.17,8.51

6,01:15-01:30,0,0,0,0,0,38.02,0,0,0,19,0,18,0,0,0,0,0,18,54,0,6.33,100.2,-0,49.05,224.82,29.78,134.89,0,10.08,19.24,20.75,0,115.38,30,130.13,15.24,0,81.75,86.75,270.51,5.13,0,0,9.59,43.71,13.17,8.51

