Column1,Block,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/16/1380,GNA/SR/2025/02/01/6460,GNA/NR/2025/02/16/1676,GNA/WR/2024/11/01/4200,NR/2024/24418/A/55101,NR/2025/25070/A/55382,GNA/WR/2025/01/01/8625,WR/2025/26047/A/55395,GNA/WR/2025/01/01/9606,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/5886,NR/2025/25265/A/55213,NR/2025/25266/A/55207,NR/2025/25420/C,NR/2025/25267/A/55217,GNARE/NR/2024/12/20/3668,NR/2025/25419/C,NR/30092023/26122029/SH-06,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/9969,GNA/NR/2025/02/01/4863,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,Total
,,NDMC,PTC,APPCPL,PTC,MANIKARAN,ITCLH,NVVNL,TPTCL,APPCPL,APPCPL,NDMC,NDMC,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,SJVNL,OIDLWM3_AEROCITY,SECI_Trader,SJVNL,PUNJAB,APPCPL,NDMC,NDMC,DELHI,BAWANA_GAS,
,,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,NA,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,NA,NA,NA,NA,NA,NA,DELHI_UT,DELHI_UT,NA,NA,HIMACHAL_STATE,DELHI_UT,
,,RKM_POWER,BYPL,BYPL,BRPL,BRPL,ITCWIND,JIPL,BYPL,BRPL,BYPL,RKM_POWER,TRN_ENERGY,TCSPL_BKN2,TCSPL_BKN2,TPSL_BKN2,TCSPL_BKN2,APSEPL_FTG,RSRPL_BKN,BAWANA_GAS,BYPL,JPL2,SKS_Raigarh,CHANJUII,BAWANA_GAS,
,,DELHI_UT,HIMACHAL_STATE,KERALA_State,HIMACHAL_STATE,MSEB_State,DELHI_UT,DELHI_UT,MSEB_State,GOA_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,
,,NDMC,HP,KSEB,HP,AEML,ITCLH,NDMC,TPC_MSEB,GOA_Beneficiary,AEML,NDMC,NDMC,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,NDMC,OIDLWM3_AEROCITY,TPDDL,NDMC,PUNJAB,KSEB,NDMC,NDMC,TPDDL,HARYANA,
,,West-North,North-North,North-West-South,North-North,North-West,South-West-North,East-North,North-West,North-West,North-West,West-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-West-South,West-North,West-North,North-North,North-North,
1,00:00-00:15,23.07,15.85,75,47.56,0,0.38,17.3,0,0,0,23.07,8.65,0,0,0,0,0,0,26.87,0,23.07,7.21,1.59,0,269.62

2,00:15-00:30,23.07,15.85,75,47.56,0,0.38,17.3,0,0,0,23.07,8.65,0,0,0,0,0,0,26.87,0,23.07,7.21,1.59,0,269.62

